Last Name,First Name,Financial regulators in the US and Europe lack the tools and authority to deter runs on banks by uninsured depositors.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Not guaranteeing uninsured deposits at Silicon Valley Bank in full would have created substantial damage to the US economy.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Fully guaranteeing uninsured deposits at Silicon Valley Bank substantially increases banks’ incentives to engage in excessive risk-taking.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,Deposit insurance is not enough for uninsured depositors. But there are many other tools available within the current regulatory system. The details matter.,Disagree,3,"If problem is a run on other banks, then their uninsured depositors should have been insured (e.g., SVB depositors lose money but for the next year, depositors of other banks are fully insured). Instead, authorities bailed out the millionaire depositors of SVB. No logic to this",Agree,3,How could it be otherwise?
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Disagree,3,,Uncertain,3,,Uncertain,3,
Autor,David,No Opinion,,,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Uncertain,4,,Uncertain,4,,Disagree,3,
Bertrand,Marianne,Agree,3,,Uncertain,8,,Agree,8,
Brunnermeier,Markus,Agree,7,Promo corrective action allows regulators to close bank. Extending guarantees requires support of Finance ministry and central bank. ,Agree,8,Many regional banks would have lost their cheap deposit funding and with it a large part of their franchise value. ,Uncertain,6,It depends what safe guards one put in place. 
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Disagree,8,,Uncertain,6,"Taken literally, the statement suggests that there is no X<100 such that an orderly process guaranteeing depositors X cents on the dollar wouldn't have caused substantial damage. That seems unlikely. ",Uncertain,6,The extent of the implicit promise now seems quite uncertain. 
Cutler,David,Agree,4,,Strongly Agree,4,,Uncertain,4,
Deaton,Angus,Agree,3,,Agree,5,,Strongly Agree,6,
