Last Name,First Name,The cancellation of the majority of programs run by the US Agency for International Development (USAID) will have no measurable effects on GDP growth in the recipient countries over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The cancellation of the majority of USAID programs will have substantially negative effects on the most vulnerable people in the recipient countries over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Development assistance motivated by the potential benefits for the donors in terms of prosperity and security is measurably more effective in promoting GDP growth in recipient countries than aid based on humanitarian or other moral principles.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,reindex
Acemoglu,Daron,Uncertain,4,,Agree,5,,Uncertain,3,,
Aguiar,Mark,Disagree,6,,Agree,8,,Uncertain,3,,
Altonji,Joseph,Disagree,3,"The evidence for a long run negative effect of aid on growth is weak, but the abrupt elimination of aid will have a small negative effect in the short term.",Agree,3,"Humanitarian aid, health related aid matters and disaster relief matter. I uncertain, though, about whether USAID is large enough to have a ""substantial"" effect.",Uncertain,3,,
Auerbach,Alan,Uncertain,3,,Agree,5,,Disagree,5,,
Autor,David,Disagree,5,"I suspect that the effect will be negative. I'm uncertain if it will be large enough to be measurable. In any case, we won't have a research design that can actually measure it. There are many ""common shocks"" hitting many countries at this moment in time. ",Strongly Agree,10,"We see this happening in Myanmar already. And this is just one tiny manifestation of the harm that the U.S. (and, specifically, the world's richest man) has chosen to inflict on the world's most vulnerable populations. ",Uncertain,5,I don't even understand the question. What is the tension between prosperity and security vs. humanitarian and other moral principles?,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Bergemann,Dirk,Disagree,8,,Strongly Agree,8,,Disagree,8,,
Bertrand,Marianne,Disagree,5,,Agree,5,,No Opinion,,,
Brunnermeier,Markus,Disagree,6,"It might make receiver countries less stable, which ultimately hurts GDP growth as well.",Strongly Agree,7,,Disagree,4,,
Chevalier,Judith,Uncertain,7,,Strongly Agree,8,,No Opinion,,,
Cutler,David,Uncertain,5,,Agree,8,,Disagree,5,,
Duffie,Darrell,Uncertain,1,,Strongly Agree,1,,Uncertain,1,,
Edlin,Aaron,Disagree,5,,Agree,6,,Disagree,5,,
Eichengreen,Barry,Disagree,5,,Strongly Agree,5,,Uncertain,5,,
Einav,Liran,Agree,1,,Agree,1,,Uncertain,1,,
Fair,Ray,Uncertain,5,,Agree,5,,Uncertain,5,,
Glaeser,Edward,Uncertain,5,,Agree,6,,Disagree,6,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Greenstone,Michael,Uncertain,2,"Amounts are small but question is misguided bc GDP misses health and other determinants of welfare. Plus, it is possible that there are GDP effects if aid prevents consumption disasters, civil war etc....",Strongly Agree,6,Global health aid!,Disagree,5,Humanitarian is often about prosperity and security.  Plus GDP is not welfare (see PEPFAR).,
Hart,Oliver,Uncertain,5,,Strongly Agree,8,,Uncertain,5,,
Holmstr̦m,Bengt,Agree,3,,Agree,3,,No Opinion,,,
Hoxby,Caroline,Uncertain,5,,Agree,3,,Uncertain,10,,
Hoynes,Hilary,Uncertain,5,,Strongly Agree,8,,No Opinion,,,
Hurst,Erik,Uncertain,1,,Agree,1,,Uncertain,1,,
Judd,Kenneth,Agree,8,"Many USAID programs, such as PEPFAR, do not aim to directly improve economic growth.",Strongly Agree,10,"The sudden cancellation of programs like PEPFAR will lead to a decline in health care. Even if host countries replace the programs, that will take time particularly without the help of the USAID people who have the expertise the host needs.",Uncertain,8,"Foreign aid is often not given to improve economic growth. For example, military aid to Egypt is justified by other objectives.",
Kaplan,Steven,Uncertain,8,,Uncertain,3,,Uncertain,4,,
Kashyap,Anil,Uncertain,1,,Agree,3,,Uncertain,2,,
Klenow,Pete,Uncertain,1,,Agree,1,,Uncertain,1,,
Levin,Jonathan,Uncertain,5,,Agree,4,,Uncertain,4,The most successful programs such as for global health have both rationales,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,
Nordhaus,William,Strongly Disagree,7,,Strongly Agree,7,,Disagree,4,,
Obstfeld,Maurice,Strongly Disagree,4,,Strongly Agree,4,,Disagree,3,,
Pathak,Parag,Uncertain,3,,Agree,5,,No Opinion,,,
