Last Name,First Name,Imposing new US tariffs on steel and aluminum will improve Americans’ welfare.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,6,"It will help some Americans and hurt others. But the overall benefits are likely to be quite limited, and losses larger."
Alesina,Alberto,Strongly Disagree,10,
Altonji,Joseph,Strongly Disagree,8,
Auerbach,Alan,Strongly Disagree,7,
Autor,David,Disagree,6,Simple answer is no! Complex answer is that this _could be_ a strategic gambit in a longer game that deters abuse of free trade agreements.
Baicker,Katherine,Strongly Disagree,3,
Banerjee,Abhijit,Strongly Disagree,7,
Bertrand,Marianne,Strongly Disagree,8,
Brunnermeier,Markus,Disagree,7,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Strongly Disagree,8,
Cutler,David,Strongly Disagree,6,
Deaton,Angus,Strongly Disagree,10,
Duffie,Darrell,Disagree,3,
Edlin,Aaron,Disagree,8,"Effects will vary among people, but I expect overall losses will exceed gains. "
Eichengreen,Barry,Strongly Disagree,10,
Einav,Liran,Disagree,3,
Fair,Ray,Strongly Disagree,6,
Finkelstein,Amy,Strongly Disagree,8,
Goldberg,Pinelopi,Strongly Disagree,10,
Goolsbee,Austan,Strongly Disagree,10,SMACK. SMACK [punching self in face] SMACK. SMACK.
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Did Not Answer,,
Hart,Oliver,Strongly Disagree,10,A robust result is that free trade increases national income. The cases where this is not true are rare and hard to spot. 
Holmström,Bengt,Disagree,6,
Hoxby,Caroline,Strongly Disagree,10,
Hoynes,Hilary,Disagree,8,
Judd,Kenneth,Strongly Disagree,8,They may help SOME Americans SIGNIFANTLY but the number is small and the costs to others will far exceed the gains.
Kaplan,Steven,Disagree,8,
Kashyap,Anil,Strongly Disagree,7,"Steel and alumin are intermediate inputs, so this broadly harmful"
Klenow,Pete,Strongly Disagree,10,
Levin,Jonathan,Strongly Disagree,4,
Maskin,Eric,Disagree,7,I thought we had learned our lesson with Smoot-Hawley
Nordhaus,William,Strongly Disagree,8,
Saez,Emmanuel,Disagree,5,
Samuelson,Larry,Strongly Disagree,10,"A small number of people, engaged in steel and aluminum production, will benefit from these tariffs, at great cost to many others."
Scheinkman,José,Strongly Disagree,9,
Schmalensee,Richard,Strongly Disagree,8,
Shapiro,Carl,Strongly Disagree,10,
Shimer,Robert,Strongly Disagree,8,
Stock,James,Disagree,3,
Thaler,Richard,Strongly Disagree,4,In net we want more trade not less. This is unlikely to help and runs the risk of starting a trade war.  SAD
Udry,Christopher,Strongly Disagree,8,"It will improve some Americans welfare, & hurt many others. On balance it's a very costly way to help those who gain. "
