Last Name,First Name,"If the NCAA let colleges pay athletes with more than scholarships (which currently may cover tuition, books, room and board), then top colleges in men’s basketball and football would pay most athletes substantial sums beyond full scholarships.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,
Alesina,Alberto,Strongly Agree,9,
Altonji,Joseph,Strongly Agree,9,
Auerbach,Alan,Agree,5,
Autor,David,Strongly Agree,1,
Baicker,Katherine,Agree,3,
Banerjee,Abhijit,Disagree,6,If colleges commit when the student joins (bidding on transfers not allowed) the earnings effect will be small. Too much uncertainty at 17
Bertrand,Marianne,Agree,3,
Brunnermeier,Markus,Agree,2,
Chetty,Raj,Strongly Agree,5,
Chevalier,Judith,Strongly Agree,8,
Currie,Janet,Did Not Answer,,
Cutler,David,Strongly Agree,6,
Deaton,Angus,Strongly Agree,8,
Duffie,Darrell,Agree,1,
Edlin,Aaron,Strongly Agree,8,The million dollar (and often multi million dollar) salaries of top basketball coaches in NCAA basketball testify to the value of winning.
Eichengreen,Barry,Uncertain,5,"Most atheletes, or superstar atheletes?"
Einav,Liran,Agree,7,
Fair,Ray,Agree,8,
Finkelstein,Amy,Strongly Agree,6,
Goldberg,Pinelopi,Agree,5,
Goolsbee,Austan,Agree,10,the best athletes at the best D-1 schools would obviously be paid a lot 
Greenstone,Michael,Agree,7,& would be a series of distributional issues affecting non-revenue men's and women's sports who have largely benefited from cross subsidies
Hall,Robert,Agree,8,"Star basketball and football players, for sure. Historically, this has been happening through alumni off-campus deals and the like."
Hart,Oliver,Agree,7,"Since the stakes are high, the incentive to pay top athletes a lot is strong. Preserving equity among students is a small mitigating force."
Holmström,Bengt,Agree,4,
Hoxby,Caroline,Strongly Agree,10,
Hoynes,Hilary,Agree,8,
Judd,Kenneth,Uncertain,7,Athletes will receive more money but it is not clear that there can be big gaps between the money sports and other sports.
Kaplan,Steven,Agree,8,
Kashyap,Anil,Strongly Agree,7,Players get few rents now.  That would change for sure 
Klenow,Pete,Strongly Agree,10,
Levin,Jonathan,Strongly Agree,5,Schools are not afraid to spend money to win at football & basketball - look at coaching salaries.
Maskin,Eric,Agree,8,
Nordhaus,William,Agree,5,"""Most"" probably wrong, but likely see the superstar compensation phenomenon, with some million dollar athletes."
Obstfeld,Maurice,Agree,8,
Saez,Emmanuel,Strongly Agree,6,
Samuelson,Larry,Strongly Agree,1,"One would surely expect the athletes to capture some of surplus, just as baseball players did when the reserve clause was eliminated."
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Uncertain,5,"Some schools would clearly pay some athletes a good deal more, but I have a hard time with ""most.""  "
Shapiro,Carl,Strongly Agree,8,There is a great deal of evidence that individual colleges would pay athletes more if allowed.
Shimer,Robert,Uncertain,5,Some would get paid substantial salaries. Unclear if  median athlete would be helped. There are probably some cross subsidies today.
Stokey,Nancy,Agree,1,"Presumably this is the definition of ""top colleges in ... ."""
Thaler,Richard,Strongly Agree,7,"Pay would go up for stars, unless the schools could collude, as they do now. More interesting question: should the athletes be paid? Yes"
Udry,Christopher,Agree,8,"There is a regular parade of recruiting violations in the face of potentially harsh penalties. The only question is if it would be ""most""."
