Last Name,First Name,Informed postmortems of Ben Bernanke’s Fed chairmanship will judge favorably the Fed's creative and aggressive policy initiatives from autumn 2008 through early 2009.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,4,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,7,,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,7,,,,,,,,,,,,,,,,,,,,,
Autor,David,Agree,7,"This is hearsay because I don't ""do"" monetary policy. But everything I've read says that Ben was extraordinarily creative and effective.",,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,1,,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Strongly Agree,8,He had to find creative ways to get around a number of institutional constraints to do the  needful and he did,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,8,The ultimate judgement will depend on the exit strategy and how easily the fed will return to a more rule-based policy. ,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Currie,Janet,Uncertain,3,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Agree,5,"I don't like the ""informed postmortems"" part.  There is little agreement in macro.",,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,7,,,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Strongly Agree,10,"Strong action as a lender of last resort was essential. This is what central banks do. In this instance, innovation by the Fed was crucial.",,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Strongly Agree,7,"Future views of the past are hard to predict with precision.  That said, things would probably have been much worse without the Feds actions",,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Strongly Agree,8,Fed could have been even more aggressive.  Could have recognized problems in shadow banking system earlier.  But hindsight is 20/20.,,,,,,,,,,,,,,,,,,,,
Einav,Liran,Agree,6,,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,"Let's see how the unwinding works.  Also, some of the policies had bad income-distribution consequences and some were fiscal policies. ",,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Agree,4,,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,10,"No Ben, no avoiding depression. Full stop.",,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,7,"The counterfactual state of the world with muted, Fed responses is an ugly one.",,,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,8,Generally true. Some doubts about whether it would have been possible to impose haircuts on debtholders rather than use public funds.,,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Uncertain,5,"A policy where the Fed let financial institutions go bankrupt or helped home-owners directly might have been better, but we will never know",,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,6,,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Uncertain,8,"In retrospect, some responses seem prescient, others misguided or based on false premises.  Phil Swagel's paper is a great read on this.",,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Agree,5,"It is hard to have confidence on this opinion. It is difficult to predict how history will play out; this is not just ""economic"" predictions",,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Strongly Agree,9,The financial crisis was a solvency crisis.  The Bernanke (and Paulson) actions were instrumental in keeping the financial sector solvent.,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,10,"Public may not appreciate this, but Bernanke's Fed helped stave off Depression 2.0.  Record before and after will be more controversial.    ",,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Strongly Agree,6,,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Strongly Agree,6,,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,8,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Strongly Agree,9,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Strongly Agree,5,,,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Strongly Agree,8,"We'll never know the counterfactual, but there is reason to believe that Ben Bernanke helped avert disaster, despite an ineffective Congress",,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,5,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Strongly Agree,8,Important not to forget how dire the situation was at that time. ,,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,5,More subjective than most questions. Likely that economists will disagree about this in the future. But I judge Bernanke's actions favorably,,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,10,Bernanke understood very well the policy errors of the Fed during the Great Depression and had the courage to avoid repeating them.,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,1,"Hard to predict what hindsight will suggest, but it think he did well in extremely difficult times. ",,,,,,,,,,,,,,,,,,,,
Udry,Christopher,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
