Last Name,First Name,"Even with the support policies implemented by European governments in response to the crisis, low-income workers will suffer a relatively bigger hit to their incomes than those further up the distribution.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"With schools across Europe closed in the lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Combating the effects of the pandemic on inequality should be a priority for policy interventions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,Poorer people have much less security all around and will tend to suffer much more than people higher up the income distribution.,Uncertain,6,It depends significantly on which country in Europe. In many I don't think there will be much difference across the income distribution.,Agree,6,I think providing a safety net from the effects of the pandemic is very important. This is for it's own sake but also to stop bankruptcies.
Antras,Pol,Strongly Agree,8,I would imagine working from home is much less of an option for many poor individuals. And they might also face more prevalent layoffs.,Strongly Agree,6,"I'm not aware of systematic evidence, but in Massachusetts, there has been a massive differential response by private and public schools.",Agree,7,"Policies to reduce pandemic-related deaths are essential, but pandemic-related spikes in poverty will also cause a lot of deaths. "
Bénassy-Quéré,Agnès,Agree,4,"Though depends very much on the sector and status (wage contract, independent worker, etc)",Strongly Agree,10,,Strongly Agree,8,Otherwise social distancing is non-sutainable.
Blanchard,Olivier,Strongly Agree,8,poor more likely to be exposed to the virus if they work.  more likely to lose income if laid off. ,Agree,8,"obvious differences in access to net, in ability of the family to help study",Agree,8,"The priority should be to fight the pandemic, not inequality.  But, given that, anything that can be done to fight inequality is desirable. "
Bloom,Nicholas,Strongly Agree,10,Absolutely see this blog piece on exactly that,Strongly Agree,10,The wealthy can more easily home-school,Disagree,8,"The priority should be restoring the economy. Once this is done we can focus on inequality, funding this by taxes on growth."
Blundell,Richard William,Agree,7,,Strongly Agree,8,,Agree,8,
Carletti,Elena,Agree,9,,Agree,8,,Agree,7,
Danthine,Jean-Pierre,Agree,8,In Switzerland many low income workers are better protected than higher in the income scale l. Those who are not will suffer most ,Agree,8,This will be revealing and thus rather positive if it does not last too long and lessons are learned.,Agree,8,
De Grauwe,Paul,Uncertain,5,The word relatively is important in your question. I assume you mean a percentage decline in income.,Uncertain,5,It depends on the school systems in different countries,Agree,6,
Eeckhout,Jan,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Fehr,Ernst,Strongly Agree,9,,Strongly Agree,8,,Agree,7,
Freixas,Xavier,Strongly Agree,8,,Strongly Agree,9,,Disagree,5,In the short run it is not a priority. It can be corrected once the medical and economic catastrophe is dealt with
Fuchs-Schündeln,Nicola,Agree,8,,Strongly Agree,10,,Agree,9,
Galí,Jordi,Agree,7,,Agree,7,,Agree,7,
Giavazzi,Francesco,Agree,3,,Agree,5,,Disagree,6,
Griffith,Rachel,Strongly Agree,8,My reading of the evidence is that it suggest the COVID-19 crisis will increase inequality on many dimensions.,Strongly Agree,8,,Strongly Agree,9,
Guerrieri,Veronica,Strongly Agree,9,,Strongly Agree,9,,Agree,9,
Guiso,Luigi,Strongly Agree,10,,Uncertain,5,"Access will probably be similar, family background will make the difference ",Strongly Agree,6,
Honohan,Patrick,Agree,3,Job loss likely disproportionately affecting low-skilled workers especially in affected service sectors ,Agree,2,access to broadband; poor home-study environment,Agree,1,
Javorcik,Beata,Strongly Agree,9,,Strongly Agree,9,,Uncertain,6,
Kőszegi,Botond,Strongly Agree,7,,Strongly Agree,10,,Strongly Agree,10,
Krahnen,Jan Pieter,Uncertain,4,"The answer must be country-specific. E.g., Germany has automatic stabilizers, like Kurzarbeit, making small entrepreneurs the main losers.",Uncertain,6,"Again, country-specific access to quality education is not the problem, but family support in using the access  - which is income-related.",Disagree,5,"No. The widening gap of competitivity between Europe's north and south, resulting from huge differences in aid programs, needs attention."
La Ferrara,Eliana,Agree,6,,Strongly Agree,9,,Strongly Agree,9,
Leuz,Christian,Agree,5,"Quite a bit of evidence has emerged for US. Effects in EU likely similar, though less extreme. Depends also on profession.",Agree,5,Both groups will take a hit but my guess is hit for low-inc will be relatively larger. Many relevant factors (internet) correlated w/ inc.,Agree,5,"For econ policy, inequality should be one priority, but not only one. Size of the pie matters too. Inequality at national & EU level matters"
Mayer,Thierry,Strongly Agree,5,,Strongly Agree,8,,Strongly Agree,5,
Meghir,Costas,Strongly Agree,10,,Strongly Agree,9,,Strongly Agree,10,
