Last Name,First Name,Current enforcement of competition policy in Europe is not working to promote innovation and growth.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,European Union bureaucracy and regulations are a substantial constraint on innovation in Europe.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The conduct of the dominant US tech companies in European markets (including lobbying and acquisition of start-ups and competitors) is a substantial constraint on innovation in Europe.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,4,Both innovation and growth are low in Europe. It is difficult to know exactly what the main causes for this are. Competition policy may be part of it.,Disagree,4,There is wide variation across the EU in terms of innovation and growth so it seems unlikely that EU bureaucracy and legislation play much of a role.,Uncertain,4,"I don't think these activities help but the lack of major tech competitors in Europe is nothing that's particularly new. Lack of venture capital, entrepreneurial mindsets and so on seem more important."
Antras,Pol,Agree,6,,Uncertain,4,,Agree,5,
Bénassy-Quéré,Agnès,Agree,6,,Agree,8,,Agree,7,
Blanchard,Olivier,Uncertain,6,"it may constrain firms and thus limit the GDP growth rate, but it may yield ""better"" growth. ",Uncertain,5,"similar answer.  The surely constrain firms, but, in large part, for the better.  (They may be too heavy, even accepting the goal)",Uncertain,4,"not clear why the ""in Europe"" part. "
Blundell,Richard William,Agree,5,,Uncertain,5,,Agree,4,
Botticini,Maristella,Agree,7,,Agree,8,,Uncertain,7,
Carletti,Elena,Agree,5,,Agree,5,,No Opinion,,
Danthine,Jean-Pierre,Uncertain,1,,Agree,4,I tend to agree that in the domains that I know best the Brussels administration is excessively bureaucratic with centralizing tendencies. The subsidiarity principle is often forgotten.,Agree,4,
De Grauwe,Paul,Uncertain,5,,Agree,6,,Agree,6,
Eeckhout,Jan,Disagree,8,"We don’t know yet, The DMA is too recent. But its intent is to reduce the power of the gatekeepers who stifle innovation. Unless the dominant firms manage to inhibit the DMA’s implementation, it will be better than not having it",Agree,5,"Some regulation is indeed problematic (though not all), I count state aid and tax exemptions under that header",Agree,9,
Freixas,Xavier,Strongly Agree,5,"Competition policy is a constraint only for European firms, not for Chinese or US ones. ",Strongly Agree,5,,Uncertain,1,
Fuchs-Schündeln,Nicola,Uncertain,4,,Strongly Agree,6,,Uncertain,3,
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Garicano,Luis,Strongly Disagree,7,"The work of the Competition DG and Commissioner has been pro-market and pro-innovation. The problem has come from excessive regulation. Stopping within country telecom mergers is good, contrary to all lobbying messages of telcos.",Strongly Agree,9,GDPR has been shown (see URL) to be reducing dynamism in several dimensions. The excessive fragmentation of the single market and double and triple regulatory layers (see e.g. banking) certainly reduce economies of scale and productivity.,Disagree,6,
Gorodnichenko,Yuriy,Uncertain,1,,Strongly Agree,5,,Uncertain,1,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Uncertain,7,,Strongly Agree,9,,Disagree,6,
Guriev,Sergei,Uncertain,5,,Agree,8,,Disagree,7,
Honohan,Patrick,Uncertain,1,,Agree,1,,Uncertain,1,
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,No Opinion,,,Strongly Agree,10,
