Last Name,First Name,"US regulation of greenhouse gases – including carbon dioxide from motor vehicles and power plants, and methane from oil and gas wells – rests on the Clean Air Act. The Environmental Protection Agency (EPA) recently announced its rescission of the greenhouse gas endangerment finding and motor vehicle greenhouse gas emission standards: https://www.epa.gov/regulations-emissions-vehicles-and-engines/final-rule-rescission-greenhouse-gas-endangerment. The President of the National Academy of Sciences subsequently wrote to the organization's members, noting that 'the EPA justified its decision on legal, economic, and regulatory opinions, and not on the science’.



The weight of economic analysis and evidence supports the conclusion that some form of regulation of greenhouse gas emissions is warranted.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"For US consumers and firms, the health and environmental benefits of greenhouse gas emission standards outweigh the costs, making the EPA rescission substantially net negative for American society.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Since the environmental costs of greenhouse gas emissions are globally distributed, some form of collective international regulation is warranted.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Strongly Agree,8,There is very strong scientific evidence that greenhouse gases are damaging to the climate.  ,Strongly Agree,8,Climate change is already having disruptive effects on the US climate.  It is difficult to get insurance as a result of these changes in many places.  These effects will get worse over time without action. ,Strongly Agree,8,Global action is warranted because of the global nature of the problem. 
Antras,Pol,Agree,7,,Agree,7,,Agree,5,Though good luck getting that through. 
Auriol,Emmanuelle,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,10,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Strongly Agree,10,"In principle there is a collective action problem. But in practice, a majority of countries in the world are now involved in the green transition and are developing green technologies. The United States could miss this revolution (on top of being a free rider).",Strongly Agree,10,
Blanchard,Olivier,Strongly Agree,7,,Uncertain,7,"the nature of the game is that not playing, and absent retaliation, may make you better off",Strongly Agree,7,
Blundell,Richard William,Strongly Agree,5,,Agree,6,,Strongly Agree,6,
Botticini,Maristella,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Cagé,Julia,Strongly Agree,6,There is a lot of empirical evidence in the existing literature documenting a large impact of the Clean Air Act on several important outcomes. I am just providing a very few examples (much more are provided e.g. in the literature review by Aldy et al 2022).,Agree,6,I do agree with this statement even if I think that it is not well framed. It is indeed hard to think about relevant metrics that would allow to compare the health and environmental benefits (e.g. in terms of life; I don’t think it makes sense to give a monetary price to life).,Strongly Agree,6,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,10,,Strongly Agree,10,,Agree,10,International coordination is best. A lot can however be done at the level of a large country like the US or a continent like Europe
De Grauwe,Paul,Agree,7,,Agree,8,,Strongly Agree,9,
Eeckhout,Jan,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Fatás,Antonio,Agree,5,,Agree,4,,Agree,5,
Fuchs-Schündeln,Nicola,Strongly Agree,10,,Agree,7,,Strongly Agree,8,
Galí,Jordi,Agree,6,,Agree,6,,Strongly Agree,10,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Strongly Agree,7,,Strongly Agree,8,,Strongly Agree,10,
Guriev,Sergei,Strongly Agree,10,,Agree,8,,Agree,8,
Honohan,Patrick,Strongly Agree,8,,Agree,6,US is sufficiently large to affect global outcomes.,Strongly Agree,6,
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,Strongly Agree,10,,Agree,9,,Strongly Agree,10,
Krahnen,Jan Pieter,Strongly Agree,5,"Fighting climate change is an almost classical case of public goods provision. Provided, of course, you believe what scientists form several disciplines have been saying for a long time: climate change is at least partly man-made, and can thus be slowed down by policy action.",Strongly Agree,6,"Setting and enforcing emission standards is one way to achieve the internalization of greenhouse gas externalities. SInce the recission of emission policy is not substituting other ways of emission internaliztion, the net effect is necessarily negative.",Strongly Agree,5,International competition is one reason why collective greenhouse gas policy is so difficult to achieve. International agreements can help to avoid predatory emission policies.
La Ferrara,Eliana,Strongly Agree,7,,Agree,6,,Strongly Agree,7,
Leuz,Christian,Strongly Agree,8,,Agree,5,"For firms, abatement is costly, but large benefits to consumers &society. Estimates for global social cost of carbon (=benefits of abatemnt) $200-250, which often exceeds abatemnt costs. But US SCC is much lower, so case rests on US abatemt leading to abatemt by other OECD ctrys",Strongly Agree,8,
Manova,Kalina,Strongly Agree,6,,Strongly Agree,6,,Strongly Agree,8,
Mayer,Thierry,Strongly Agree,10,,Strongly Agree,9,,Strongly Agree,10,
Meghir,Costas,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Pagano,Marco,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Papaioannou,Elias,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,9,
Prendergast,Canice,Strongly Agree,7,,Agree,7,,Uncertain,3,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Strongly Agree,9,,Strongly Agree,7,,Strongly Agree,9,
Reichlin,Lucrezia,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Reis,Ricardo,Strongly Agree,7,I interpreted regulation broadly to include taxation on emissions.,Strongly Agree,7,,Agree,7,
Repullo,Rafael,Strongly Agree,6,,Uncertain,4,,Strongly Agree,6,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Strongly Agree,6,,Agree,6,,Agree,7,
Strömberg,Per,Strongly Agree,10,,Strongly Agree,10,,Strongly Agree,10,
Sturm,Daniel,Strongly Agree,8,,Strongly Agree,5,,Strongly Agree,8,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Strongly Agree,9,,Agree,7,,Strongly Agree,8,
Vickers,John,Strongly Agree,5,,Uncertain,4,,Strongly Agree,5,
Voth,Hans-Joachim,Disagree,8,,Strongly Disagree,7,,Disagree,8,
Wyplosz,Charles,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,5,
