Last Name,First Name,If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — US GDP will be substantially higher a decade from now than under the status quo.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,6,"The simplification of the tax code could be beneficial, but it is more than offset by its highly regressive nature.",Strongly Agree,8,How could it be otherwise?
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,
Auerbach,Alan,Uncertain,7,,Agree,7,
Autor,David,Disagree,5,Tax policy appears to have little effect at the margin on GDP growth in OECD countries. ,Strongly Agree,8,"Since growth is likely to be little affected, debt to GDP will rise substantially, absent offsetting policies -- which are rarely enacted"
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Disagree,7,,Agree,7,
Bertrand,Marianne,Uncertain,5,,Agree,5,
Brunnermeier,Markus,Uncertain,3,It is more likely that GDP will be somewhat higher,Agree,8,
Chetty,Raj,Disagree,9,,Agree,9,
Chevalier,Judith,Disagree,5,,Agree,7,
Cutler,David,Strongly Disagree,5,,Strongly Agree,9,
Deaton,Angus,Strongly Disagree,7,,Strongly Agree,7,
Duffie,Darrell,Agree,5,A reduced corporate tax reduction is likely to grow GDP. Whether the overall tax plan is distributionally fair is another matter. ,Strongly Agree,5,"By design, the plan increases debt by $1.5 trillion, net of increased-revenue effects. That seems to imply that debt to GDP will rise.  "
Edlin,Aaron,Disagree,7,,Agree,8,
Eichengreen,Barry,Strongly Disagree,8,,Agree,8,
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Strongly Agree,7,
Finkelstein,Amy,Disagree,8,,Strongly Agree,8,
Goldberg,Pinelopi,Uncertain,5,,Agree,5,
Goolsbee,Austan,Strongly Disagree,10,Of course not. Does anyone care about actual evidence anymore? ,Strongly Agree,10,Cut taxes. Lose money. Repeat.
Greenstone,Michael,Disagree,5,,Agree,5,
Hall,Robert,Uncertain,3,"Though there is merit in cutting the corp tax and other capital taxes, with no other changes in policy, the fed gov will collapse.",Strongly Agree,8,"Spending is on a relentless increase relative to revenue. Within 10 years, the fed gov will lose access to credit."
Hart,Oliver,Uncertain,5,The incentive effects  are unclear to me. Some of the simplifications make sense but many of the changes look like hand-outs to the rich.,Agree,7,It seems unlikely that the optimistic growth figures are correct and so the budget deficit will rise unless government cuts are made.
Holmström,Bengt,Uncertain,6,,Strongly Agree,4,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Disagree,8,,Strongly Agree,8,
Judd,Kenneth,Uncertain,7,,Strongly Agree,8,
Kaplan,Steven,Uncertain,8,,Agree,3,
Kashyap,Anil,Disagree,1,doubt it will substantially change things either way,Agree,5,especially worry about the lost revenue from the pass-through loopholes
Klenow,Pete,Uncertain,4,"Expensing of investment would provide a bigger boost to the capital stock and GDP 10 years from now, per dollar of revenue lost.",Strongly Agree,6,
Levin,Jonathan,Uncertain,3,,Agree,4,
Maskin,Eric,Uncertain,6,,Agree,7,
Nordhaus,William,Disagree,5,Keynesian effect will have disappeared. Higher debt will probably outweigh lower corporate tax rates. Unlikely that nothing else will change,Strongly Agree,9,This is at least is clear. No way the growth effects will be strong enough to offset the revenue losses.
Saez,Emmanuel,Disagree,8,,Strongly Agree,9,
Samuelson,Larry,Strongly Disagree,8,Other factors swamp the importance of details of the tax code in determining GDP.,Strongly Agree,8,"The prospect of 5% GDP growth is absurdly unrealistic, and in its absence everyone agrees the proposed tax reform will contribute to debt."
Scheinkman,José,Disagree,6,,Agree,5,Provided one agrees that an increase in debt of 5 to 10 percentage points of GDP is substantial.
Schmalensee,Richard,Strongly Disagree,5,,Strongly Agree,5,
Shapiro,Carl,Strongly Disagree,8,,Strongly Agree,10,
Shimer,Robert,Disagree,7,,Strongly Agree,8,
Thaler,Richard,Disagree,3,"Aside from the redistribution of wealth, hard to see this changing much.",Agree,6,
Udry,Christopher,Strongly Disagree,5,,Agree,7,
