Last Name,First Name,Freer movement of goods and services across borders within Europe has made the average western European citizen better off since the 1980s.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Freer movement of goods and services across borders within Europe has made many low-skilled western European citizens worse off since the 1980s.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Q9 - Topics
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,,
Allen,Franklin,Strongly Agree,7,"Free trade increases the efficiency of the economy.  Although there significant distributional issues, the average person is better off.",Agree,5,Some workers are made worse off but as consumers they are probably better off.,
Antras,Pol,Strongly Agree,8,It would be hard to argue it has been worse for the average western citizen,Uncertain,6,The sentiment of many low-skilled workers is that they might have been made worse off. This is probably true for some but not clear how many,
Bénassy-Quéré,Agnès,Strongly Agree,8,"Although there is no counter-factual, many studies suggest that European integration has increased average GDP per capita.",Disagree,8,"In most Western EU countries, inequalities of disposable income have not increased at least up to the crisis.",
Baldwin,Richard,Strongly Agree,10,Author of leading textbook on Econ of European integration,Strongly Disagree,10,,Unknown
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,
Blanchard,Olivier,Strongly Agree,8,,Agree,8,,
Bloom,Nicholas,Strongly Agree,10,,Strongly Disagree,7,,
Blundell,Richard William,Strongly Agree,9,"Europe, including the UK, is a highly integrated economic region. Across a whole set of services, manufacturing and agricultural products.",Uncertain,6,A set of changes including rules on union bargaining and skill-biased tech change that have put downward pressure on low skilled male wages.,
Carletti,Elena,Agree,5,,No Opinion,,,
Danthine,Jean-Pierre,Strongly Agree,2,,Agree,2,but appropriate training and labour market policies have the overall impact of free trade positive for almost everyone in some countries,
De Grauwe,Paul,Agree,8,,Agree,7,,
Eeckhout,Jan,Strongly Agree,10,,Uncertain,7,,
Fehr,Ernst,Agree,8,,Uncertain,4,,
Freixas,Xavier,Strongly Agree,8,"In spite of some costs due to the common agricultural policy, the benefits of specialization have allowed a more efficient allocation",Strongly Agree,8,European competition has led to a reduction in low skilled jobs that combined with a larger supply coming from low income countries ,
Fuchs-Schündeln,Nicola,Strongly Agree,9,,Agree,5,,
Galí,Jordi,Agree,8,"Access to a larger variety of goods and services, at lower prices. A higher standard of living overall.",Agree,4,"Possibly, and at least in the short run, due to the reallocation of manufacturing activities in low wage new EU members.",
Garicano,Luis,Strongly Agree,9,,Disagree,9,,
Giavazzi,Francesco,Strongly Agree,10,the questions asks about movements WITHIN Europe: here there is no doubt,Strongly Disagree,10,"again the question is about trade within europe, thus no doubts",
Griffith,Rachel,Strongly Agree,9,A body of empirical evidence and theory suggests gains from European integration. ,Disagree,5,"Some low-skilled workers have undoubtedly been made worse off, but we do not know if many have, any my sense is that it is not many.",
Guerrieri,Veronica,Strongly Agree,7,,Uncertain,7,,
Guiso,Luigi,Strongly Agree,1,,Uncertain,1,"I think competition to Asia may have had this effect but not openness within Europe, except perhaps the enlargement to the eastern European ",
Hellwig,Martin,Did Not Answer,,,Did Not Answer,,,
Honohan,Patrick,Strongly Agree,9,But not uniform increases: stronger in Eastern Europe.,Disagree,7,"Some yes; many no.  But this is measuring economic wellbeing.  Loss of identity, community, social certainties would be an offset.",
Kőszegi,Botond,Strongly Agree,8,,Uncertain,3,,
Kleven,Henrik,Strongly Agree,9,,Uncertain,8,,
Krahnen,Jan Pieter,Agree,7,"Citizens, not workers or consumers are evaluated. Gains from trade have probably increased in terms of averaging across Europeans.",Disagree,7,Gains from trade have increased the extent to which redistribution via the social security system can be effective.,
Krusell,Per,Strongly Agree,8,"I am not a trade economist by specialization, which explains why I selected somewhat limited confidence. ",Disagree,8,I think mist low-wage competition is from outside of Europe. Of course some always lose from trade. But many low-skilled workers gain too.  ,
La Ferrara,Eliana,Agree,4,,Disagree,2,,
Leuz,Christian,Strongly Agree,8,Especially in the long run.,Uncertain,7,Benefit from lower prices but neg. employment effects; net effect depends on horizon & transfers. Bigger effect for them is technology,
Meghir,Costas,Strongly Agree,10,,Strongly Disagree,8,,
Neary,Peter,Strongly Agree,8,"Greater integration has led to classical gains from trade through specialization, as well as new gains from exploiting supply chains",Disagree,6,"It is not true that many low-skilled workers have lost out, especially considering improved quality and lower prices; but some have lost",
O'Rourke,Kevin,No Opinion,,"I'd have chosen ""meaningless"" if I could have, since ""average citizen"" is a dangerous fiction. Intra-EU trade has clearly increased GDP",Disagree,6,Intra-EU trade has hurt some via outsourcing to Eastern Europe but not huge numbers I guess -- extra-EU trade more the problem here.,
Pagano,Marco,Strongly Agree,7,"This statements is not only consistent with what economic theory predicts, but also with substantial evidence from several studies.",Disagree,4,"Intra-EU trade expanded employment opportunities. Some displacement of low-skill workers occurred, but mostly due to non-EU imports.",
Pastor,Lubos,Agree,8,,Agree,5,,
Persson,Torsten,Strongly Agree,8,,Disagree,6,Trade within western Europe is mostly intra-industry trade,
Pissarides,Christopher,Strongly Agree,10,Trade allows more specialization and this increases efficiency so there is more variety of goods available at lower cost,Disagree,5,it has made some western workers worse off but not many because of competition from lower-cost eastern nations,
Portes,Richard,Strongly Agree,10,"For consumers, there has been an astonishing increase in variety for all goods and a significant reduction in the real prices of durables. ",Strongly Disagree,10,Free movement of goods and (not all) services has benefited low-skilled as well as high-skilled; migration may have harmed some low-skilled.,
Prendergast,Canice,Strongly Agree,9,,Agree,6,,
Reichlin,Lucrezia,Agree,5,,Disagree,8,,
Repullo,Rafael,Strongly Agree,8,,Disagree,6,,
Rey,Hélène,Agree,7,Standard economic theory arguments in favour of free trade seem to apply fairly well within Europe.,Disagree,5,Some low-skilled workers worse off because of  job outsourcing. Compensations to losers not adequate. But there are also gains to consumers ,
Schoar,Antoinette,Strongly Agree,8,,Disagree,7,,
Van Reenen,John,Strongly Agree,8,"Numerous studies, especially of the impact of single market",Disagree,8,Overall income growth is greater; no obvious differential impact by skill (all relatively wealthy countries). Our Brexit analysis summarises,
