Last Name,First Name,"Because of the American Recovery and Reinvestment Act of 2009, the U.S. unemployment rate was
lower at the end of 2010 than it would have been without the stimulus bill.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Taking into account all of the ARRA’s economic consequences — including the economic costs of raising taxes to pay for the spending, its effects on future spending, and any other likely future effects — the benefits of the stimulus will end up exceeding its costs.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,9,,Agree,2,"Feedback effects too complicated to calculate. My best guess is that the program was marginally beneficial, but monetary easing helped more.",,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Strongly Disagree,5,"High confidence on an issue like this would be foolish.That being said, the depressing effect of future liabilities likely exceeded benefits",Strongly Disagree,5,same as above,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Uncertain,6,There has been no serious study of this. Most analyses that try to analyze 2008-2011 are too simple and/or plagued with mathematical errors.,Uncertain,6,Same as response to previous question.,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,7,But this is an incredibly low bar.  ,Uncertain,7,Payoffs to special interests (& associated political costs that paralyzed other efforts) made it far less effective than it could have been,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,8,Caveat: how much was it offset by less agressive (than otherwise) unconventional monetary policy?,Uncertain,8,Depends critically on how permanent and useful the stimulus to government spending.,,,,,,,,,,,,,,,,,,
Lazear,Edward,Disagree,6,"The estimates are varied and the highest are based on ex ante models, not experienced-based data.  The upper bound estimate is low. ",Strongly Disagree,8,The cost is the enormous and tough-to-reverse growth of government. This swamps even high estimates of benefits. See my op-eds. that explain,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,6,,Agree,6,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Strongly Agree,9,See the various CBO studies on the subject. ,Agree,7,"Hard to know how the increased debt will be paid (Congress could make a mess of it), so some uncertainty here.",,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,9,,Strongly Agree,9,,,,,,,,,,,,,,,,,,,
Rouse,Cecilia,Strongly Agree,10,"With the caveat that there is no perfect experiment, the evidence suggests it boosted the economy.",Agree,9,"Not sure how to interpret ""effects on future spending"" but I'm persuaded the alternative (without the ARRA) would have put us on a bad path.",,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Strongly Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,4,,Uncertain,3,This will depend on future tax and spending policies. ,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,6,,Agree,3,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Agree,7,,Disagree,6,,,,,,,,,,,,,,,,,,,
Stock,James,Strongly Agree,8,,Agree,7,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Agree,8,"Block grants to the states allowed them to cut education, health, and other services by less as state tax revenues fell.",No Opinion,,"How can anyone imagine this question is answerable, given the current state of economic science?",,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,7,Even clearer by 2011.  Why ask about 2010 when much of the stimulus is slow acting?  The stimulus project on my way to work just finishing.,Strongly Agree,8,The part of the economy where we are still losing jobs is gov employment.  Gov can create its own recession by being short sighted.,,,,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,3,,Agree,1,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Agree,6,At the very minimum the transfer to the states prevented them from firing state employees. But I do not know how big the overall effect was ,Disagree,4,,,,,,,,,,,,,,,,,,,
