Last Name,First Name,Removing intellectual property protections on Covid-19 vaccines would substantially improve availability of the vaccines in developing countries.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Removing intellectual property protections on Covid-19 vaccines would have a negative impact on vaccine development efforts for future variants of SARS-CoV-2 or for the next pandemic.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Without an international agreement that facilitates vaccine trade, countries’ incentives to limit exports of vaccines and/or key production inputs are likely to prolong the adverse effects of the pandemic in advanced countries.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,"Relaxing ex post monopoly after invention helps users, esp. poor users. Sometimes IPR important for market entry but not likely in this case",Uncertain,6,Drug innovation respond to profits (see links). But there is plenty of profits from rich nations; those from LDCs won't to be decisive. ,Strongly Agree,6,"Global cooperation is key for a global pandemic. If half of the world does not vaccinate, new mutants will emerge and spread in the West too"
Altonji,Joseph,Uncertain,3,,Agree,3,,Agree,5,
Auerbach,Alan,Agree,5,,Strongly Agree,7,,Agree,3,
Autor,David,Agree,4,,Agree,5,"New equilibrium: If governments lift vaccineIP protections ex post, they should be prepared to pay for the next round of vaccines ex ante.",Agree,4,
Baicker,Katherine,Uncertain,3,,Strongly Agree,3,,Uncertain,3,
Banerjee,Abhijit,Strongly Agree,6,,Uncertain,5,The answer depends on how this is done. It could be a relatively cheap buy out--the developers have made enough money already from the OECD.,Agree,7,
Bertrand,Marianne,Uncertain,4,,Uncertain,5,,Agree,5,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Disagree,6,"With 10-12 vaccines, many w/strong commitments to license to anyone, other supply chain issues seem to be a stronger impediment.  ",Agree,6,"Details matter but a change in the rules that makes it harder for companies to recoup investments in variant development, etc. problematic",Agree,2,Low certainty here as details matter. 
Cutler,David,Uncertain,4,,Agree,4,Depends if in all countries or just low income countries.,Agree,7,
