Last Name,First Name,"Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found here.)",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found here.)",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,6,,Uncertain,7,Past evidence suggests that there will be waste and corruption (a lot of corruption!). But this does not imply that average NPV is negative.,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,8,,Agree,8,Both public and private sector investments are risky. Some infrastructure projects will fail even when most have high social returns.,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,7,,Agree,5,,,,,,,,,,,,,,,,,,
Autor,David,Agree,6,,Disagree,4,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,Agree,2,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Uncertain,1,How do we know that the US has underspent? Investment will probably raise incomes for Keynesian reasons but will it promote growth?,Agree,7,"Many does not have to mean most, and on average returns may be quite positive. We just don't know enough right now.",,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,4,,Disagree,3,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Agree,4,,Uncertain,3,,,,,,,,,,,,,,,,,,
Chetty,Raj,Agree,5,,Uncertain,1,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,5,,Agree,3,,,,,,,,,,,,,,,,,,
Currie,Janet,Agree,6,,Agree,6,,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,6,,Uncertain,5,,,,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,5,"Public infrastructure is valuable, and the premise of underspending in this area seems correct. Hence, the conclusion.",Uncertain,5,"The accounting return to the government would be low, but the total returns, include positive social spillovers, could be moderately good.",,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,,Agree,1,"Many projects would no doubt be mistakes, but many is far from most.  Most would probably be good investments. ",,,,,,,,,,,,,,,,,
Eichengreen,Barry,Strongly Agree,7,,Uncertain,5,,,,,,,,,,,,,,,,,,
Einav,Liran,Agree,6,,Uncertain,5,,,,,,,,,,,,,,,,,,
Fair,Ray,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,6,,Disagree,6,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Agree,6,public goods matter if chosen well,Agree,6,hard to argue with the reality that some money will end up in powerful districts without much need for it when congress controls,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,7,seems likely  but spending not determined by costs and benefits  see innovative proposal below lots of efficiency gains w pricing policies,Agree,7,currently infra spending does not aim to maximize returns. c. winston research says returns are declining but more research is critical,,,,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,10,"I would say increase average welfare rather than income. There are surely many potential projects where the social benefit exceeds
cost.",Uncertain,5,Perhaps sometimes true in the past but I don't think it's inevitable. Projects like the interstate highways are notable exceptions.,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,7,,Disagree,5,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Strongly Agree,9,In the long run. ,Disagree,8,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,3,"I interpret ""underspending"" to mean that spending more would increase economic productivity. So, yes.",Agree,5,The same is true of many investments in the private sector. Hard to imagine the government having a better record than the private sector.,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,6,,Strongly Agree,10,Just consider the high speed rail system in California.,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,7,,Agree,3,"Depends on what many means, but the perpetual repaving of roads in Chicago is not that atypical of many public projects. ",,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,3,,Agree,6,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,5,,Uncertain,4,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,7,,Disagree,5,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,5,"I would rather this be about all kinds, not just physical.",Uncertain,1,"Poorly worded. Surely ""many"" out of 50K miles, but probably not ""most.""",,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,5,,Disagree,4,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,8,It would increase welfare; income is more difficult to assess.,Agree,5,,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,7,Better regulation and congestion pricing would also help.,Uncertain,6,,,,,,,,,,,,,,,,,,
