Last Name,First Name,"Giving specific presents as holiday gifts is inefficient, because recipients could satisfy their preferences much better with cash.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,1,
Alesina,Alberto,Strongly Disagree,1,the choice of the gift giver is a signal of intensity of search effiort
Altonji,Joseph,Disagree,8,"Cash is more efficient in a narrow sense, but holiday gift exchanges are about interpersonal relationships."
Auerbach,Alan,Uncertain,5,Clearly true if one ignores the pleasure one may get in choosing or receiving specific gifts.  Only in some cases are these factors minimal.
Autor,David,Disagree,10,Are you serious? Presents serve multiple interpersonal purposes. Revealed preference indicates that income transfer is not the primary one. 
Baicker,Katherine,Uncertain,7,Depends on goal: may have goal (like create emotional connection through item - as if economists had emotions!) not achievable with cash.  
Banerjee,Abhijit,Disagree,7,Giving a present gives one an occssion to think about the recipient. The effort one puts into buying can be an important signal as well. 
Bertrand,Marianne,Disagree,5,
Brunnermeier,Markus,Strongly Disagree,9,it's the thought (identifying the right present) that matters! In addition money lacks the surprise element.
Chetty,Raj,Agree,7,
Chevalier,Judith,Agree,10,"Of course does not consider receiver's joy of giving, etc:"
Currie,Janet,Disagree,7,Gifts serve many functions such as signalling regard and demonstrating social ties with the recipient.  Cash transfers don't do this as well
Cutler,David,Uncertain,1,I don't want to be a scrooge!
Deaton,Angus,Strongly Disagree,10,This is the sort of narrow view that rightly gives economics  bad name. 
Duffie,Darrell,Disagree,7,A large benefit is the pleasure of choosing something special for the receiver. Maybe one's hand-knit socks are more fun to give than cash!
Edlin,Aaron,Disagree,9," ""It is the thought that counts"" has more truth than some allow.  Gifts are more than things.  "
Eichengreen,Barry,Disagree,5,"Implications of a specific gift (signal it sends, behavioral impact) may give additional utility to either the giver or receiver."
Einav,Liran,Agree,8,
Fair,Ray,Uncertain,5,The act of giving or receiving gifts can add value to the gifts.
Finkelstein,Amy,Uncertain,6,
Goldberg,Pinelopi,Agree,6,
Goolsbee,Austan,Disagree,10,"Instead of proposing to your wife w/diamond ring, you offer a gift card of equal value. Efficient--if you don't count your hospital bills."
Greenstone,Michael,Agree,5,generally agree but exposes neoclassical econ limitations bc it excludes utility from gift giver or recipient choosing/receiving a gift. 
Hall,Robert,Disagree,8,"Giver informs receiver of novel experience. And (John Solow) giver can't enjoy directly, but only with participation of receiver (jewelry)"
Hart,Oliver,Disagree,10,An assistant might prefer cash. For a friend a present that shows that you have thought about what matters to them might mean much more.
Holmström,Bengt,Strongly Disagree,7,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,10,
Judd,Kenneth,Disagree,7,Recipients often want to know that the giver spent time thinking about the gift and acquiring it. Giving cash is too easy in their eyes.
Kaplan,Steven,Agree,7,"In some cases, non-pecuniary values are important, but in general, the statement is true."
Kashyap,Anil,Agree,7,Motivation for the present has to be non-monetary -- but try giving your spouse cash!  
Klenow,Pete,Disagree,5,"I know the argument (see link), but a costly signal can be worthwhile."
Maskin,Eric,Disagree,8,Only an economist could think like this.
Nordhaus,William,Disagree,9,"Disagree because the value is the thought behind selecting the present, not the cash involved. So true for thoughtless presents."
Obstfeld,Maurice,Uncertain,8,The judgment would seem to depend on the giver's motivation.
Saez,Emmanuel,Uncertain,6,
Samuelson,Larry,Strongly Disagree,10,Gift giving is a form of communication.  Comparing the gift to what the recepient would purchase with cash misses the esssence of gifts.
Scheinkman,José,Uncertain,5,
Schmalensee,Richard,Disagree,5,"Generally, of course.  But shopping takes time, and some gifts you would never have shopped for turn out to satisfy unsuspected preferences."
Shapiro,Carl,Strongly Disagree,10,"Balderdash. This narrow notion of ""efficiency"" -- and what life is about -- gives economists a bad name.  Here's to the winter solstice."
Shimer,Robert,Disagree,7,Many reasons why gifts may be better than cash. Signaling thoughtfulness. Specialized knowledge of giver. Gifts from travels...
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,Uncertain,10,"For many (most?) gifts, ""efficiency"" is not the point.  "
Thaler,Richard,Uncertain,3,"Is this a trivial price theory quiz or an interesting behavioral question.? To test price theory, try a cash gift next Valentine's day."
Udry,Christopher,Strongly Disagree,10,"Bah, humbug.  Such a claim takes an oversimplified model too seriously. Gifts can serve many purposes. "
Levin,Jonathan,Did Not Answer,,
