Last Name,First Name,"Most college professors who assign textbooks would not be able to guess, within 10% of the actual figure, the retail price that their students pay for new copies of those books.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Since students can resell college textbooks or rent electronic versions, the net burden on students is substantially lower than retail prices for new textbook purchases would suggest.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even though the professors who select textbooks are different form the people who pay for them, the price of new edition college textbooks reflect classic forces of supply and demand.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,1,,Agree,4,,Uncertain,5,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Agree,4,Faculty will know what their university book store charges but will not know about foreign editions,Agree,8,,Disagree,4,
Auerbach,Alan,No Opinion,,,Agree,7,,Uncertain,3,
Autor,David,Strongly Agree,8,,Agree,8,,Disagree,8,"Only if you include agency problems among the ""standard forces"" of supply and demand. "
Baicker,Katherine,Agree,1,,Agree,2,,Disagree,2,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Agree,3,,Agree,3,,Disagree,3,
Brunnermeier,Markus,Strongly Agree,8,,Uncertain,8,,Disagree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,8,I have not seen a recent survey. I am reminded to list the price of the texts on my syllabus by the person in charge of HEOA compliance.,Agree,10,"Yes, of course the fact that one can (often) sell the new book back helps, but many students skip buying the textbook. ",Agree,8,Professors only partially consider price when choosing textbooks. And consider test banks and other perks.BUT students are P elastic.
Currie,Janet,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Agree,4,,Agree,4,,Agree,4,"More than just classic supply and demand, though."
Deaton,Angus,Uncertain,1,,No Opinion,,"Depending on the meaning, seems either trivially true, or just unclear what is being held constant.",Agree,8,"In some sense, this MUST be true. What else could it be?"
Duffie,Darrell,Agree,6,"Just a guess, based on my own experience.",Disagree,2,Most of the students I see seem to have new copies. Stanford may not be the norm.,Strongly Disagree,4,"Author-publisher search costs are high. Then, second-hand market aside, the publisher has a monopoly on the title, implying pricing power. "
Edlin,Aaron,Agree,6,,Agree,6,,Disagree,8,
Eichengreen,Barry,Agree,5,,Agree,5,,Uncertain,5,
Einav,Liran,Agree,6,,Uncertain,6,,Agree,7,
Fair,Ray,Agree,5,,Agree,7,,No Opinion,,Question too broad
Finkelstein,Amy,Agree,2,,Strongly Agree,8,,Agree,3,
Goldberg,Pinelopi,No Opinion,,,Agree,6,,Disagree,6,
Goolsbee,Austan,Uncertain,1,,Agree,10,,Agree,5,
Greenstone,Michael,Agree,3,,Uncertain,3,"maybe.  it depends on several factors, including how active these markets are and the costs of reselling/renting",Agree,2,Chevalier/Goolsbee research suggests demand is price elastic so not divorced from S & D but agency problem surely creates distortions 
Hall,Robert,Uncertain,1,I'd run a survey if I wanted to know,Agree,8,...to a person who was unaware of the resale market (not me!),Agree,5,"Provided one takes a broad view of supply and demand--printed books are a sunset product, and thus pricey."
Hart,Oliver,Agree,7,"My guess is that most pick what they think is the best book (or, of course, their own book) without regard to price. ",Agree,8,"This seems rather self-evident, although perhaps not all students can do this. Some people no doubt also photo-copy parts of books.",Disagree,5, In some fields there will be a prominent book with few competitors. The author has some monopoly power; the equilibrium price may be high.
Holmström,Bengt,Agree,7,,Agree,7,,Disagree,7,
Hoxby,Caroline,No Opinion,,I am not aware of any data on this question so I would just be guessing.,Strongly Agree,10,It is costly to change a textbook much with each edition so students can use much cheaper past editions with little intellectual loss.,Uncertain,8,"There is an agency problem (instructors=agents, students=principals) but not severe owing to used books and student evaluations. "
Hoynes,Hilary,Agree,5,,Disagree,8,"The resale market helps but does not change the net burden by much,",Uncertain,5,
Judd,Kenneth,Agree,8,,Agree,7,,Disagree,7,Product differentiation and lack of incentives for professors to make efficient choices make this unlikely.
