Last Name,First Name,The federal government would make the average U.S. citizen better off by using policies that directly focus more on increasing manufacturing employment than employment in other sectors.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Because firms and inventors do not capture the full returns from research and development, the government would increase the average well-being of Americans (and potentially of others too) by favoring R&D using the tax code.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,7,,Agree,8,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Uncertain,5,,Agree,5,
Auerbach,Alan,Disagree,7,,Agree,4,
Autor,David,Agree,5,"Holding wages constant, manufacturing jobs appeal more to non-college males, the group whose employment rate is falling most rapidly. ",Disagree,5,"Unclear if R&D credits induce R&D at the margin or mostly reward inframarginal R&D. I prefer govt fund basic research directly (NIH, NSF)."
Baicker,Katherine,Disagree,4,,Uncertain,3,
Bertrand,Marianne,Strongly Disagree,3,,Uncertain,2,
Chetty,Raj,Disagree,5,,Agree,7,
Chevalier,Judith,Disagree,8,The counter argument is knowledge or other spillovers in manufacturing.,Agree,8,Same argument suggests role for public support of university research.
Currie,Janet,Strongly Disagree,8,,Uncertain,5,
Cutler,David,Agree,3,A caveat -- the auto bailout was manufacturing specific and more valuable than the equivalent policy spread across the economy as a whole,Strongly Agree,6,
Deaton,Angus,Disagree,7,,Agree,6,
Duffie,Darrell,Disagree,3,Its not obvious that this policy addresses an important externality and has low unintended consequences.,Agree,4,"If the positive R&D externality seems plausible, it makes sense to subsidize. There are some cases in which this has worked (universities)."
Edlin,Aaron,Disagree,7,"Most workers don't work in manufacturing, so such policies are apt to redistribute from the average person to manufacturing workers. ",Agree,7,"More innovation is almost surely good, and more R&D spending may increase innovation."
Eichengreen,Barry,Disagree,5,It would make average Americans better off by focusing on and helping to finance investments in skills and training useful in manufacturing.,Agree,5,
Fair,Ray,Disagree,5,,Agree,5,
Goldberg,Pinelopi,Disagree,6,,Disagree,6,
Goldin,Claudia,Disagree,5,,Agree,5,
Goolsbee,Austan,Uncertain,10,depends what policy it is,Strongly Agree,10,among many ways
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Disagree,4,"Tremendously complicated. Many US manufactured goods have high profit margins, so correcting the distortion would help us and others",Agree,8,"Nordhaus has shown how much leakage of ideas occurs into the worldwide public domain. Of course, the US would capture only a quarter of gain"
Holmström,Bengt,Disagree,4,,Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Strongly Disagree,8,"The average American benefits from lower prices, not from any preference for manufacturing.",Agree,8,The relatively small cost of R&D subsidies is an effective way to support continued high American productivity.
Kashyap,Anil,Disagree,5,Memo to Romney and Obama: there is nothing per se special about manufacturing (except maybe nostalgia).,No Opinion,,Not sure of the magnitudes of the distortions once we account for patents and other R&D policies
Klenow,Pete,Uncertain,7,"Rents, externalities may be higher than in other sectors (evidence is not clear cut).  Higher national saving (needed!) would help U.S. mfg.",Agree,7,Caveat is that there are Type I and Type II errors in identifying research activities to receive special tax treatment.
Lazear,Edward,Did Not Answer,,,Did Not Answer,,
Levin,Jonathan,Disagree,5,"Don't see why gov't as a rule should directly subsidize manufacturing, though education, science, trade policy could indirectly benefit.",Uncertain,4,I'd be inclined toward policies fostering basic science and innovation that commercial applications can build on.  
Maskin,Eric,Disagree,7,,Agree,7,
Nordhaus,William,Disagree,7,,Strongly Agree,9,
Obstfeld,Maurice,Disagree,6,,Agree,5,
Saez,Emmanuel,Disagree,4,,Agree,5,
Scheinkman,José,Strongly Disagree,8,,Strongly Agree,8,
Schmalensee,Richard,Strongly Disagree,9,"This is the argument of the Physiocrats in modern dress.  Picking winners, even broadly defined, is rarely good policy.",Strongly Agree,8,One would need to be careful to define R&D fairly narrowly.  But it is hard to argue that there are no spillovers from comercial R&D.
Shin,Hyun Song,Uncertain,8,,Disagree,6,
Stokey,Nancy,Disagree,8,"Governments are usually poor at ""picking winners.""",Agree,9,
Thaler,Richard,Uncertain,1,"This or any other ""industrial policy"" is only as good as the implementation.",Uncertain,1,Again impossible to say without details.  Would prefer lower tax rate and broader tax.
Udry,Christopher,Strongly Disagree,6,"Manufacturing vs. Others isn't an appropriate classification; instead provide a good overall environment, look for targeted externalities.",Strongly Agree,7,Not just tax code. Other policies like advance market commitments and (of course) a thorough reform of patent policy.
Zingales,Luigi,Uncertain,4,I depends what you mean with average citizen. Lower educated people would probably benefit at the expense of others. ,Uncertain,4,"If you tink of fundamental research is probably true. If you think about research in general, even the premise might be wrong"
