Last Name,First Name,"Local ordinances that limit rent increases for some rental housing units, such as in New York and San Francisco, have had a positive impact over the past three decades on the amount and quality of broadly affordable rental housing in cities that have used them.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,4,
Alesina,Alberto,Strongly Disagree,9,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Disagree,6,
Autor,David,Strongly Disagree,8,Rent control discourages supply of rental units. Incumbent renters benefit from capped prices. New renters face reduced rental options. 
Baicker,Katherine,Disagree,5,
Bertrand,Marianne,Did Not Answer,,
Chetty,Raj,Disagree,7,
Chevalier,Judith,Strongly Disagree,9,Rent control will have similar effects to any price control.
Currie,Janet,Disagree,5,
Cutler,David,Disagree,3,I suspect zoning and building limits have been more important.
Deaton,Angus,Strongly Disagree,9,
Duffie,Darrell,Uncertain,2,
Edlin,Aaron,Disagree,1,Rent control lowers incentives to invest and increases incentives to hold underoccupied rentals
Eichengreen,Barry,Uncertain,2,
Fair,Ray,Strongly Disagree,10,
Goldberg,Pinelopi,Uncertain,5,"Price controls create disincentives to increase supply. But without rent control, no one outside the top 1% would be left in Manhattan."
Goldin,Claudia,Strongly Disagree,7,
Goolsbee,Austan,Disagree,5,
Greenstone,Michael,Strongly Disagree,8,Great if you are lucky enough to get one of those apartments!  Bad for all others The worst policies apply to new construction.
Hall,Robert,Strongly Disagree,9,
Holmström,Bengt,Agree,3,
Hoxby,Caroline,Strongly Disagree,10,Rent controlled units do not end up in the hands of low income people. Rent control discourages landlords from creating modest priced units.
Judd,Kenneth,Strongly Disagree,9,
Kashyap,Anil,Disagree,3,
Klenow,Pete,Disagree,3,"Land use regulations restricted supply as well.  Plus, rent controls lead to misallocation of housing units."
Lazear,Edward,Strongly Disagree,8,"Even in the short run, rent control induces owners to move property to other uses, misallocate the property, and substitute non-price alloc."
Levin,Jonathan,No Opinion,,I'm skeptical - but don't know enough about the programs to have a very informed view. 
Maskin,Eric,Disagree,7,
Nordhaus,William,Disagree,5,
Obstfeld,Maurice,Disagree,5,
Rouse,Cecilia,Disagree,6,"While well intended, theoretically they also likely limit expansions in supply and improvements in quality."
Saez,Emmanuel,Disagree,6,
Scheinkman,José,Disagree,6,
Schmalensee,Richard,Strongly Disagree,8,"Unless al the textbooks are wrong, this is wrong."
Shin,Hyun Song,Disagree,3,
Stock,James,Did Not Answer,,
Stokey,Nancy,Strongly Disagree,9,The planets are lined up here: theory and evidence point in the same direction.
Thaler,Richard,Disagree,3,Next questions: does the sun revolve around the earth.
Udry,Christopher,Disagree,5,
Zingales,Luigi,Disagree,6,
