Last Name,First Name,"If an AI-driven services productivity boom materializes over the next five years, it will substantially reduce current stock market valuations for firms with a large percentage of white-collar employees.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acharya,Viral,Uncertain,8,"AI can also augment and enhance creative potential of white collared workers. While clearly some of these jobs are likely to be replaced, newer jobs might get created. Broad generalizations are difficult or uncertain, especially over a 5 year horizon, by when firms may reinvent"
Campbell,John,Uncertain,3,"This will happen only if AI destroys the franchise value of those firms.  If they adopt AI and use it to cut their costs, while preserving their franchise value, there could be employment losses without damage to stock market values."
Cochrane,John,Disagree,8,"I puzzle to make sense of the question. If workers get 10x more productive, that should make profits and the firm more valuable, no? I thought the (false) worry was jobs, and capital earning everything."
Diamond,Douglas,Uncertain,4,
Du,Wenxin,Strongly Disagree,8,
Duffie,Darrell,Uncertain,2,"Depends on whether the white color services are an input (AI lowers cost) or an output (AI lowers demand, possibly)."
Fama,Eugene,No Opinion,,
Gabaix,Xavier,Did Not Answer,,
Goldstein,Itay,Uncertain,5,
Graham,John,Disagree,6,
Harvey,Campbell,Uncertain,5,"Just because white-collar employees are laid off does not mean stock prices will retreat. Remaining employees harnessing AI can boost productivity. But certain industries will be decimated, like the tax preparation industry. Also, we no longer need 36,000 new lawyers per year."
Hong,Harrison,Uncertain,8,
Jiang,Wei,Disagree,3,
Kaplan,Steven,Disagree,3,
Kashyap,Anil,Uncertain,9,"There are just too many scenarios to quantify this.  The Citrini Scenario assumes large organizations respond way, way more quickly than is plausible.  If you work in a large organization, ask yourself whether your firm could pivot that quickly."
Krishnamurthy,Arvind,Did Not Answer,,
Kuhnen,Camelia,Disagree,6,
Lowry,Michelle,Uncertain,8,
Ludvigson,Sydney,Uncertain,8,
Maggiori,Matteo,Uncertain,1,
Mester,Loretta,Agree,5,"Yes, provided firms with large share of white-collar workers aren't able to adapt as quickly to using AI as newer firms."
Moskowitz,Tobias,Strongly Disagree,8,I think the opposite. Technology usually leverages human capital.
Nagel,Stefan,Uncertain,3,Who the winners and losers are going to be (in terms of profits) and what the general equilibrium effects are going to be seems unclear at this point.
Papanikolaou,Dimitris,Uncertain,9,"Automation can cut costs; when adopters keep those savings, valuations rise. Productivity can make adopters grow faster, which also lifts valuations. Product-market competition can do the opposite: if AI-native firms or new entrants move faster, incumbents get displaced."
Parker,Jonathan,Uncertain,7,
Parlour,Christine,Did Not Answer,,
Philippon,Thomas,Uncertain,5,
Puri,Manju,Uncertain,6,
Roberts,Michael,Uncertain,8,
Sapienza,Paola,Did Not Answer,,
Seru,Amit,Uncertain,5,
Stambaugh,Robert,Disagree,9,"If the stock market is efficient, one would not expect substantial reductions in current stock-market valuations for any reason, including AI.   Are the current values of white-collar firms lower than before due to AI forecasts?  For some, yes;  for others, no."
Starks,Laura,Did Not Answer,,
Stein,Jeremy,Uncertain,3,
Stroebel,Johannes,Uncertain,10,
Thesmar,David,Uncertain,1,"It's impossible to know now whether AI will increase or decrease competition. Internet was supposed to increase competition but did not increase labor's share. it's also unclear that AI really substitute for white collar work, or complements it"
Titman,Sheridan,Disagree,2,
Van Nieuwerburgh,Stijn,Disagree,4,"There will be winners and lovers from AI, but the aggregate stock market value of all white collar employers will rise due to the productivity gains and the reduced labor expenses."
Wallace,Nancy,Agree,6,Current lower valuations and increased volatility of firms such as Salesforce and Oracle.
Whited,Toni,Uncertain,1,
Zhu,Haoxiang,Agree,8,"Even if these firms survive AI, they are unlikely to keep the pricing power for their services."
