Last Name,First Name,One of the leading reasons for rising U.S. income inequality over the past three decades is that technological change has affected workers with some skill sets differently than others.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,9,"But, importantly, it is not the only factor. The other three are: slower growth in the supply of skills; institutional changes; and trade."
Alesina,Alberto,Strongly Agree,9,
Altonji,Joseph,Strongly Agree,9,There is a lot of evidence that technical change has favored more skilled workers over the past 3 decades
Auerbach,Alan,Agree,6,
Autor,David,Strongly Agree,10,"It's not the only factor. Two others: slowing supply of skilled workers, and (probably) distorted pay-setting at the very top."
Baicker,Katherine,Agree,4,
Bertrand,Marianne,Strongly Agree,8,
Chetty,Raj,Agree,7,
Chevalier,Judith,Agree,10,"There are certainly many other factors, such as the tax code, etc."
Currie,Janet,Strongly Agree,2,Increasing demand for skill is an underlying factor driving increased inequality though institutional changes are also important.
Cutler,David,Agree,7,
Deaton,Angus,Strongly Agree,10,"I think there is excellent evidence on this, though it is also clear that much else is going on. Nor does the tech story imply benignity."
Duffie,Darrell,Strongly Agree,7,"This partial explanation does not lessen the policy importance of addressing the downside effects, including loss of social cohesion."
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,6,
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Agree,8,
Goldin,Claudia,Strongly Agree,9,But that is only the demand side.  The slowdown in the supply of these skill sets is just as important (or more).  You need the SS side too.
Goolsbee,Austan,Strongly Agree,10,"The data are pretty obvious that this is a key factor.  Not the only one, but a very significant one."
Greenstone,Michael,Agree,5,Seems self-evident but technological change cannot be measured directly; is this a falsifiable hypothesis?  what would Karl Popper say? 
Hall,Robert,Uncertain,4,Managers and financial salesmen account for most of the earnings growth at the top end. Not clear that tech change is responsible.
Holmström,Bengt,Agree,7,
Hoxby,Caroline,Agree,8,"It's likely that technological progress has favored high aptitude people. The evidence is only indirect,however: it's a residual explanation"
Judd,Kenneth,Agree,7,
Kashyap,Anil,Agree,7,"Hard to quantify the exact contribution, but it is undoubtedly big.  Also tricky in that it partially interacts with education and trade.  "
Klenow,Pete,Strongly Agree,10,
Lazear,Edward,Agree,7,The distribution has spread out at all relevant deciles.  The question that remains is why the skill gap is not closing. 
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,Disagree,5,"Although this is a common view, the causal factors are too complex to untangle unambiguously."
Obstfeld,Maurice,Agree,9,
Rouse,Cecilia,Agree,10,"Although there is some evidence to the contrary, the nature of occupational change and returns to schooling suggest it's important."
Saez,Emmanuel,Uncertain,8,Big debate on institutions vs. technology in labor economics. Technology is too narrow an explanation as it interacts with institutions.
Scheinkman,José,Agree,6,
Schmalensee,Richard,Agree,4,
Shin,Hyun Song,Uncertain,8,
Stock,James,Disagree,5,
Stokey,Nancy,Strongly Agree,9,Investment-specific technical change together with capital-skill complementarity explains much of the increase in the skill premium.
Thaler,Richard,Uncertain,3,Compared to what?  More than 1% have good tech skills. Education disparities and tax policies surely more important. 
Udry,Christopher,Agree,3,"This is hard to quantify, but the limited evidence is supportive. "
Zingales,Luigi,Agree,7,The statement is likely to be true but it does not address why the technology moved that way. 
