Last Name,First Name,A global minimum corporate tax rate would limit the benefits to companies of shifting profits to low-tax jurisdictions without biasing where they invest.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,A stable international tax system in which the major advanced economies collect a minimum rate on corporate income is achievable.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,A global corporate tax system that is based on the location of final consumers would be more efficient than one based on the location of corporate headquarters and production facilities.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,6,"But the benefits from such a tax depend on the rate. Multilateral bargaining may lead to an excessively low rate, missing a huge opportunity",Agree,6,Tax havens need to be regulated as well. There will be many more accounting tricks for tax evasion by MNEs. But feasible to close loopholes.,Uncertain,5,Headquarter location should be irrelevant. Uniform taxation is a good benchmark. Less clear whether based on cons. or production is better.
Altonji,Joseph,Agree,6,,Agree,3,,Agree,3,
Auerbach,Alan,Uncertain,7,It really depends on how widespread and uniform the adoption is.,Disagree,5,,Strongly Agree,7,
Autor,David,Agree,5,,Uncertain,5,,No Opinion,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Agree,5,,Uncertain,3,,Agree,2,
Brunnermeier,Markus,Agree,7,,Agree,7,,Strongly Agree,9,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Strongly Agree,5,,Agree,6,,Agree,6,
Deaton,Angus,Agree,6,,Agree,6,,Uncertain,4,
Duffie,Darrell,Agree,2,,No Opinion,,,Uncertain,2,
Edlin,Aaron,Agree,5,,Agree,5,,Agree,6,
Eichengreen,Barry,Agree,5,,Uncertain,5,,Uncertain,5,
Einav,Liran,Agree,1,,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Disagree,5,,Uncertain,5,
Finkelstein,Amy,Strongly Agree,4,,Uncertain,9,,Agree,4,
Goldberg,Pinelopi,Agree,7,"As long as the system is truly global, and international cooperation can be sustained.",Agree,7,,Agree,6,
Goolsbee,Austan,Agree,3,"If combined with other efforts yes. As a stand alone, much more difficult",Agree,8,The big economies are still hugely desirable and essential places to do business not powerless small open economies in a race to the bottom.,Agree,6,Sometimes the easiest thing to do is the quickest way to piss people off and that’s why they didn’t do it in the first place.
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hall,Robert,No Opinion,,,Uncertain,4,The literature on the instability of cartels suggest there is a problem,Agree,5,Consumption taxes make sense
Hart,Oliver,Agree,6,,Agree,6,,Uncertain,5,
Holmström,Bengt,Agree,4,,Uncertain,4,,Agree,3,
Hoxby,Caroline,No Opinion,,Such a proposal is pleasant to consider but is unrealistic in practice. Pie in the sky.,Strongly Disagree,10,,Uncertain,10,The location of consumers is an inferior system to the location of the owners of the capital.
Hoynes,Hilary,Agree,6,,Uncertain,8,,Uncertain,6,
Judd,Kenneth,Agree,8,Tax competition causes wasteful tax avoidance activities. This minimum also makes it easier for countries to bring down their rates.,Agree,5,"I hope that it can be achieved, but one always has to be skeptical about the ability of political processes to result in rational decisions.",Agree,6,"Taxes should not distort intermediate goods and production decisions, such as headquarters locations."
Kaplan,Steven,Uncertain,2,,Disagree,3,Suspect it is very hard to get all relevant countries to agree / implement.,Agree,5,
Kashyap,Anil,Agree,1,"If adopted by all important economies and tax havens, but is that realistic? ",Uncertain,5,Ireland?,Agree,5,
Klenow,Pete,Agree,2,,Strongly Agree,10,"Because of diminishing returns, not all capital will flee to the lowest tax location.",Agree,1,
Levin,Jonathan,Agree,4,,Agree,3,,Agree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Strongly Agree,8,,Agree,6,,Uncertain,4,Very complicated and untested 
Obstfeld,Maurice,Agree,5,,Uncertain,5,,Agree,5,
Saez,Emmanuel,Agree,9,,Agree,9,,Agree,9,
Samuelson,Larry,Agree,8,,Agree,8,,Agree,8,
Scheinkman,José,Agree,6,,Agree,4,,Agree,6,
Schmalensee,Richard,Agree,5,"Reduced variation would limit benefits, but investment would be effected -- bias relative to what/",Uncertain,8,I view this as an almost purely political question.,Agree,5,
Shapiro,Carl,Agree,8,,Uncertain,2,,Agree,4,
Shimer,Robert,Agree,3,"But it will affect where they invest, reducing investment in currently-low-tax countries.",Uncertain,3,Hard to close all loopholes,Uncertain,1,Forcing small companies to pay taxes in any small country where people buy their products would be inefficient and anticompetitive
Stock,James,Agree,6,,Agree,4,,Agree,6,
Thaler,Richard,Agree,4,,No Opinion,,Crystal ball is broken ,Uncertain,1,Just depends on what is hardest to game. I don't know the answer to that. 
Udry,Christopher,Agree,5,"It would depend on the details, of course",Strongly Agree,1,I'm an optimist. ,Agree,5,Not as easy to manipulate
