Last Name,First Name,The $300 supplement to weekly unemployment benefits available from now through September 6 constitutes a major disincentive to work for lower-wage workers.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The $300 supplement to weekly unemployment benefits available from now through September 6 is likely to lead to re-employment wages for currently unemployed workers that are higher by an economically meaningful amount.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,3,Probably yes. Slow response of employment to demand doesn't seem to be due to other factors. But no hard evidence and still some uncertainty,Uncertain,3,"Theory strongly suggests yes. But with low employment growth and the supplement set to expire, the hoped-for impact may be small or absent."
Altonji,Joseph,Uncertain,8,"""Major"" is probably too strong, but with COVID improving and labor demand rebounding, UI benefit levels matter more now than before.",Uncertain,6,"I expect wages in low wage, higher turnover jobs to rise, but firms will not make big wage changes in response to a temporary policy. "
Auerbach,Alan,Uncertain,5,,Uncertain,5,
Autor,David,Uncertain,10,"Since there's no evidence on this Q yet, only the WSJ editorial page can be certain that it constitutes a major disincentive to work!",Agree,4,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Disagree,6,,Disagree,6,
Bertrand,Marianne,Uncertain,8,,Uncertain,8,
Brunnermeier,Markus,Uncertain,7,,Agree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,5,I haven't seen a study that is current.  ,Uncertain,5,
Cutler,David,Uncertain,4,"the ""major"" part makes me uncertain.",Agree,5,
Deaton,Angus,Disagree,6,,Agree,5,
Duffie,Darrell,Uncertain,2,,Uncertain,2,
Edlin,Aaron,Agree,7,$300 of extra money per week is quite meaningful to a low wage worker.  Certainly enough to affect decisions. ,Uncertain,6,Too complex to guess.  Workers can wait for a good opportunity.  But long term unemployed people often have bad opportunities. 
Eichengreen,Barry,Disagree,5,"I go for ""minor disincentive."" More important are childcare responsibilities, fear of COVID in jobs with close personal contact.",Disagree,5,"I go for ""economically marginal"" instead of ""economically meaningful,"" following the logic of my answer to the first question."
Einav,Liran,Agree,1,,Agree,1,
Fair,Ray,Disagree,5,"Not likely ""major""",Disagree,5,"labor supply increases, wages rise?  But wages may rise along with price inflation.  "
Finkelstein,Amy,Agree,1,,Agree,1,
Goldberg,Pinelopi,Uncertain,6,"It depends. In sectors where demand has not yet recovered, the $300 is not the issue. Where demand has recovered, the disincentive may exist",Uncertain,5,"IFF they get re-employed, probably yes. By how much is uncertain, depends on the industry and state."
Goolsbee,Austan,Uncertain,6,"So far slow hiring is not really correlated w/UI generosity either across sectors or across states. Once things are “normal” again, then yes",Disagree,5,Maybe for some but not overall (yet)
Greenstone,Michael,Uncertain,4,,Uncertain,2,
Hall,Robert,Uncertain,4,Only for people eligible for benefits,Uncertain,2,
Hart,Oliver,Uncertain,5,I don't think we know enough about it. Fears of getting Covid may be a more important factor.,Uncertain,5,
Holmström,Bengt,Agree,4,,Agree,3,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Disagree,5,The existing evidence is now dated but shows that moral hazard is not large. That could be changing but no evidence yet that it has.,Uncertain,8,I want to believe this but little evidence from the US that this is the case.
Judd,Kenneth,Agree,4,,Agree,6,"Higher UI benefits allows workers to spend more time looking for a good job, in terms of wages or other job characteristics."
Kaplan,Steven,Strongly Agree,9,,Agree,6,
Kashyap,Anil,Agree,1,"How many think with the uncertainty about how reopening will proceed and the risk of reversals and another layoff, why take a job now? ",Uncertain,3,
Klenow,Pete,Uncertain,3,"There will be some adverse effect on employment, just not clear how much",Uncertain,3,Depends on how sticky wages are.
Levin,Jonathan,Disagree,3,,Disagree,3,
Maskin,Eric,Agree,5,,Agree,5,
Nordhaus,William,Agree,5,"major too strong, but significant",Agree,5,could add a few basis points to wage inflation
Obstfeld,Maurice,Uncertain,6,,Disagree,6,
Saez,Emmanuel,Uncertain,9,,Uncertain,9,Extensive unemployment ins. empirical evidence not able to show such wage effects. This is a much bigger experiment that we will learn from.
Samuelson,Larry,Disagree,5,"Anecdotal cases of benefit recipients declining work will abound, but the evidence is that the effect is not major.  ",Agree,6,It will be difficult to distinguish this effect from the effect of looming inflation.
Scheinkman,José,Uncertain,5,It is a disincentive but not sure about major,Uncertain,5,Higher UI increases workers bargaining position and also allows searching for better matches. Not sure about economically meaningful amount.
Schmalensee,Richard,Uncertain,6,"Clearly a disincentive, but major?  Compared with the effect of schools being closed?  ",Agree,4,
Shapiro,Carl,Uncertain,2,,Uncertain,2,
Shimer,Robert,Strongly Agree,8,Many workers are still get more in UI than their old wage.  ,Uncertain,6,There is no evidence that higher UI raises reemployment wages (perhaps surprisingly)
Stock,James,Agree,6,,Agree,4,
Thaler,Richard,Uncertain,1,,Uncertain,1,
Udry,Christopher,Agree,5,"""Major"" is probably too strong, but it does permit some workers to search more/longer for better jobs.",Agree,7,
