Last Name,First Name,"Allowing short selling of financial securities, such as stocks and government bonds, leads to prices that, on average, are closer to their  fundamental values.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"When short sellers start to establish substantial short positions in a stock, the stock is likely to have been overvalued.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Requiring investors to disclose short positions in a stock at the equivalent threshold as they are required to do for long positions would improve the informativeness of stock prices.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Agree,8,"If short selling is impossible or expensive, prices are set by the most optimistic investors and tend to exceed fundamental value at times of strong disagreement.",Agree,7,"Short sellers are typically among the more informed and sophisticated investors in the market, and their positions reflect reasonable (although not perfect) forecasts of future returns given prices at the time they establish their shorts.",Uncertain,4,"If the disclosure rule reduces short-selling activity, it could have a perverse effect.  The long-side rule is related to the possibility of a transfer of corporate control, which does not apply on the short side."
Cochrane,John,Strongly Agree,10,"Some of the most convincing evidence of ""overpricing"" occurs when short sales are impeded. ",Agree,7,"When stocks are overvalued, shorts try to pile in, though they often can't (which is why the stock got overvalued). Shorts sometimes pile in for other reasons. -- wide dispersion of opinion, lots of uncertainty. Badly worded question. ",Disagree,7,
Cornelli,Francesca,Strongly Agree,1,,Uncertain,1,,Agree,1,
Diamond,Douglas,Agree,7,"Allowing short sales allows those who believe that a security is overvalued to reduce their he price.  Because this is somewhat costly and difficult, only those with quite negative information will chose to short based on information. ",Agree,8,,Agree,6,"The possibility of short squeezes makes this a bit uncertain.  
"
Du,Wenxin,Agree,8,,Disagree,7,,Agree,6,
Duffie,Darrell,Strongly Agree,10,"When each investor's demand function is constrained below at zero, the total demand function is shifted upward, which moves the clearing about its ""fundamental"" price, which is the efficient market price with no such constraint.",Uncertain,10,"Maybe, instead, it had been ""correctly"" valued based on prior market conditions, and then a big new divergence in investor information caused big differences beliefs, causing a lot of shorting by pessimists and a new ""correct"" price that reflects the new cross-section of beliefs.",Uncertain,9,"Probably this is a good proposal, from an overall policy perspective. But will it make prices more informative, given that it may discourage informed pessimists from aggressively building short positions? Pete Kyle might say No. Anyway, I am uncertain."
Eberly,Janice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,Agree,10,,Agree,7,,Uncertain,5,
Gabaix,Xavier,Strongly Agree,8,,Agree,8,,Agree,7,
Goldstein,Itay,Uncertain,9,,Uncertain,9,,Agree,9,
Graham,John,Agree,8,,Agree,8,,Uncertain,4,
Harvey,Campbell,Strongly Agree,8,Banning short selling reduces liquidity and as well as price discovery as a segment of the market (those that believe the price is above fundamental value) are excluded from the market.,Agree,8,"The short seller believes the stock is overvalued. As for whether this is true on average, many hedge funds use some version of short-interest as a signal. ",Strongly Agree,8,It makes no sense to me that asset managers only have to reveal large long positions but not large short positions. Data on large short positions would be important information for traders.
Hirshleifer,David,Strongly Agree,9,,Strongly Agree,8,,No Opinion,,
Hong,Harrison,Agree,9,,Agree,9,,Uncertain,8,
Jiang,Wei,Strongly Agree,8,,Uncertain,8,,Agree,8,
Kaplan,Steven,Strongly Agree,9,,Agree,2,,Uncertain,2,
Kashyap,Anil,Strongly Agree,9,,Agree,3,"Not guaranteed and even if they are right it can take time to resolve, but often they are on to something.  ",Uncertain,3,
Koijen,Ralph,Agree,4,,Agree,3,,Strongly Agree,4,
Kuhnen,Camelia,Agree,6,,Agree,6,,Agree,6,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Strongly Agree,7,,Agree,6,,Uncertain,5,"If disclosure requirements become too high, market participants are likely to employ other derivative instruments that have lower disclosure requirements"
Ludvigson,Sydney,Agree,6,,Agree,7,,Agree,7,
Maggiori,Matteo,Strongly Agree,7,"While it is possible that enhanced speculative activity might cause distortions (especially in the short run and during a crisis), overall the first order effect is to get closer to fundamentals on average",Uncertain,4,"This variation, especially at high frequency might be more about speculation. So much would depend on the frequency",Agree,8,I think the shorts should be disclosed as much as the long positions
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Strongly Agree,10,Allowing investors to express negative information through shorting makes prices more efficient. Restrictiions on trading (buys or sells) do the opposite. ,Agree,8,"On average yes it is likely to be overvalued, but doesn’t have to be. ",Strongly Agree,9,More information transparency is helpful. 
Nagel,Stefan,Strongly Agree,9,,Strongly Agree,9,"See the evidence in the paper ""Go Down Fighting: Short Sellers vs. Firms"" by Owen Lamont in RAPS in 2012. ",Uncertain,9,"Short interest is already disclosed aggregated at the stock level, and some short sellers widely broadcast when they have taken positions, so it's not clear whether there would be a further measurable gain in informativeness from disclosing investors' disaggregated positions. "
Parker,Jonathan,Agree,8,Markets aggregate information and opinions when all investors can freely trade. Costs to shorting individual stocks implies that negative information or opinions have less impact on prices that positive information. ,Agree,7,"Data show lower average returns for more heavily shorted stocks, but note that the better measure is the fee associated with shorting, which reflects both the demand to short and the supply of stock that can be borrowed.",Agree,3,Ideally disclosure requirements would apply symmetrically to deviations from the stock's share in the market portfolio. But symmetry relative to zero is probably reasonably close to optimal.
Parlour,Christine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Philippon,Thomas,Agree,8,,Agree,6,,Uncertain,1,
Puri,Manju,Strongly Agree,7,,Agree,6,,Strongly Agree,8,
Roberts,Michael,Agree,9,,Disagree,8,,Agree,8,
Sapienza,Paola,Agree,8,Short sellers add liquidity and help bring their prices closer to their true value.,Agree,7,,Agree,6,I do not see a strong argument why short positions should be treated differently from a disclosure point of view. 
Seru,Amit,Agree,5,,Agree,5,,Agree,5,
Stambaugh,Robert,Agree,8,,Agree,7,,Uncertain,5,
Starks,Laura,Agree,8,"Although there may be occasional exceptions (e.g., meme stocks), short-selling is usually an important mechanism for market equilibrium.",Agree,7,,Strongly Agree,7,
Stein,Jeremy,Strongly Agree,8,,Agree,7,,Uncertain,4,
Stroebel,Johannes,Agree,5,,Uncertain,1,,Agree,1,
Sufi,Amir,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Strongly Agree,9,,Agree,9,,Strongly Agree,9,
Van Nieuwerburgh,Stijn,Strongly Agree,7,Short sales are essential for negative information to be expressed and impounded into prices. It is an essential mechanism for overpricing to be corrected.,Agree,7,short sellers seek to maximize profit by exploiting overvalued stocks. They often do so by conducting research and convincing other investors of that research.,Agree,6,the mechanism through which short sellers affect prices can be made more effective with increased transparency and disclosure. It could also help reduce potential market manipulation.
Whited,Toni,Strongly Agree,8,,Uncertain,1,,Strongly Agree,8,
