Last Name,First Name,"The proposed reduction in the enhanced supplementary leverage ratio (SLR) for U.S. banks, without offsetting changes to other capital or liquidity requirements, would not substantially increase systemic risk in the U.S. banking system.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,6,
Cochrane,John,Agree,7,"The SLR is admitted to be a patch for a leaky system with many unintended consequence. Why limit borrowing to hold reserves? Or short dated T bills? If you want stability, demand equity. "
Cornelli,Francesca,Did Not Answer,,
Diamond,Douglas,Agree,4,
Du,Wenxin,Uncertain,8,"systemic risk might not just be from the banking system, but from non-banks (e.g. hedge funds) that rely on banks for leverage "
Duffie,Darrell,Disagree,10,SLR is bad for market liquidity and somewhat supportive of large bank capital buffers. It would be better for both market liquidity and financial stability to reduce SLR and increase risk based capital requirements.
Fama,Eugene,No Opinion,,
Gabaix,Xavier,Did Not Answer,,
Goldstein,Itay,Uncertain,8,
Graham,John,No Opinion,,
Harvey,Campbell,Disagree,2,I believe there would be little impact in the short-term but in the medium to longer term the reduction in eSLR increases risk because balance sheets will likely expand relative to capital given the rule change. 
Hong,Harrison,Uncertain,5,
Jiang,Wei,Did Not Answer,,
Kaplan,Steven,Uncertain,3,Depends on the extent to which it has been binding.
Kashyap,Anil,Agree,5,See Liang and Zhu
Koijen,Ralph,Did Not Answer,,
Kuhnen,Camelia,No Opinion,,
Lo,Andrew,Disagree,8,"The changes would decrease capital requirements of GSIB subsidiaries by 27% and this would naturally increase systemic risk unless risk-weighted capital models are accurate enough today to justify de-emphasizing the leverage backstop, which they are NOT."
Lowry,Michelle,Disagree,3,
Ludvigson,Sydney,Uncertain,6,
Maggiori,Matteo,Did Not Answer,,
Matvos,Gregor,Disagree,7,GSIBs were very resilient during the last (SVB) crisis partially due to their larger capitalization; relaxing capitalization constraints exposes them more. U.S. households and firms do not seem to lack credit or other intermediary services.  
Moskowitz,Tobias,Did Not Answer,,
Nagel,Stefan,Agree,4,"The main effect is likely to make it a bit more attractive to conduct low-risk, low return activities that are at present rendered unattractive. "
Parker,Jonathan,Disagree,8,"The stability would be enhanced by increasing bank equity funding by making regulations on leverage, including the eSLR, countercyclical, high in good times and lower in bad times to support ""market function"" then. Lowering it now is at best futile, at worst risky."
Parlour,Christine,Agree,7,
Philippon,Thomas,Disagree,3,
Puri,Manju,Did Not Answer,,
Roberts,Michael,Uncertain,5,
Sapienza,Paola,Did Not Answer,,
Seru,Amit,Strongly Disagree,9,
Stambaugh,Robert,Disagree,4,
Starks,Laura,Did Not Answer,,
Stein,Jeremy,Disagree,7,
Stroebel,Johannes,Uncertain,5,
Titman,Sheridan,Uncertain,3,
Van Nieuwerburgh,Stijn,Agree,6,"Modest evolution (about 1ppt reduction in SLR) with minor reduction in TLAC around 5%, which will free up some more lending capacity for banks. "
Whited,Toni,Disagree,3,
