Last Name,First Name,"Establishing a sovereign wealth fund to invest in domestic infrastructure, emerging technologies, and/or strategic sectors would bring substantial benefits to the US economy over a ten-year horizon.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"For the US, establishing a sovereign wealth fund would be substantially better for citizens relative to reducing public debt burdens.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Disagree,8,There is no shortage of investment capital in private US markets.  The best use of government revenues is to pay down the national debt.  ,Strongly Disagree,1,
Cochrane,John,Strongly Disagree,10,"With $26 trillion debt, ""swf"" is a smokescreen. This is debt-financed spending. Norway has oil revenue, invests abroad. That's a swf. US debt-financed spending is already a disaster. CA train, EV chargers,.... Need to clean up permitting and spending not smokescreen of finance.  ",Strongly Disagree,10,"The US federal government is not in a good position to run a debt-financed hedge fund, especially if ""investments"" are made as now mostly to preserve dying industries and rents to political constituencies. "
Cornelli,Francesca,Disagree,5,,Uncertain,5,
Diamond,Douglas,Strongly Disagree,7,,Strongly Disagree,7,
Du,Wenxin,Disagree,8,,Strongly Disagree,7,
Duffie,Darrell,Disagree,3," It's costs versus benefits. The benefits include improved national security (e.g. economic resilience to geopolitical conflict). The costs could include misallocation of capital caused by rent-seeking behavior interacted with political governance.
",Disagree,3,
Eberly,Janice,Disagree,7,"Various versions of a federal infrastructure bank, for example, have been proposed over the years and were never passed.  Even if funded, it is difficult to institutionalize and implement capital allocation based on expected returns to public funds.",Disagree,7,"SWFs are typically funded with net public savings from various forms of natural resources.  Debt funding raises risk, including further increasing the national debt, when any premium associated with US debt seems to have already dissipated."
Fama,Eugene,Disagree,7,Most expenditures will go onto politically attractive projects. ,Strongly Disagree,8,
Gabaix,Xavier,Disagree,7,Reduce debt and deficits instead. Citizens don't need the government to invest in publicly traded assets for them,Strongly Disagree,9,
Goldstein,Itay,Agree,5,,Uncertain,5,
Graham,John,Disagree,8,,Disagree,6,
Harvey,Campbell,Uncertain,7,Where is the money going to come from? Net interest on the Federal debt will be $892 billion in 2024 according to CBO.  The 2024 deficit is projected to be $1.9b. Social security trust will run out of funds in 2033.  The US is not Norway.,Disagree,7,"The idea is to borrow more (issue treasuries) and then have find skilled managers that can produce returns higher than the borrowing costs. I am skeptical of finding those managers at government pay rates. Further, there would be political interference. Better to pay down debt."
Hong,Harrison,Strongly Disagree,7,,Disagree,7,
Jiang,Wei,Agree,5,,Disagree,5,
Kaplan,Steven,Disagree,8,,Disagree,8,
Kashyap,Anil,Disagree,7,where is the money going to come from and what is the USG's track record in doing most of this?,Disagree,5,
Koijen,Ralph,Disagree,5,,Disagree,5,
Kuhnen,Camelia,Agree,4,,Uncertain,3,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,2,,Uncertain,1,
Ludvigson,Sydney,Did Not Answer,,,Did Not Answer,,
Maggiori,Matteo,Uncertain,5,Creating positive incentives in those areas would bring substantial benefits. For example via broad subsidies and taxes at sector level. Much less clear implementing this via sovereign wealth fund that buys equities in specific companies is the right policy implementation.,Uncertain,5,"At lower debt levels (say before the GFC) I would have argued for the US to issue safe debt and buy riskier assets. At present high level of debt, adding more government leverage and risk taking is a far less obvious policy."
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Uncertain,5,,Uncertain,5,
Nagel,Stefan,Disagree,5,"Not clear that a SWF for a country without surpluses (trade, budget) would allow government to do anything it couldn't already do without a SWF. Plus a SWF may bring additional governance problems resulting in misallocation. ",Disagree,5,
Parker,Jonathan,Strongly Disagree,7,"Countries with sovereign wealth funds do not borrow to fund them, they save to fund them. The US would have to borrow, increasing our high leverage even more. If one wants to subsidize unprofitable industry investments, this is better pursued through tax policy.",Strongly Disagree,7,"If there are large externalities to unprofitable industry investments that make them worth doing, the government can subsidize these. This may increase not pay down US debt, but slowly. And private capital chooses the projects and shares the losses of bad choices with taxpayers."
Parlour,Christine,Uncertain,6,Depends on how the fund is structured and financed. ,No Opinion,,
Philippon,Thomas,Disagree,4,,Disagree,7,
Puri,Manju,Did Not Answer,,,Did Not Answer,,
Roberts,Michael,Uncertain,4,,Disagree,6,
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,
Seru,Amit,No Opinion,,,No Opinion,,
Stambaugh,Robert,Disagree,8,,Disagree,8,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Uncertain,3,,Disagree,6,
Stroebel,Johannes,Uncertain,1,,Uncertain,1,
Titman,Sheridan,Uncertain,5,,Disagree,5,
Van Nieuwerburgh,Stijn,Agree,6,Have a ROI driven approach to investing in strategic sectors will bring discipline and create long run vision,Uncertain,6,Presumably the return on the SWF would exceed the cost of debt but very high debt potentially has very high macro costs (risk of loss of dollar preeminent for example)
Whited,Toni,Disagree,4,,Disagree,4,
