Last Name,First Name,"The Brookings Institution recently described a US carbon tax of $20 per ton, increasing at 4% per year, which would raise an estimated $150 billion per year in federal revenues over the next decade.  Given the negative externalities created by carbon dioxide emissions, a federal carbon tax at this rate would involve fewer harmful net distortions to the US economy than a tax increase that generated the same revenue by raising marginal tax rates on labor income across the board.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,9,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,5,
Auerbach,Alan,Agree,5,
Autor,David,Strongly Agree,10,Taxing negative externalities reduces economic distortions; taxing labor creates them. This is the tax equivalent of a free lunch!
Baicker,Katherine,Agree,3,
Bertrand,Marianne,Agree,4,
Chetty,Raj,Strongly Agree,10,
Chevalier,Judith,Agree,10,"Since carbon is a worldwide pollutant, leakage of production to other jurisdictions remains a concern."
Currie,Janet,Agree,6,
Cutler,David,Strongly Agree,8,
Deaton,Angus,Strongly Agree,9,
Duffie,Darrell,Strongly Agree,4,"Pollution is a negative externality. It is hard to argue the same for employment! If $150b per year isn't way too much tax, this is obvious."
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Strongly Agree,7,
Fair,Ray,Strongly Agree,8,
Goldberg,Pinelopi,Agree,6,
Goldin,Claudia,Agree,3,
Goolsbee,Austan,Agree,6,but partly b/c statement intentionally doesn't consider distributional or implementation issues with carbon taxes.
Greenstone,Michael,Strongly Agree,9,The $20 tax is v close to U.S. government's estimate of the social cost of carbon of about $21 per ton.   See links below for more details.
Hall,Robert,Uncertain,4,"There's reasonable evidence that carbon emissions raise the temp, but it is less clear that the net effects of warming are negative."
Holmström,Bengt,Strongly Agree,10,
Hoxby,Caroline,Did Not Answer,,
Judd,Kenneth,Agree,7,
Kashyap,Anil,Agree,1,
Klenow,Pete,Strongly Agree,8,
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Agree,4,"Agree at a high level, but implementation of such a tax could create many new distortions and loopholes."
Maskin,Eric,Agree,8,
Nordhaus,William,Strongly Agree,10,
Obstfeld,Maurice,Agree,5,"The likely outcome, though the answer depends on relevant elasticities."
Saez,Emmanuel,Agree,7,
Scheinkman,José,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,9,
Shin,Hyun Song,Agree,7,
Stokey,Nancy,Agree,6,
Thaler,Richard,Agree,8,Great on effiency but not on progressivity so you have to get that right elsewhere.
Udry,Christopher,Strongly Agree,8,"The details matter, and CO2 reduction is a global public good, so this policy is not sufficient.  But it's a step forward."
Zingales,Luigi,Strongly Agree,7,
