Last Name,First Name,The “Cadillac tax” on expensive employer-provided health insurance plans will reduce costly distortions in US health care if it is allowed to take effect as scheduled in 2018.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,5,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,8,
Auerbach,Alan,Strongly Agree,10,
Autor,David,Agree,7,"Like the mortgage interest deduction, the federal tax subsidy to employer-provided health insurance plans causes excess consumption. "
Baicker,Katherine,Agree,5,
Banerjee,Abhijit,Agree,4,
Bertrand,Marianne,Agree,3,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Agree,5,
Chevalier,Judith,Did Not Answer,,
Cutler,David,Agree,7,
Deaton,Angus,Strongly Agree,7,
Duffie,Darrell,Uncertain,2,
Edlin,Aaron,Agree,7,
Eichengreen,Barry,Uncertain,5,
Einav,Liran,Agree,7,
Fair,Ray,Agree,3,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Agree,10,
Greenstone,Michael,Did Not Answer,,
Hall,Robert,Agree,5,Just scratches the surface of the reforms needed in health-care policy
Hart,Oliver,Agree,7," I think so. It would be better to count employer-based health insurance as taxable income, but the Cadillac tax is better than nothing."
Holmström,Bengt,Uncertain,7,
Hoxby,Caroline,Uncertain,10,The Cad tax is meant to counter other distortions so this is a q of whether 4th best fixes 3rd best. An economist who says he knows is wrong
Hoynes,Hilary,Agree,7,
Judd,Kenneth,Uncertain,6,The rate is too high. Better idea is to make insurance costs equally deductible for all.
Kaplan,Steven,Agree,8,
Kashyap,Anil,Uncertain,1,Depends on what happens to the rest of the Obamcare mandates and side payments that are still be litigated
Klenow,Pete,Agree,3,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,8,
Nordhaus,William,Agree,6,
Saez,Emmanuel,Agree,8,
Samuelson,Larry,Agree,6,"Even better would be to divorce the provision of health care from employment entirely, but that is probably not a realistic possibility.  "
Scheinkman,José,Agree,7,
Schmalensee,Richard,Did Not Answer,,
Shapiro,Carl,Agree,6,
Shimer,Robert,Agree,8,"It will reduce distortions, but I'm not sure by how much"
Thaler,Richard,Agree,5,
Udry,Christopher,Uncertain,2,"The basic reasoning for the tax is sound, but the market is so rife with imperfections that our simple models might be quite misleading."
