Last Name,First Name,The US dollar's status as the dominant reserve currency substantially raises its value.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,US-led policy interventions that discouraged central banks from holding US treasury securities would substantially diminish the dollar's reserve currency status.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,US-led policy interventions that led to a sustained weakening in the dollar would substantially damage the US government's ability to finance its deficits.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Parker,Jonathan,Strongly Agree,8,"The value of any currency rests on the demand to use it to transact, so the value of the $ is greater when there is global as well as domestic demand, given the quantity outstanding. This transactions demand is also countercyclical, which further raises the value of the $. ",Agree,5,It depends what these policies are. They might be ineffective.,Uncertain,8,Low interest rates that weaken the $would increase US competitiveness and make it easier to finance our debt (and cheaper to pay back relative to our assets abroad). Policies that cause economic decline leading to capital flight and a weak $would make our debt harder to finance.
Parlour,Christine,Agree,8,,Strongly Agree,9,,Agree,8,
Philippon,Thomas,Agree,7,,Agree,7,,Uncertain,5,
Puri,Manju,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Roberts,Michael,Uncertain,8,,Agree,5,,Agree,4,
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Seru,Amit,Strongly Agree,1,,Uncertain,1,,Agree,1,
Stambaugh,Robert,Agree,8,,Uncertain,3,,Uncertain,3,
Starks,Laura,Agree,5,,Agree,5,,Agree,5,
Stein,Jeremy,Agree,7,,Uncertain,5,,Uncertain,5,
Stroebel,Johannes,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Uncertain,5,,Uncertain,3,,Agree,6,
Van Nieuwerburgh,Stijn,Strongly Agree,7,,Strongly Agree,7,,Agree,5,
Whited,Toni,No Opinion,,,No Opinion,,,No Opinion,,
