Last Name,First Name,"If the US replaced its discretionary monetary policy regime with a gold standard, defining a ""dollar"" as a specific number of ounces of gold, the price-stability and employment outcomes would be better for the average American.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,There are many factors besides US inflation risk that influence the current dollar price of gold.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,3,"A gold standard would have avoided the policy mistakes of the 2000s, but still likely that discretionary policy is  useful during recessions",Strongly Agree,3,"Gold is intrinsically close to useless, so its price is determined as a ""bubble""."
Alesina,Alberto,Disagree,7,,Strongly Agree,9,
Altonji,Joseph,Strongly Disagree,8,,Strongly Agree,8,
Auerbach,Alan,Disagree,8,,Strongly Agree,10,
Autor,David,Disagree,4,,No Opinion,,
Baicker,Katherine,Strongly Disagree,3,,Strongly Agree,3,
Bertrand,Marianne,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Disagree,4,,Strongly Agree,5,
Chevalier,Judith,Disagree,10,,Strongly Agree,10,
Currie,Janet,Disagree,2,,Agree,6,
Cutler,David,Disagree,8,,Strongly Agree,10,
Deaton,Angus,Disagree,3,,Strongly Agree,4,
Duffie,Darrell,Strongly Disagree,10,"A time series plot of the price of consumption in ounces of gold, and then in US dollars, clarifies that gold is not a stable standard.  ",Strongly Agree,10,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Strongly Disagree,10,,Strongly Agree,10,
Fair,Ray,Strongly Disagree,10,,Strongly Agree,10,
Goldberg,Pinelopi,Disagree,6,,Strongly Agree,8,
Goldin,Claudia,Strongly Disagree,5,,Strongly Agree,4,
Goolsbee,Austan,Strongly Disagree,10,eesh.  Has it come to this?,Strongly Agree,10,"new gold reserve discoveries and changes in the technology of extraction, to name two simple examples"
Greenstone,Michael,Disagree,5,,Strongly Agree,7,
Hall,Robert,Strongly Disagree,10,Modern interest-rate feedback rules (Taylor rules) do a vastly better job. The instability of the relative price of gold is way too high.,Strongly Agree,8,So many that they would never fit in 140 characters...
Holmström,Bengt,Strongly Disagree,10,All insights from the past and current crises go against a gold standard.,Strongly Agree,10,Gold is used as a safe haven in financial crisis. That has little to do with US inflation.
Hoxby,Caroline,Disagree,7,"Since gold has supply and demand dynamics of its own, for reasons unrelated to its use as a store of value, Americans would exposed to risk.",Agree,10,
Judd,Kenneth,Strongly Disagree,8,The relative price of gold can be very volatile.,Strongly Agree,9,
Kashyap,Anil,Strongly Disagree,10,A   gold standard regime would be a disaster for any large advanced economy.  Love of the G.S. implies macroeconomic illiteracy.  ,Strongly Agree,10,Go see a dentist.  
Klenow,Pete,Strongly Disagree,8,,Strongly Agree,10,
Lazear,Edward,Disagree,6,The gold standard adds credibility when a country lacks discipline.The cost is monetary polic flexibility. The tradeoff is unclear in US. ,Agree,8,This is a market like any other.  The supply of gold and other sources of demand affect its price in real terms relative to other goods.
Maskin,Eric,Disagree,8,,Agree,8,
Nordhaus,William,Strongly Disagree,10,This proposal makes no sense in the modern world. Just look at the Eurozone to see the consequences.,Strongly Agree,10,There is no discernible connection between gold price and CPI movements in the period since the demonetization of gold in 1971.
Obstfeld,Maurice,Strongly Disagree,10,,Strongly Agree,10,
Rouse,Cecilia,Did Not Answer,,,Did Not Answer,,
Saez,Emmanuel,Strongly Disagree,7,,Agree,5,
Scheinkman,José,Strongly Disagree,8,,Strongly Agree,9,
Schmalensee,Richard,Strongly Disagree,9,,Agree,6,
Shin,Hyun Song,Strongly Disagree,9,,Strongly Agree,9,
Stock,James,Strongly Disagree,8,,Strongly Agree,9,
Stokey,Nancy,Strongly Disagree,7,"There are much better ways to avoid excessive inflation, while maintaining the flexibility of a fiat currency.",Agree,7,Demand for gold seems to come from concern about the entire financial system.  There are better ways to hedge inflation risk.
Thaler,Richard,Disagree,7,Why tie to gold?  why not 1982 Bordeaux?,Agree,7,
Udry,Christopher,Disagree,2,,Agree,7,
Zingales,Luigi,Strongly Disagree,8,,Strongly Agree,10,
