Last Name,First Name,"Matching US import tariffs to the tariffs, value-added taxes and non-tariff barriers imposed on US goods by other countries would substantially reduce the US trade deficit.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The threat of retaliation against the imposition of higher tariffs on a country’s exports substantially lowers the probability of a trade war.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In the event that the threat of retaliation does not deter the imposition of tariffs, the economies of countries subject to higher tariffs on their exports would be measurably better off by responding with targeted tariffs on imports from the first mover.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,"Trade deficit is closely linked to macroeconomic factors, especially savings shortfall. Even banning imports from certain countries wouldn't remove these macroeconomic factors.",Uncertain,3,Threats could also be the cause of a trade war.,Uncertain,2,
Aguiar,Mark,Uncertain,4,,Agree,7,,Uncertain,3,
Altonji,Joseph,Uncertain,2,,Agree,2,,Agree,3,
Auerbach,Alan,Strongly Disagree,7,,Disagree,5,,Disagree,5,
Autor,David,Disagree,6,,Agree,6,But seemingly not enough at present. The main thing that seems to reduce Trump's appetite for a trade war is the adverse stock market reaction. ,Uncertain,5,"In theory, this makes them worse off still. In practice, this may be necessary to discipline the first mover. "
Banerjee,Abhijit,Uncertain,6,,Uncertain,5,,Uncertain,5,
Bergemann,Dirk,Disagree,8,,Disagree,8,,Disagree,8,
Bertrand,Marianne,Uncertain,2,,Agree,2,,Uncertain,3,
Brunnermeier,Markus,Uncertain,7,,Agree,3,,Agree,7,
Chevalier,Judith,Uncertain,6,,Agree,6,With rational actors....,Uncertain,6,
Cutler,David,Uncertain,5,,Agree,5,,Uncertain,5,
Duffie,Darrell,Uncertain,2,,Uncertain,2,,Disagree,2,"While responding to tariffs with tariffs does not directly improve economic performance, it can be strategically rational in a tit-for-tat sense."
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Strongly Disagree,5,,Uncertain,5,,Agree,5,It is important to deter further beggar-thy-neighbor tariffs by the first mover.
Einav,Liran,Uncertain,1,,Uncertain,1,,Uncertain,1,
Fair,Ray,Uncertain,5,,Agree,5,,Uncertain,5,
Glaeser,Edward,Disagree,6,,Disagree,6,,Disagree,6,
Goldberg,Pinelopi,Disagree,9,,Uncertain,9,"I do not understand the wording of this statement. If the statement is that fear of retaliation makes countries less likely to impose tariffs, then yes, I agree.",Uncertain,9,It depends on which goods the retaliatory tariffs target and on whether they succeed in inflicting damage on the first mover.
Greenstone,Michael,Uncertain,2,,Uncertain,2,,Uncertain,2,
Hart,Oliver,Uncertain,7,"It is hard to say because trade patterns are complex, with imported goods being inputs for exported goods.",Uncertain,7,"I would generally say yes, but with a mercurial person like Trump in charge, whose decisions do not seem to be based on any principles that I can discern, the answer is probably no.",Disagree,7,"Tariffs introduce a wedge between marginal utility and marginal cost and so unless a country can affect world prices they reduce that country's welfare even if other countries have tariffs. However, reciprocation may make sense as a long-run strategy to to deter future tariffs."
Holmström,Bengt,Uncertain,4,,Agree,4,,Agree,5,
Hoxby,Caroline,Uncertain,10,,Uncertain,10,,Uncertain,10,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Judd,Kenneth,Disagree,4,No long-run impact unless the capital surplus is similarly reduced,Disagree,7,"This depends on what the other countries infer from the threat. Their belief in a future trade war may increase, leading them to think they have an advantage if they go first. It also allows them to prepare. The impact of threats is quite uncertain.",Uncertain,6,
Kaplan,Steven,Disagree,5,,Uncertain,3,,Uncertain,3,
