Last Name,First Name,"Nasdaq has been consulting on inclusion of the largest companies in its indexes: https://indexes.nasdaqomx.com/docs/NDX_Consultation-February_2026.pdf



Changing the rules for index inclusion to allow fast-track entry by extremely large IPOs (including waiving the free float requirement) is consistent with the objectives of passive index-based investing.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Changing the rules for index inclusion to allow fast-track entry by extremely large IPOs (including waiving the free float requirement) will make index fund investors measurably better off.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acharya,Viral,Disagree,5,Due diligence and IPO performance might be key to retaining sustained passive investor interest in index trading.,Disagree,5,
Campbell,John,Agree,5,,Agree,2,
Cochrane,John,Uncertain,5,"The move makes the index better as information. But it makes the index worse as a traceable commodity, as funds that must track the index have to buy scarce shares. ",Disagree,8,"If you want IPOs, buy IPOs. "
Diamond,Douglas,Uncertain,3,,Disagree,4,
Du,Wenxin,Agree,5,,Uncertain,5,
Duffie,Darrell,Agree,8,,Uncertain,7,"I'm uncertain how one would measure the welfare improvement in a way that captures this effect.. Perhaps someone will be able to do this,."
Fama,Eugene,Uncertain,5,Depends on the size of the free float.,Uncertain,5,
Gabaix,Xavier,Agree,7,,Agree,6,
Goldstein,Itay,Disagree,5,,Disagree,5,
Graham,John,Agree,6,,Disagree,6,
Harvey,Campbell,Disagree,5,Classic trade-off of representativeness (market portfolio) and investability (limited free float). Waiving the free-float (or the ad hoc rule NASDAQ has suggested) will lead to a dysfunctional situation with index funds chasing limited float (with potential price distortions). ,Disagree,5,"The forced buying by passive funds in the 15 day window in stocks with limited float may lead to a transfer from passive fund investors to the IPO issuers. That is, predictable buying can have an adverse price impact. "
Hong,Harrison,Agree,7,,Uncertain,7,
Jiang,Wei,Strongly Agree,7,,Strongly Agree,7,
Kaplan,Steven,Agree,6,,Disagree,5,
Kashyap,Anil,Disagree,7,See Owen Lamont for a takedown on this proposal,Uncertain,5,Do we really think catching the IPO after 20 days is paramount for index investors? The link is to the most recent summary I found from Jay Ritter that continues to cast doubt on long run performance of IPOs.  
Krishnamurthy,Arvind,Agree,3,,Agree,3,
Kuhnen,Camelia,Uncertain,1,,Uncertain,1,
Lowry,Michelle,Disagree,7,,Disagree,7,
Ludvigson,Sydney,No Opinion,,,No Opinion,,
Maggiori,Matteo,Did Not Answer,,,Did Not Answer,,
Mester,Loretta,Uncertain,5,"Will give passive investors access to large, growing tech firms faster, but will induce undesired volatility.",Disagree,5,There is a tradeoff between larger coverage and increased volatility
Moskowitz,Tobias,No Opinion,,Not sure what it has to do with passive investing.,Uncertain,1,Measurably better off compared to the status quo?  I'm not sure. Better access?  Better efficiency?  Depends on what would change with this new inclusion rule.  Seems hard ot connect the dots.
Muir,Tyler,Agree,3,"Technically agree: passive mainly about market cap weighting everything, so including a top 40 company is consistent with that. Not sure this is a good idea though (see b)",Disagree,5,"Predictable forced buying into thin float at IPO would have big price impact, likely making index fund investors worse off at benefit of insiders. I don't see huge cost to waiting a year and let price discovery happen first"
Nagel,Stefan,Agree,9,"The point of passive investing is to hold an approximation of the market portfolio without taking a view whether the price is ""right"". As future massive IPOs will account for a significant share of aggregate market cap and be liquid, inclusion is consistent with these objectives.",Uncertain,9,"Perhaps not, given the typically poor average post-IPO performance of newly listed stocks. On the other hand, it avoids giving passive index investors an implicit bias against certain sectors relative to the market portfolio. "
Papanikolaou,Dimitris,Did Not Answer,,,Did Not Answer,,
Parker,Jonathan,Strongly Agree,8,,Agree,6,
Parlour,Christine,Disagree,6,,Uncertain,5,
Philippon,Thomas,Strongly Agree,8,,Agree,7,
Puri,Manju,Agree,7,,Uncertain,9,
Roberts,Michael,Agree,8,,Uncertain,8,
Sapienza,Paola,Disagree,6,"Free float requirements ensures that index-tracked stocks are actually tradeable at scale. If a large portion of shares is locked up (by founders, governments, strategic holders), passive funds trying to match index weights will face illiquidity - waiving the requirement will arm",Strongly Disagree,7, This mechanically would drive up the price before and at inclusion- especially if there is limited float - will create inflated prizes 
Seru,Amit,Agree,6,,Agree,6,
Stambaugh,Robert,Disagree,8,Maintaining low trading costs seems in conflict with buying from IPO flippers.  I would also not support deviating from free-float weighting by applying float multipliers.,Disagree,8,
Starks,Laura,Disagree,4,"While tracking error would be reduced, adding an IPO and waiving free float requirements would not seem consistent with passive indexing objectives. ",Disagree,3,
Stein,Jeremy,Uncertain,3,,Uncertain,3,
Stroebel,Johannes,Agree,1,,Uncertain,1,
Thesmar,David,Agree,6,"Waiving the freel float requirement is ok. what really matters is liquidity and dollar size of the free float. if it's there, it can be part of the index",Agree,3,"It will increase the market cap of the index (replace the smallest component with a larger stock), so increase the supply of index funds for index investors. "
Titman,Sheridan,Agree,8,,Uncertain,8,
Van Nieuwerburgh,Stijn,Disagree,4,Not enough float is not consistent with liquid index investing.,Disagree,4,
Wallace,Nancy,Disagree,6,"Financial Times February 25, 2026",Disagree,6,"Financial Times Feb. 25, 2026"
Whited,Toni,Did Not Answer,,,Did Not Answer,,
Zhu,Haoxiang,Agree,5,"Rules about index inclusion are primarily made by the market, for the market. As long as proposed changes to the methodology are broadcasted with a sufficient lead time and interested parties have a chance to provide feedback, it is consistent with passive investing.",Disagree,6,
