Last Name,First Name,U.S. government ownership of equity stakes in U.S. companies is measurably detrimental to corporate performance.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,U.S. government ownership of equity stakes in U.S. companies is substantially detrimental to good corporate governance.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Agree,7,,Strongly Agree,9,Experience with government ownership in other countries is discouraging.
Cochrane,John,Agree,10,,Agree,8,"We're already seeing political control of poor investments; don't close plants; don;t fire workers, buy American, etc.. It is possibly ok, as Norwegian Sovereign Wealth Fund; independent and  holds an index portfolio. But we're $35 trillion away from a sovereign wealth fund! "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Agree,5,,Agree,5,
Du,Wenxin,Agree,6,,Agree,6,
Duffie,Darrell,Uncertain,3,"Probably this is detrimental, especially if the government is an activist shareholder, but I am not sure this effect will be measurable at the scale that it may be undertaken.",Uncertain,3,"Probably it will be detrimental to governance, but I am uncertain whether the effect will be measurable unless the level of investment gets relatively large. "
Eberly,Janice,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,Agree,8,,Agree,8,
Gabaix,Xavier,Uncertain,4,,Uncertain,4,
Goldstein,Itay,Agree,6,,Agree,6,
Graham,John,Strongly Agree,8,,Agree,8,
Harvey,Campbell,Agree,7,"I think US government owning or partially owning corporations is a bad idea. In the specific situation of Intel, I believe it was the least worst option. In terms of national risk management, we cannot rely on TSMC and Samsung given their location. ",Agree,7,"Bad outcomes: 1) giving government priority over shareholders; 2) other companies increase business with gov sponsored firm to detriment of value creation; 3) decisions made for political reasons. All leads to misallocation of capital. But see previous response, on least worst. "
Hong,Harrison,Agree,8,,Agree,8,
Jiang,Wei,Agree,7,,Strongly Agree,8,
Kaplan,Steven,Agree,2,"It depends on the extent to which the government is an active shareholder.  However, in general, I would expect the effect to be negative.",Uncertain,2,"Again, it depends."
Kashyap,Anil,Agree,7,The sign of the effect seems fairly unambiguous.  ,Strongly Agree,5,
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Uncertain,7,,Strongly Agree,7,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Uncertain,6,,Agree,6,
Ludvigson,Sydney,No Opinion,,,No Opinion,,
Maggiori,Matteo,Uncertain,2,I think there is unlikely to be a universal answer. It depends on the case and the rationale. E.g. a bailout of a bank with liquidity problems different than a shakedown stake,Uncertain,2,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Strongly Agree,8,,Agree,7,
Nagel,Stefan,Agree,7,"Even a formally ""passive"" form of ownership is unlikely to prevent political interference",Agree,7,
Parker,Jonathan,Disagree,7,The U.S. government owning a small share of equity without voting rights is probably neither a measurable cost nor benefit to a company. The initial investment could be preferential or detrimental. Government interference in governance of that company would likely be detrimental.,Disagree,7,"As currently (recently) done, the U.S. holding non-voting equity (or warrants or preferred stock ala TARP in 2008-9) in small amounts, does not measurably undermine governance. Ex post, non-voting share are like dividend taxes. The possibility of govt meddling is detrimental."
Parlour,Christine,Agree,6,,Strongly Agree,10,
Philippon,Thomas,Agree,5,,Agree,7,
Puri,Manju,Uncertain,7,,Uncertain,7,
Roberts,Michael,Agree,7,,Agree,7,
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,
Seru,Amit,Uncertain,7,"Governments may bend regulations to bolster the performance of companies they partly own, offsetting any drag from weak governance associated with state ownership.",Strongly Agree,9,
Stambaugh,Robert,Agree,9,,Agree,9,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Uncertain,3,,Agree,5,
Stroebel,Johannes,Uncertain,1,,Agree,3,
Titman,Sheridan,Uncertain,6,,Uncertain,6,
Van Nieuwerburgh,Stijn,Uncertain,3,"Fully state-owned firms perform worse, but gaps close for partial ownership. Stable SWF or public pension ownership can be a net positive. Institutional strength matters. Much worse under political pressures. ",Uncertain,3,"Little hard evidence for partial ownership, depends on government's main objectives "
Whited,Toni,Disagree,5,,Strongly Agree,5,
