Last Name,First Name,"Refusing to liberalize trade unless partner countries adopt new labor or environmental rules is a bad policy, because even if the new standards would reduce distortions on some dimensions, such a policy involves threatening to maintain large distortions in the form of restricted trade.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,6,"Not clear that increasing carbon-intensive imports from, say, China would be a step closer to a less distorted allocation."
Alesina,Alberto,Agree,8,
Altonji,Joseph,Agree,3,
Auerbach,Alan,Agree,5,
Autor,David,Disagree,5,"When countries adopt beggar-thy-neighbor trade/currency policies, bilateral trade agreements are a powerful tool for disciplining behavior  "
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Uncertain,3,
Chetty,Raj,Uncertain,1,
Chevalier,Judith,Uncertain,8,Measuring the social cost of the environmental distortion and the social cost of the trade distortion is hard to do definitively. 
Currie,Janet,Agree,5,
Cutler,David,Disagree,6,Theory is clear that we cannot make such statements outside of the first best. 
Deaton,Angus,Uncertain,5,"I see the point, but it seems impossible not to want to reserve judgment on a case by case basis."
Duffie,Darrell,Agree,4,
Edlin,Aaron,Disagree,9,"Such a broad proclamation seems overstated.  Relatedly, are the trade restraints on Iran bad on balance because of distortions?"
Eichengreen,Barry,Uncertain,6,"Theory of the Second Best suggests strongly that ""it depends."""
Fair,Ray,Agree,5,
Goldberg,Pinelopi,Strongly Agree,9,
Goldin,Claudia,No Opinion,,
Goolsbee,Austan,Uncertain,6,Depends on how big the distortion is in the status quo
Greenstone,Michael,Agree,5,Yes but new research sez benefits of trade smaller than old view  Greenhouse gases impt exception b/c global impact of climate change.
Hall,Robert,Strongly Agree,7,Policymakers seem to think that granting the right to export to the US is a valuable privilege that comes at some cost to the US.
Holmström,Bengt,Disagree,7,
Hoxby,Caroline,Agree,9,"If there a true distortion (e.g. environmental) that needs correction, it should be addressed directly, not through distorting trade."
Judd,Kenneth,Agree,6,These arguments are often used by protectionists who use these issues to block freer trade.
Kashyap,Anil,Agree,3,"OK to threaten it, but losing a deal over this would be bad policy; this reasoning seems to make it much harder to reach deals.  "
Klenow,Pete,Strongly Agree,5,Income growth and technology transfer through free trade could actually improve environmental and labor standards.
Levin,Jonathan,Uncertain,4,
Maskin,Eric,Disagree,7,"If the labor or environmental practices are bad enough, they should have primacy."
Nordhaus,William,Agree,5, 
Obstfeld,Maurice,Agree,9,
Saez,Emmanuel,Uncertain,2,
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Uncertain,3,"In many, perhaps most cases I would agree, but I don't see how one can argue that the trade distortion is always more important."
Shin,Hyun Song,Did Not Answer,,
Stokey,Nancy,Uncertain,8,This question is to broad/vague to be meaningful.  Specific instances would probably lead to different answers.
Thaler,Richard,Disagree,5,"Poor question. Trade deals are negotiated. The word ""refusing"" is an odd choice. "
Udry,Christopher,Uncertain,3,
Zingales,Luigi,No Opinion,,
