Last Name,First Name,"The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,7,,Disagree,5,
Alesina,Alberto,Agree,5,,Disagree,8,
Altonji,Joseph,Strongly Agree,8,,Agree,5,
Auerbach,Alan,Agree,7,,Disagree,5,
Autor,David,Agree,6,,Uncertain,5,
Baicker,Katherine,Agree,3,,Uncertain,2,
Banerjee,Abhijit,Disagree,7,"Long term investments should be timed strategically, when the economy is slowing --not at 4.3% unemployment",Disagree,7,
Bertrand,Marianne,Uncertain,5,,Disagree,5,
Brunnermeier,Markus,Agree,9,The need to improve infrastructure in the US is independent of Keynesian stimulus reasons. ,Uncertain,7,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,6,,Agree,8,
Cutler,David,Strongly Agree,8,,Agree,5,
Deaton,Angus,Strongly Agree,9,,Disagree,7,
Duffie,Darrell,Strongly Agree,5,"Despite recent improvements in the economy that reduce the need for fiscal stimulus, better infrastructure is critical to economic growth. ",Disagree,4,"The total size of the deficit is not irrelevant. For example, critical non-infrastructure spending could be crowded out by politics. "
Edlin,Aaron,Agree,8,,Disagree,7,
Eichengreen,Barry,Agree,6,,Disagree,6,
Einav,Liran,Uncertain,1,,Disagree,1,
Fair,Ray,Agree,5,,Disagree,5,
Finkelstein,Amy,Agree,2,,Uncertain,3,
Goldberg,Pinelopi,Strongly Agree,7,,Agree,6,
Goolsbee,Austan,Agree,6,Let's not forget about governance--how the projects get chosen matters a lot,Uncertain,7,
Greenstone,Michael,Agree,5,,Strongly Agree,8,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Strongly Agree,7,U.S. infrastructure is in bad shape and fixing it can improve lives and provide the foundation for a stronger economy.,Disagree,7,"The budget deficit and national debt matter and so I would accompany infrastructure spending with higher taxes, particularly on the rich."
Holmström,Bengt,Strongly Agree,6,Poor condition + reasonable interest rate = positive NPV,Disagree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Strongly Agree,9,,Uncertain,8,
Judd,Kenneth,Strongly Agree,8,"The need is there, and interest rates are low.",Uncertain,7,Substantial loss of revenues will require cuts in spending. Where? Defense? Medical research? Infrastructure? All will be at risk.
Kaplan,Steven,Uncertain,9,I am sure there are very useful projects.  I am not sure those are the ones that would get funded.,Uncertain,9,
Kashyap,Anil,Agree,7,we have to do it and might as well start now.  only hesitation is potential horse trades in congress to make it happen.  ,Disagree,3,"big deficit financing means Fed will likely raise rates faster.  looser fiscal policy several years ago would have been helpful, less so now"
Klenow,Pete,Agree,5,,Disagree,5,"Even if benefits are high, costs could be high due to marginal deadweight loss of future increases in marginal tax rates."
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,
Maskin,Eric,Agree,8,,Disagree,7,"At near full employment, a big debt increase is not a good idea. But cutting taxes now isn't a good idea either."
Nordhaus,William,Agree,8,"I would expand to include other networks as well, not just 19th C.",Uncertain,8,"What happened to budget constraint? US needs public investment, but not irrespective of fiscal conditions."
Saez,Emmanuel,Agree,7,,Uncertain,5,
Samuelson,Larry,Agree,8,,Agree,8,"It would be a superb investment to finance infrastructure with tax revenue, but the investments are imperative regardless of tax policy."
Scheinkman,José,Uncertain,7,"Some projects, such as railroads, generate enough positive externalities to justify federal govt. subsidies. Not sure we need more roads.",Disagree,7,Increase in real interest rate paid on US debt may cause projects with positive NPV in the current environment to become negative NPV.
Schmalensee,Richard,Agree,6,Our infrastructure is well below world standards.,Disagree,5,"Given that the economy is near capacity, a big tax cut on top of a big increase in spending would be unwise."
Shapiro,Carl,Strongly Agree,8,,Agree,8,
Shimer,Robert,Agree,3,,Disagree,6,Tax smoothing is desirable. The argument for cutting taxes has to be based on cutting spending as well
Thaler,Richard,Strongly Agree,10,"This is a no brainer.  Deferred maintenance always costs you more in the end, not to mention safety issues. ",Strongly Agree,5,"Less certain because a deficit exploding tax cut will cause some problems but still, you gotta do what you gotta do.  "
Udry,Christopher,Strongly Agree,5,"The trick, of course, is to choose high return projects. There is a well-documented set of infrastructure projects that meet this test.",Uncertain,5,
