Last Name,First Name,Adoption of artificial intelligence will lead to a substantial increase in the growth rates of real per capita income in the US and Western Europe over the next ten years.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Adoption of artificial intelligence will lead to a substantial increase in the unemployment rates in the US and Western Europe over the next ten years.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,2,"The problem with using AI as currently constituted is that it makes mistakes. This means you have to check the results. For some things this is not too much of a problem but for many it is. If you don't check, it is easy to make embarrassing mistakes.",Disagree,2,"For the reasons given in my previous, I think there is considerable uncertainty about how many people will be displaced. Even if some are, it's not clear this will cause unemployment as other jobs should provide employment instead. "
Antras,Pol,Uncertain,3,"Certainly seems like a huge innovation, but unclear how large the impact on productivity will be",Uncertain,6,"I imagine there will be an impact on labor markets, but whether it will entail more churn, more unemployment or lower labor force participation is unclear to me"
Auriol,Emmanuelle,Agree,7,,Disagree,5,
Bénassy-Quéré,Agnès,Agree,4,,Uncertain,1,
Blanchard,Olivier,Agree,6,the usual caveat about uncertainty being particularly large in this case.  But I put the increase in productivity growth (not necessarily output growth) at 0.5% or more with prob >.5,Uncertain,6,"we really do not know, and history is not necessarily a guide this time. "
Blundell,Richard William,Uncertain,4,,Disagree,4,
Botticini,Maristella,Agree,8,,Uncertain,8,
Cagé,Julia,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Uncertain,5,,Uncertain,5,
Danthine,Jean-Pierre,Agree,3,,Uncertain,3,The unemployment impact will depend on the possibility of adequately taxing the increased income of AI enhanced workers to finance the large number of semi-public jobs that are needed and will open up in aging societies
De Grauwe,Paul,Uncertain,7,,Uncertain,7,
Eeckhout,Jan,Agree,7,,Uncertain,8,
Fatás,Antonio,Disagree,5,The word substantial is key here. I think growth is likely to be higher but by an amount which is not that large.,Disagree,6,
Fuchs-Schündeln,Nicola,Uncertain,3,,Disagree,8,
Galí,Jordi,Uncertain,7,,Uncertain,7,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,6,,Uncertain,2,
Griffith,Rachel,Uncertain,5,,Disagree,3,
Guerrieri,Veronica,Agree,7,,Uncertain,7,
Guiso,Luigi,Agree,7,,Uncertain,7,
Guriev,Sergei,Uncertain,5,,Uncertain,5,
Honohan,Patrick,Agree,1,"Partly because of the capital formation expenditure in the process of building the AI tools. AI output also likely to be important, but partly used to substitute for non-Ai services.",Agree,1,Considerable restructuring in the labour market likely to increase frictional unemployment over that time horizon.
Javorcik,Beata,Uncertain,5,,Agree,5,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"The adoption of AI may lead to a K-type of income development: Increasing p.c. income for people whose job harmonizes with AI, and decreasing income p.c. for the rest. How this balances out in the aggregate remains to be seen.",Uncertain,4,"AI will lead to more people changing jobs, from admin jobs, say, to service jobs. Unemployment is the most extreme consequence of these changes, but job changes will be the more common one."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,The estimates for growth differ widely and much depends on how much TFP growth we get (especially in sectors that are hard to improve).,Uncertain,3,"AI can definitely lead to more unemployment in transition phase. However, the long-run effects on unemployment are uncertain & depend on whether AI adoption leads to development of new labor-intensive jobs"
Manova,Kalina,Uncertain,7,,Strongly Disagree,7,
Mayer,Thierry,Agree,4,,Uncertain,4,
Meghir,Costas,Uncertain,9,,Disagree,9,
Pagano,Marco,Uncertain,4,,Agree,7,
Papaioannou,Elias,Uncertain,1,,Agree,4,I am not sure about unemployment but I firmly believe we will see a fall in labor force participation. This trend will accelerate and most likely expand to many iimcome and racial groups
Pastor,Lubos,Agree,3,,Uncertain,3,
Portes,Richard,Uncertain,5,,Disagree,6,
Prendergast,Canice,Agree,3,,Uncertain,6,
Propper,Carol,Strongly Agree,4,,Uncertain,4,
Rasul,Imran,Disagree,6,,Uncertain,7,
Reichlin,Lucrezia,Uncertain,3,,Uncertain,3,
Reis,Ricardo,Agree,7,"Any estimate on future growth comes with very large confidence bands. Still, the speed of adoption, the impact on individual firm's productivity, and useful models suggest 0.6-1.3 higher productivity growth rate, which is significant",Disagree,7,There is little evidence for a negative connection between productivity growth and unemployment in either theory or data. Likewise for automation and unemployment in the long run.
Repullo,Rafael,Uncertain,4,,Agree,4,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Uncertain,5,,Disagree,7,
Strömberg,Per,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Tenreyro,Silvana,Agree,5,,Uncertain,4,
Van der Ploeg,Rick,Agree,3,,Uncertain,5,
Vickers,John,Agree,5,,Agree,4,
Voth,Hans-Joachim,Uncertain,10,,Disagree,7,
Wyplosz,Charles,Uncertain,3,,Disagree,3,
