Last Name,First Name,"Policy Responses to Recent Bank Failures


The response to recent bank failures should be to: Expand central banks’ lender of last resort facilities for banks.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase the limit on bank deposit insurance.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase bank capital requirements.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Use market values of all traded assets to compute banks’ regulatory capital.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,4,Expand last resort facilities BUT make sure bad banks die.,Uncertain,5,We should not take out too much risk for large depositors.,Agree,7,Depositors' money can move quickly in response to information and/or misinformation. More capital is needed to defend bank against bad news and/or bad rumors.,Disagree,7,Some assets are too risky for the role of regulatory capital. ,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Uncertain,3,,Uncertain,2,,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Disagree,3,Solvency problems are not solved by lender of last resort interventions ,Agree,3,There needs to be some sort of carveout for business accounts so that firms can make their payroll payments etc.  The challenge is to stop people from being able to put everything into those accounts when stress arises.  ,Uncertain,3,If capital had been computed correctly the current requirements would have been okay.  Notice that the US GSIBs all seem fine.  Credit Suisse was walking dead for some time. Supervision was the bigger problem in both the US and Switzerland. ,Agree,3,"Certainly for assets that trade regularly.  As we learned in 2008/9, there is lots of highly rated debt securities that rarely trade.  So this will not be a panacea.  ",,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,2,,Agree,2,,Agree,2,,Uncertain,2,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Disagree,4,,Agree,3,,Agree,6,,Uncertain,5,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Disagree,3,,Agree,8,,Agree,8,,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,5,,Uncertain,5,,Uncertain,5,"Higher capital could be one tool, but there are other complementary prudential measures that could strengthen banks.",Uncertain,5,Potentially a problem in terms of reinforcing fire-sale dynamics.,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,4,,Uncertain,5,,Agree,4,,Uncertain,4,,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Uncertain,1,,Uncertain,1,,Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Disagree,7,,Disagree,7,,Agree,7,We should also consider increasing liability of banks  top-management and controlling shareholder. ,Agree,6,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Disagree,7,,Uncertain,4,,Strongly Agree,10,,Strongly Agree,10,,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,3,,Disagree,7,,Uncertain,1,,Strongly Agree,8,,,,,,,,,,,,,,,,,,,,
Stock,James,Agree,4,,Agree,4,,Agree,4,,Disagree,3,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,No Opinion,,,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,,
