Last Name,First Name,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,6,,Agree,8,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Uncertain,7,,Strongly Agree,8,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,4,,Strongly Agree,8,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,
Autor,David,Agree,8,Labor demand curves are generally downward sloping,Agree,7,"Much U.S. wealth comes from innovation, and foreign-born STEM workers are a huge contributor to that efffort",,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,Agree,2,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,4,,Agree,4,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,8,"Highly skilled researchers create positive spillovers and make the overall environment more productive, which can boost other skilled worker",Strongly Agree,8,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,7,Two mechanisms- 2nd is to increase demand for the complementary workers.,Agree,6,,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,5,,Agree,6,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,8,,Strongly Agree,9,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,6,"The short-run story is supply-versus-demand. In the long run, high-skill immigration could perhaps increase demand for high-skill workers,",Agree,6,Labor of this type is a key factor input that is apparently not in plentiful supply. More of it would likely raise per-capita GDP. ,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,,Strongly Agree,7,,,,,,,,,,,,,,,,,,
Einav,Liran,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,
