Last Name,First Name,"A tolling program for New York City is out for public consultation with proposed charges on vehicles entering the central business district of Manhattan summarized here: https://new.mta.info/document/129191



The proposed tolls on vehicles entering the central business district of Manhattan are likely to lead to a substantial reduction in traffic congestion in the targeted area.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The proposed tolls on vehicles entering Manhattan are likely to lead to a substantial increase in traffic congestion just outside the central business district, above 60th Street, in the outer boroughs and New Jersey.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,3,,Uncertain,3,,,,,,,,,,,,,,,,,,
Aguiar,Mark,Agree,6,"I believe the impact will be modest, rather than substantial.  Other than for commuters, the elasticity will be fairly low.",Agree,6,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,5,,Uncertain,3,,,,,,,,,,,,,,,,,,
Autor,David,Agree,7,Worked well in London. I’m not sufficiently steeped in the details of the NYC policy to know if will work equally well. ,Uncertain,1,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,
Bergemann,Dirk,Agree,8,,Uncertain,7,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,Uncertain,2,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,6,,Uncertain,2,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,7,,Uncertain,5,Different transit options and locations can be substitutes of complements in a way that can be studied but is difficult to characterize all together.  ,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,4,,Disagree,4,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,2,"Although the London experience is not necessarily going to apply in New York, it tells predicts this sort of outcome if the tolls are sufficiently high and comprehensive., ",Uncertain,1,"While one could expect some people to commute by car to the boundary and then take mass transit for the remainder of their travel, I have little sense of how substantial that will be.",,,,,,,,,,,,,,,,,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Agree,5,,Agree,1,,,,,,,,,,,,,,,,,,
Einav,Liran,Agree,1,,Uncertain,1,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,
Glaeser,Edward,Strongly Agree,9,"The track record of congestion pricing is good good in London, Singapore and Stockholm.  ",Disagree,7,"If you get from place a to place b through place c, then a congestion charge on place c will lead to displacement, but if place c is a destination from place a and place b then a congestion charge in place c should reduce congestion in places a and b.     ",,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,7,,Agree,7,"Still a good idea, if revenue is used towards improvements in public transport. Would decrease congestion everywhere in the long run.",,,,,,,,,,,,,,,,,
Greenstone,Michael,Strongly Agree,4,,Uncertain,1,substitution patterns are HARD to predict,,,,,,,,,,,,,,,,,
Hart,Oliver,Agree,6,,Uncertain,5,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Strongly Agree,5,"Depends on alternative modes of transportation. Still, expect substantial reduction in traffic as seen elsewhere.",Uncertain,3,"Again, depends on alternative forms of transportation avaklable. I’m not familiar with this.",,,,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,10,"I agree to the sign of the effect. However, I have no idea how NYC arrived at the specific prices. They seem arbitrary. Why not practice dynamic, market-based congestion pricing? This is more optimal and can managed very well these days.",Uncertain,10,"We do not have well-estimated, causal cross elasticities between the CBD and other areas. Thus, anyone claiming to know the answer to this question is just guessing.",,,,,,,,,,,,,,,,,
Hoynes,Hilary,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,
Hurst,Erik,Agree,7,,Disagree,7,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,7,,Uncertain,7,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,3,Will lead to a reduction.  Question is exactly what substantial means.,Uncertain,3,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,3,,Uncertain,1,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,2,,Uncertain,3,,,,,,,,,,,,,,,,,,
