Last Name,First Name,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,7,
Alesina,Alberto,Strongly Agree,10,
Altonji,Joseph,Agree,4,
Auerbach,Alan,Strongly Agree,9,
Autor,David,Strongly Agree,10,"See ""The High Cost of Free Parking"" by Donald Shoup"
Baicker,Katherine,Strongly Agree,7,
Bertrand,Marianne,Agree,3,
Chetty,Raj,Agree,8,
Chevalier,Judith,Strongly Agree,9,"In general, the theory for pricing of  congestion externalities would be analogous to pricing other externalities."
Currie,Janet,Agree,8,"Congestion creates many externalities, including the health costs of pollution."
Cutler,David,Strongly Agree,7,Not all citizens ate better off. Huge geographic disparities. 
Deaton,Angus,Strongly Agree,9,
Duffie,Darrell,Agree,6,Pricing at marginal value  has  benefits.  A simple version of this is known as the first welfare theorem. The proposal goes toward this.  
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,8,
Fair,Ray,Strongly Agree,10,
Goldberg,Pinelopi,Strongly Agree,7,
Goldin,Claudia,Strongly Agree,7,Prices allocate goods more efficiently to consumers.
Goolsbee,Austan,Agree,8,but be careful about things with large compliance costs as a share of revenue.  Waiting 15 mins to pay 20 cent toll is very dumb
Greenstone,Michael,Strongly Agree,8,
Hall,Robert,Strongly Agree,9,"Congestion is a pure waste of resources, so eliminating it leaves lots of scope for improving standards of living"
Holmström,Bengt,Strongly Agree,9,Empirical evidence supports it. And theoretically it also makes sense.
Hoxby,Caroline,Strongly Agree,10,"Yes, so long as congestion taxes are based on the TRUE social costs of congestion and really reduce other taxes.  Let prices allocate demand"
Judd,Kenneth,Strongly Agree,8,
Kashyap,Anil,Agree,3,
Klenow,Pete,Strongly Agree,7,
Lazear,Edward,Strongly Agree,9,"The failure to price things like time results in overuse. Pricing has already proven to be effective in applicable situations, revenue aside"
Levin,Jonathan,Agree,6,
Maskin,Eric,Agree,8,
Nordhaus,William,Strongly Agree,8,
Obstfeld,Maurice,Agree,8,There is a strong efficiency case but there still could be distributional consequences for some.
Rouse,Cecilia,Uncertain,5,Potentially but it would depend on the magnitude of the disutility associated with congestion for those with lower elasticities of demand. 
Saez,Emmanuel,Strongly Agree,8,
Scheinkman,José,Strongly Agree,9,
Schmalensee,Richard,Strongly Agree,7,
Shin,Hyun Song,Strongly Agree,8,
Stock,James,Did Not Answer,,
Stokey,Nancy,Strongly Agree,9,The only hard part is using the revenue in a reasonable way.
Thaler,Richard,Strongly Agree,8,Of course the use of the tax revenue is key.  Question: why do no GOP candidates favor such policies?  Answer: more anti tax than pro market
Udry,Christopher,Agree,8,"Congestion fees can serve well to match private costs with social costs, as long as they are implemented with minimal transaction costs. "
Zingales,Luigi,Strongly Agree,8,
