Last Name,First Name,Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Disagree,7,,Disagree,5,"There might be an effect on cost of borrowing, but unlikely to be ""substantial""."
Alesina,Alberto,Disagree,4,,Uncertain,3,
Altonji,Joseph,Strongly Disagree,7,,Strongly Agree,7,
Auerbach,Alan,Strongly Disagree,9,,Uncertain,3,
Autor,David,Uncertain,1,,Uncertain,1,
Baicker,Katherine,Disagree,1,,Uncertain,1,
Banerjee,Abhijit,Strongly Disagree,7,,Strongly Disagree,7,
Bertrand,Marianne,Disagree,5,,Agree,3,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Strongly Disagree,5,,Uncertain,3,
Cutler,David,Did Not Answer,,,Did Not Answer,,
Deaton,Angus,Agree,3,,Agree,6,
Duffie,Darrell,Strongly Disagree,9,Fiscal measures (e.g. TARP) can and often do reduce the severity of recessions.,Uncertain,9,"Starting with no debt, this would be true by definition (although it would be bad policy). Starting with a lot of debt, this could backfire."
Edlin,Aaron,Disagree,8,,Disagree,7,
Eichengreen,Barry,Disagree,5,,Disagree,5,
Einav,Liran,Disagree,2,,Uncertain,1,
Fair,Ray,Strongly Disagree,10,,Agree,5,
Finkelstein,Amy,Strongly Disagree,6,,Disagree,3,
Goldberg,Pinelopi,Strongly Disagree,5,,Strongly Disagree,5,
Goolsbee,Austan,Strongly Disagree,10,Pistol. Foot. Bang.,Strongly Disagree,10,"If we were dumb enough to force ourselves to cut spending/raise taxes in the middle of recessions, who’s to say world wouldn’t RAISE rates?"
Greenstone,Michael,Disagree,7,is this a trick question?,Agree,1,seems mechanically true but could there be an effect on growth?
Hall,Robert,Disagree,6,"In principle, an optimizing government runs a deficit to smooth taxes when a recession occurs. That's no excuse for the current deficit.",Agree,6,"The gov is way down the path of disappearance of a market for its debt, with the highest peacetime deficit/GDP ever."
Hart,Oliver,Strongly Disagree,10,Fiscal stimulus can be useful sometimes. Straight-jacketing the government is a mistake. Also I don't see how it would be enforced.,Disagree,6,Suppose the government spends and borrows less. This might raise interest rates if consumers spend more to offset critical services.
Holmström,Bengt,Disagree,4,,Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Strongly Disagree,9,,No Opinion,,
Judd,Kenneth,Strongly Disagree,8,Eliminating countercyclical spending does not seem like a good idea for reducing output fluctuations.,Disagree,8,"Lenders care about the reputation of the borrower to pay its obligations, not deficits."
Kaplan,Steven,Disagree,4,,Uncertain,4,
Kashyap,Anil,Disagree,5,,Disagree,5,
Klenow,Pete,Strongly Disagree,8,,Disagree,3,
Levin,Jonathan,Disagree,4,,Uncertain,4,A lot would depend on implementation.
Maskin,Eric,Disagree,7,,Disagree,7,
Nordhaus,William,Strongly Disagree,9,Turning off automatic stabilizers increases volatility.,Uncertain,6," Fiscal impact lowers interest rates, but turmoil impact would raise. Net impact unclear."
Saez,Emmanuel,Strongly Disagree,8,,Strongly Disagree,7,
Samuelson,Larry,Disagree,6,"Requiring budget balance would upend current operating procedure, with effects too uncertain to predict reduced output variability.  ",Disagree,6,"Excessive debt can drive up borrowing costs, but it is not clear that current costs are vastly higher than they would be with budget balance"
Scheinkman,José,Strongly Disagree,8,,Uncertain,5,
Schmalensee,Richard,Strongly Disagree,7,,Disagree,5,
Shapiro,Carl,Strongly Disagree,8,,Agree,6,
Shimer,Robert,Strongly Disagree,8,Arguably it would substantially increase output variability,Uncertain,5,
Thaler,Richard,Strongly Disagree,6,,Strongly Disagree,7,"Better idea. Amend the constitution to require 6% growth, 2% inflation and full employment. And all 4 foot putts are gimmes.
"
Udry,Christopher,Strongly Disagree,2,,No Opinion,,
