Last Name,First Name,The 60-day waiver of the Jones Act (which requires that cargo moved between domestic ports is carried on US vessels) will deliver substantially lower average US gas prices at the pump than otherwise over the next two months.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Permanent repeal of the Jones Act would have a measurably bigger impact in lowering average US gas prices at the pump than a temporary suspension.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Any national security benefits from the Jones Act are more than offset by its negative economic effects.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,2,,Agree,2,,Uncertain,2,
Aguiar,Mark,Disagree,3,,Agree,3,,Agree,3,
Altonji,Joseph,Disagree,1,,Agree,1,,Uncertain,1,
Auerbach,Alan,Disagree,7,,Agree,7,,Strongly Agree,9,
Autor,David,Disagree,7,,Strongly Agree,7,,Disagree,8,"The US barely builds non-military ships despite the Jones act. If the US wants a domestic ship manufacturing industry, it will have to get serious about investing in it through stronger industrial policy. Simply blocking competition does little except raise costs."
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Strongly Disagree,7,,Agree,8,,Uncertain,5,
Bertrand,Marianne,Disagree,2,,Agree,2,,Uncertain,2,
Brunnermeier,Markus,Agree,2,,Agree,3,,Uncertain,3,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Disagree,6,,Disagree,6,,Agree,5,
Duffie,Darrell,Uncertain,3,,Uncertain,3,"Not sure if ""average"" means average across the country now, or the average across time. If it's the former, I would disagree. If it's the latter, I am uncertain. ",Agree,3,"I have not noticed that much in the way of national security benefits (support for a more self-sufficient domestic merchant marine fleet), have been achieved by the Jones Act. "
Edlin,Aaron,No Opinion,,,Agree,6,,Disagree,5,If you are worried about climate change then you see higher fuel costs bringing economic benefits. 
Eichengreen,Barry,Disagree,5,,Uncertain,5,,Agree,5,
Einav,Liran,Uncertain,1,,Agree,1,,Uncertain,1,
Fair,Ray,Disagree,5,,Agree,5,,Agree,5,
Glaeser,Edward,Agree,7,,Strongly Agree,9,,Agree,7,
Goldberg,Pinelopi,Disagree,5,"It helps, but the effect is very small",Agree,8,,Strongly Agree,9,
Greenstone,Michael,Uncertain,3,,Agree,2,,Agree,3,
Hart,Oliver,Disagree,7,,Disagree,6,,Agree,7,
Hoxby,Caroline,Uncertain,3,,Strongly Agree,10,"Permanent suspension of the J.A. would allow petroleum products to be directed much more flexibly, to places where demand is highest and refineries that can most efficiently process the specific type of product. At present, the Jones Act causes many petroleum-related distortions.",Strongly Agree,10,"There is evidence that the Jones Act has contributed to the collapse of shipping construction in the US, thus counteracting any intended national security benefits. Jones Act obviously distorts consumer prices and supply chains, especially for HI, AK, and territories."
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,
Hurst,Erik,Disagree,5,,Uncertain,4,,Uncertain,1,
Judd,Kenneth,Agree,8,Temporary waivers have little impact on prices because there are few opportunities to change shipping practices for a short period of time.,Strongly Agree,10,Ending the Jones Act would reduce the transportation costs of oil within the US.,Strongly Disagree,10,Most US Navy ships are very different from civilian ships and are produced by shipyards specializing in military ships. The military has contracts with airplane owners that allow the military to get priority during a crisis. Same could be done for Navy supply ships.
Kaplan,Steven,Disagree,4,,Uncertain,4,,Strongly Agree,10,Large economic costs to Jones Act and negligible security benefits.  May be security costs as we are seeing now.
Kashyap,Anil,Uncertain,3,It will prices in some places and lower them elsewhere and whether things are mobilized in 2 months is not absolutely certain.  ,Agree,3,There still would be some cross-sectional differences ,Strongly Agree,9,
Klenow,Pete,Disagree,3,,Agree,3,,Uncertain,2,
Levin,Jonathan,Disagree,4,,Disagree,4,,Uncertain,3,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Disagree,3,,Agree,3,,Agree,3,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Disagree,8,"Suspending the Jones act will increase gas prices in some markets and decrease prices in other markets, with negligible average effect.",Agree,8,A sixty day waiver is too short for many of the adjustments firms would make in response to a permanent adjustment.,Agree,8,
Scheinkman,José,Strongly Disagree,6,"The Jones act should be repealed but the Jones act first order effect on gasoline prices is distorting the relative prices between US Gulf and East Coast. And 60 days are probably too little, even for these relative price effects to obtain.",Disagree,6,The Jones act should be repealed but the Jones act first order effect on gasoline prices is distorting the relative prices between US Gulf and East Coast.,Strongly Agree,6,
Schmalensee,Richard,Disagree,7,I don't think the system can pivot that fast.,Strongly Agree,8,"Permanent repeal would do many good things. It would enable coast-wise shipping to compete with rail and trucks, for instance, as well as providing large benefits to Hawaii, Puerto Rico, and Alaska.",Strongly Agree,9,This can't be controversial.
Scott Morton,Fiona,Disagree,7,Effect too small,Agree,3,,Strongly Agree,10,The Act failed in its purpose and is now a drag on productivity.
Shapiro,Carl,Strongly Disagree,8,,Agree,7,,Strongly Agree,10,
Shimer,Robert,Agree,3,,Agree,6,,Agree,8,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
