Last Name,First Name,Clearing the market for surgical face masks using prices is detrimental to the public good.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Laws to prevent high prices for essential goods in short supply in a crisis would raise social welfare.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Governments should buy essential medical supplies at what would have been the market price and redistribute according to need rather than ability to pay.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,3,"Market signals are important. But in crisis, public solidarity is critical. Allocating vital equipment to the rich rich would destroy it.",Uncertain,4,"It may be better to allocate them to the needy via subsidies and government programs than price caps, which may distort signals to producers",Strongly Agree,4,Provided that corruption and inefficiency in choosing suppliers can be kept under control.
Altonji,Joseph,Agree,4,,Uncertain,3,It depends on the characteristics of the good.,Agree,3,
Auerbach,Alan,Agree,3,,Uncertain,3,,Uncertain,3,
Autor,David,Agree,5,"Medical providers have highest social value of these supplies, not clear that they highest willingness/ability to pay",Disagree,5,Not enough to ban pricing! Need a mechanism to substitute based on view that social value does not equal private value at this point in time,Disagree,4,Government should procure. Not clear government/public should transfer all surplus to private sector
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Strongly Agree,7,,Uncertain,6,Enforcement of price caps is always a challenge so may be the government should directly sell them,Agree,7,
Bertrand,Marianne,Agree,5,,Agree,4,,Agree,5,
Brunnermeier,Markus,Agree,8,"The optimal policy depends on the supply elasticity. If supply cannot react, then high prices only generate additional rents.",Agree,8,"the law can't be general, since regulation has to depend on supply elasticity.",Agree,5,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Cutler,David,Strongly Agree,7,During a pandemic is a different answer than in normal times.,Strongly Agree,7,,Strongly Agree,7,
Deaton,Angus,Strongly Agree,7,,Agree,7,,Strongly Agree,7,
Duffie,Darrell,Uncertain,1,Uncertain. A market does not rule out government purchase and reallocation to critical users.,Uncertain,1,"Market pricing (including gouging) in a crisis might be neoclassically ""efficient"" but rationing could help many poor and vulnerable people.",Agree,2,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Strongly Agree,5,Wearing a mask has external effects. Denying masks to bus drivers on price grounds affects not just the driver but the passengers.  ,Disagree,5,"Would raise supply, but not necessarily allocation if people are making purchase decisions on the basis of highly incomplete information.",Uncertain,5,"Depends on the structure of the market.  If there is, say, a monopoly of supply, time for the Defense Production Act to determine the price."
Einav,Liran,Agree,3,,Agree,3,,Agree,3,
Fair,Ray,Agree,5,There are externalities.  ,Agree,5,"Again, externalities",Agree,5,
Finkelstein,Amy,Uncertain,3,,Uncertain,3,,Agree,3,
Goldberg,Pinelopi,Agree,6,,Agree,6,,Uncertain,6,
Goolsbee,Austan,Disagree,1,,Disagree,6,,Agree,7,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Uncertain,2,Depends on the alternative distribution system,Uncertain,1,see previous,Uncertain,1,see previous
Hart,Oliver,Strongly Agree,10,I assume we mean in a crisis where there is a shortage and supply is inelastic. Letting prices clear the market would cause huge anger.,Agree,8,The alternative seems a lot worse.,Uncertain,5,This could work but it may be better for the government to use its bargaining/coercive powers to force price close to marginal cost.
Holmström,Bengt,Agree,6,,Uncertain,6,,Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,6,,Uncertain,6,,Agree,6,
Judd,Kenneth,Agree,6,"I would say ""was"" detrimental, particularly when Feds competed against states. There was no price, just chaotic & wasteful frenzy.",Agree,6,"I interpret ""crisis"" to be an unanticipated event, one with no Arrow-Debreu price. Markets are not complete. Intervention can then be good.",Agree,8,This sounds a lot like the Fifth Amendment on eminent domain. I approve.
Kaplan,Steven,Disagree,8,,Disagree,8,,Uncertain,1,
Kashyap,Anil,Uncertain,3,relative to what alternative?  having watched many governments struggle to do basic functions does not inspire confidence,Disagree,1,suppose that SOME toilet paper had been sold at 25 times the normal price early in the crisis... ,Agree,3,watching hospitals on the south side of Chicago run out of supplies was awful. we can do better than that. 
Klenow,Pete,Uncertain,2,Public health externalities need to be internalized.,Uncertain,2,Depends on what other policies are pursued.,Uncertain,2,
