Last Name,First Name,"All else equal, making permanent the 2017 tax cuts that were set to expire at the end of 2025 would substantially increase federal deficits and the federal debt over the coming decade.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"All else equal, making permanent the 2017 tax cuts that were set to expire at the end of 2025 would measurably increase the rate of US economic growth over the coming decade.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In the US, given Congressional budget scoring rules, temporary tax cuts generate sufficient pressure for extension as to be effectively permanent.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,4,,Disagree,4,"Zero taxes on capital, combined with relatively high taxes on labor are very problematic, both because of their distributional implications and also because they distort technology choice, encouraging excessive automation.",Agree,4,The reason why capital taxation is so low at the moment seems to be that several temporary generous depreciation allowance statutes and other giveaways to investors then became permanent.
Aguiar,Mark,Agree,6,,Disagree,5,,Uncertain,4,
Altonji,Joseph,Strongly Agree,7,,Disagree,3,,Uncertain,2,
Auerbach,Alan,Strongly Agree,7,,Disagree,5,,Uncertain,5,
Autor,David,Strongly Agree,10,I know of no tax cuts in US history that have paid for themselves. That doesn't meant that cutting taxes is always a bad idea. But the fantasy that they are free persists despite all evidence to the contrary.,Agree,5,"The best evidence I've seen is that TCJA did increase investment. But given the size of our deficit and debt, there are more fiscally responsible ways to stimulate growth. ",Agree,8,"Only a small minority of these have ever actually been allowed to expire, as far as I know. And of course, that's the strategic plan of those who propose them. "
Banerjee,Abhijit,Agree,5,,Uncertain,5,,Uncertain,5,
Bergemann,Dirk,No Opinion,,"I am not aware of the specifics of the 2017 tax cut that you refer to, neither might the readers.",No Opinion,,I would find some specific reference to the tax cut useful,No Opinion,,
Bertrand,Marianne,Strongly Agree,7,,Disagree,3,,Disagree,1,
Brunnermeier,Markus,Strongly Agree,8,,Uncertain,8,,Strongly Agree,5,
Chevalier,Judith,Strongly Agree,8,,Uncertain,4,,Uncertain,3,
Cutler,David,Strongly Agree,7,,Disagree,6,,Disagree,5,
Duffie,Darrell,Strongly Agree,8,The stimulated incremental growth necessary to cover the revenue lost due to lower tax rates would need to be unexpectedly large. ,Agree,3,"Within a decade, lower taxes would increase earnings incentives sufficiently for this effect. In the following decades, however, the resulting higher interest expense on government debt and the increased inflation volatility would likely more than offset the initial growth.",Disagree,3,"Permanent means forever. That's a long time..... Anyway, even if the low tax rates for each bracket were to remain constant, the higher resulting inflation and progressively of the tax schedule would eventually raise average tax rates."
Edlin,Aaron,Agree,7,,Uncertain,5,,Agree,5,
Eichengreen,Barry,Agree,5,,Disagree,5,,Uncertain,5,
Einav,Liran,Agree,1,,Uncertain,1,,Agree,1,
Fair,Ray,Agree,5,,Disagree,5,,Disagree,5,
Glaeser,Edward,Agree,7,,Uncertain,7,,Agree,7,
Goldberg,Pinelopi,Agree,4,,Uncertain,5,,Agree,5,
Greenstone,Michael,Strongly Agree,7,,Uncertain,2,how much wil higher budget deficits raise interest rates?,Uncertain,2,
Hart,Oliver,Agree,6,,Disagree,5,,Agree,5,
Holmström,Bengt,Agree,3,,Uncertain,3,,Disagree,3,
Hoxby,Caroline,Uncertain,10,,Agree,10,,Disagree,5,
Hoynes,Hilary,Strongly Agree,8,,Disagree,8,,Uncertain,8,I’m not sure it’s due to CBO rules but not wanting to take away tax cuts once you’ve given them. 
Hurst,Erik,Agree,8,,Disagree,7,,Agree,1,
Judd,Kenneth,Agree,6,There were many tax cuts passed in 2017. Renewing some of them will increase the debt. This question is typical of these discussions in economics. It would be better to analyze each cut along with any synergies among the cuts. ,Uncertain,8,,Disagree,7,"Temporary tax cuts have often been temporary. The Bush partial expensing provisions of 2002 expired in 2005. When asked why, a Bush cabinet official said ""The election is over by then."" It had served its purpose of temporary stimulus to help get re-elected."
Kaplan,Steven,Uncertain,1,"have not seen a detailed analysis.  SALT cap being eliminated is expensive.  Individual tax rates going up increases revenue.  Corp tax drop, which was big in 2017 act, is unchanged.",Uncertain,1,"Again, do not have enough information.",Uncertain,9,It depends on the composition of Congress and the Presidency at the time of renewal.
Kashyap,Anil,Strongly Agree,9,,Uncertain,3,"At some point the deficits the US is running will lead to higher rates, the CBO already thinks this path will crowd out investment.  ",Uncertain,5,
Klenow,Pete,Agree,3,,Uncertain,3,,Uncertain,1,
Levin,Jonathan,Strongly Agree,4,,Uncertain,4,,Uncertain,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Agree,8,,Disagree,4,,Uncertain,3,
Obstfeld,Maurice,Strongly Agree,5,,Disagree,4,,Agree,3,
Pathak,Parag,Agree,4,,Uncertain,5,,Uncertain,5,
Samuelson,Larry,Strongly Agree,8,There is neither evidence nor relevant experience to suggest that cutting taxes in our current setting will increase tax revenue.,Disagree,6,Variations of tax rates on the contemplated size do not appear to be of first order importance in explaining growth.,Strongly Agree,8,
Scheinkman,José,Agree,8,,Disagree,5,,Uncertain,4,
Schmalensee,Richard,Strongly Agree,5,,Disagree,4,,Uncertain,5,"The pressure is there, but I think the statement over- states its power
"
