Last Name,First Name,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Campbell,John,Agree,6,,Uncertain,4,"Negative externalities to stakeholders are likely meaningful, but correcting them through ""appropriate management"" is easier said than done.",Disagree,7,It is extremely difficult to incentivize CEOs to consider all stakeholders without empowering them to pursue their own selfish interests.
Cochrane,John,Strongly Disagree,10,"Question misuses ""externality."" Voluntary market transactions are not externalities. Having? Absence of government coercion is not ""having.""",Strongly Disagree,10,"Horrible question. ""Appropriately managed"" can increase value for all. But by who? Question implies government. Sentences with subjects pls!",Strongly Disagree,10,"Passive agian.  By who? By boards or by regulators? Interests are traded, not balanced. A gains, B loses. Owners pillaged, golden goose dies"
Cornelli,Francesca,Uncertain,7,It is impossible to make an encompassing statement valid for all industries ,Agree,8,"There are several instances where shareholders' value can focus on short term goals only, while a longer term approach can improve value",Agree,7,There are measures that would not solve all the problems but would definitely bring to an improvement
Diamond,Douglas,Disagree,8,Alternative forms of governance do not address externalities directly.  Corporate reputation and shareholder governance is sufficient. ,Strongly Disagree,9,"If there is a large difference in actions, given reputation, there would be a large effect on shareholder value. ",Strongly Disagree,9,I do not see an easy way to provide alternative goals.  It will become political. 
Duffie,Darrell,Agree,9,"This is the point of regulation. For examples, pollution and labor regulations are intended to mitigate such effects.  
",Uncertain,8,"Hard to know. But if true, this would imply almost no mis-alignment of incentives between shareholders and the others. That seems unlikely.
",Disagree,9,"This doesn't seem ""straightforward."" It would be complicated to balance the potential conflicts of interests among all stakeholders.
"
Eberly,Janice,Disagree,7,Could have more confidence if comparing to a real alternative or counterfactual.,Disagree,7,Appropriately managed seems unclear/aspirational if the goal is the create additional value.  It would be interesting to know what changes.,Strongly Disagree,8,Related to the previous question - how would board effectiveness change in practice?
French,Kenneth,Disagree,6,,Strongly Disagree,7,,Strongly Disagree,8,Shareholder value maximization is the least ambiguous and most well defined of the many alternative objectives I have seen.
Gabaix,Xavier,Disagree,8,There are always pecuniary externalities. From firms to workers they're typically *positive*: more capital is better for workers.,Strongly Disagree,8,"Very doubtful, except for a few cases like (i) local monopsony power (ii) pollution and such externalities.",Strongly Disagree,10,"Some innovations would be good (e.g. local externalities), but the scope is government policy, not board structure"
Goldstein,Itay,Agree,9,,Uncertain,9,,Disagree,9,
Graham,John,Disagree,9,One can not maximize shareholder value without considering other stakeholders. There might be externalities but probably not significant,Disagree,9,some value could possibly be created for other stakeholders -- but not significantly more ,Disagree,8,1) often hard to measure stakeholder welfare; 2) an 'end around' can occur relative to an explicit measure/variable to negate the intent
