Last Name,First Name,Public companies that pursue social and environmental initiatives bear no measurable costs (in terms of lower profits) relative to similar companies that do not pursue such initiatives.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Public companies that pursue social and environmental initiatives benefit from a measurably lower cost of capital than similar companies that do not pursue such initiatives.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"There are substantial social benefits when managers of public companies make choices that account for the impact of their decisions on customers, employees, and community members beyond the effects on shareholders.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Parlour,Christine,Disagree,7,Firms are adding an extra constraint. ,Strongly Disagree,8,Cost of capital is determined by the capital markets. ,Agree,7,Stakeholder benefits are measured in social benefits
Philippon,Thomas,Disagree,4,,Uncertain,4,,Agree,7,
Puri,Manju,Disagree,7,,Uncertain,7,,Agree,8,
Roberts,Michael,Uncertain,1,Difficult question to answer empirically and not sufficiently familiar with literature.,Uncertain,8,I believe their may be short-run effects - conditional - but unclear if their are long-run effects - unconditional.,Uncertain,8,
Sapienza,Paola,Disagree,5,"It really depends. Sometime firms embrace into these initiatives as marketing devices, then they do not conflict with profits. sometime they do not. distinguishing between the two cases will be essential. Firms may cater to employees and consumers increasing profits, or not. ",Uncertain,5,Again it depends what is the effects on the firm. Firms seem pretty smart at selecting goals that improve traffic especially from aligned consumers.,No Opinion,,"question is too vague. The risk with social objectives is that their effect may not clearly measurable, but there could be examples in which firms add positive social values, for example when they refrain from polluting. Benefits should not be measured without costs. "
Seru,Amit,Strongly Disagree,7,,Uncertain,7,,Uncertain,7,
Stambaugh,Robert,Disagree,8,,Uncertain,8,,Agree,8,
Starks,Laura,Uncertain,10,"This question cannot be addressed so simply - it depends on the context. For example, are profits here being measured over the ST or LT? Do the initiatives attract customers or talented employees or do they allay regulatory risks? There are no simple answers here. ",Uncertain,10,Again it depends on the purpose of the initiatives and their outcomes. It also depends on the preferences of the shareholders and debtholders. For further discussion on these issues see link.,Agree,5,"Agree that there can be substantial social benefits, but again there are no simple answers. Do the effects on shareholders take into account that the impact of corporate manager decisions on customers, employees and community members will have value effects on shareholders? "
Stein,Jeremy,Disagree,4,,Uncertain,3,,Agree,4,
Stroebel,Johannes,Uncertain,1,,Uncertain,1,"Depends on the activities. Activities to mitigate climate risk likely do affect cost of capital, though estimates of effect size vary widely.",Agree,1,In particular in the presence of externalities that are not otherwise internalized.
Titman,Sheridan,Strongly Disagree,8,,Uncertain,8,,Agree,1,
Van Nieuwerburgh,Stijn,Disagree,6,Putting constraints on problems reduces cash flows because the negative externalities are untaxed.,Agree,5,"Green (ESG) firms earn negative alphas, their firms have lower costs of capital. the opposite is true for brown firms. ",Disagree,5,"Firms should maximize shareholder value, which may not be the same as profit (market value)maximization. they need to take into account the preferences of their shareholders."
Whited,Toni,Disagree,2,,Uncertain,9,,Agree,4,
