Last Name,First Name,"Independent of any other cuts to public funding of scientific research, a 55% reduction in the budget for the National Science Foundation would have no measurable effect on the well-being of the typical American over the next 10 years.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Historical federal support for scientific research has paid for itself through a substantial positive effect on long-run US productivity growth.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Disagree,4,,Agree,4,
Aguiar,Mark,Agree,8,,Agree,8,
Altonji,Joseph,Disagree,7,,Strongly Agree,8,
Auerbach,Alan,Disagree,7,,Agree,7,
Autor,David,Strongly Disagree,8,"Ten years is long enough for underinvestment to slow US economic growth. If the question had said one year, I would have had the opposite answer. ",Strongly Agree,8,
Banerjee,Abhijit,Uncertain,4,,Agree,4,
Bergemann,Dirk,Strongly Disagree,10,,Strongly Agree,10,
Bertrand,Marianne,Disagree,7,,Agree,7,
Brunnermeier,Markus,Disagree,9,,Strongly Agree,8,
Chevalier,Judith,Disagree,8,Ten years is an appropriately long horizon for research to have wide impact. ,Agree,5,"I would not have raised productivity growth as the only or even dominant channel, however. "
Cutler,David,Disagree,6,,Strongly Agree,10,
Duffie,Darrell,Uncertain,6,"Ten years is a short time horizon for newly funded NSF projects to cause measurable impacts on ""typical Americans.""  For an horizon of, say, 20 years, I would definitely have disagreed. ",Strongly Agree,6,
Edlin,Aaron,Strongly Disagree,10,"It would be a shocking coincidence if the costs and benefits of such a budget cut were exactly balanced.  More likely, and almost surely, the expected benefits of science spending is dramatically positive. A single project like CRISPR could be worth a century of funding.   ",Strongly Agree,10,See comment above.  Bell Labs is long gone and we cannot rely on industry for basic research. 
Eichengreen,Barry,Disagree,5,,Strongly Agree,5,
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Disagree,5,,Uncertain,5,
Glaeser,Edward,Disagree,7,,Strongly Agree,9,My confidence comes from health spending (NIH) more than non-health science spending.  
Goldberg,Pinelopi,Disagree,8,,Strongly Agree,9,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Strongly Disagree,8,,Strongly Agree,8,
Hoxby,Caroline,Disagree,10,The NSF funds basic research that is the foundation for R&D closer to downstream use. It is a public good for which even very R&D-oriented firms would not pay.,Strongly Agree,10,"My confidence is based mainly on economic logic and the strict peer-reviewing at NSF. However, the empirical evidence is also broadly supportive."
Hoynes,Hilary,Disagree,8,,Agree,8,
Hurst,Erik,Disagree,1,,Uncertain,1,
Judd,Kenneth,Strongly Disagree,7,,Strongly Agree,10,
Kaplan,Steven,Uncertain,6,"Depends on what is cut.  Some NSF funding has been very productive; some has been counterproductive.  There also are myriad alternatives, particularly with AI.",Agree,8,
Kashyap,Anil,Agree,7,This would be less than $5 billion change.  It might be a good investment to measurably affect people there is little change.  ,Strongly Agree,9,you can the impact of the returns from basic science everywhere...
Klenow,Pete,Strongly Disagree,5,,Strongly Agree,5,
Levin,Jonathan,Disagree,6,,Strongly Agree,10,
Maskin,Eric,Uncertain,5,"Basic science unquestionably improves well-being in the long run. But I'm unsure whether 10years is long enough fir a cut to matter.Also, the answer depends on how much funding can be replaced by private sources.",Agree,8,strong evidence here
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Strongly Disagree,5,"US productivity growth builds on scientific research, which is underprovided by the market.",Strongly Agree,5,
Pathak,Parag,Disagree,5,,Strongly Agree,10,
Samuelson,Larry,Uncertain,1,"Ten years is a relatively short time for basic research to have effect, and so there may be no effect; but developments in some fields are occurring so quickly that such a cut may well have an effect.",Strongly Agree,10,Basic scientific research is the essential key to long-run productivity growth.
Scheinkman,José,Disagree,9,"The amount of the reduction contemplated is $5 billion, which using the best estimates in the literature would have  returned  $20 billion to US residents. ",Strongly Agree,9,"There is a large literature in economics demonstrating that federal support for scientific research induced a large positive effect on US productivity growth. (See Dyevre, 2024 for a recent example)"
Schmalensee,Richard,Disagree,4,"I would agree with no effect over 5 years, but one might see something in 10.",Strongly Agree,8,If this isn't true...?
Scott Morton,Fiona,Uncertain,1,The effect is long run,Strongly Agree,7,
Shapiro,Carl,Strongly Disagree,8,,Strongly Agree,10,
Shimer,Robert,Disagree,5,,Agree,7,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,
Stock,James,Disagree,3,"Fundamental science can come to market increasingly quickly: materials science, quantum computing, solid state cooling & heating, etc.",Strongly Agree,7,
Stokey,Nancy,Did Not Answer,,,Did Not Answer,,
Syverson,Chad,Disagree,9,"Recent estimates indicate returns to non-defense gov't R&D of about 200%, and this might be an underestimate; cites below. The proposed $5B cut then results in an annual loss of about $30 per capita. (Anyone thinking that's small can mail me that amount.)",Strongly Agree,9,See cites above
Thaler,Richard,No Opinion,,,No Opinion,,
Udry,Christopher,Strongly Disagree,4,"My uncertainty is mostly over timing - the costs of reducing research activity that had been supported by NSF will be accrued over a long period, and there is fundamental uncertainty about what would have been discovered and when.",Strongly Agree,10,"Take your pick: Human genome project, the internet, mRNA vaccines, spectrum auctions, kidney exchange, GPS, ..."
Werning,Ivan,Uncertain,7,"Uncertain only because 10 years may not be enough time for measurable effects reach households. But effects is immediately on production of ideas and R&D, which has impact further out, e.g. horizon 20-30y from basic research to production.",Agree,7,"Impossible to know 100%, but a clear yes beyond reasonable doubt. Technology advance has been a key driver of growth. Small US Fed funding likely comes with big spillovers in basic science and R&D ecosystem, supporting idea creation and scientist training, key to leading tech."
