Last Name,First Name,"Legislation introduced in Congress would require the Federal Reserve to ""submit to the appropriate congressional committees…a Directive Policy Rule"", which shall ""describe the strategy or rule of the Federal Open Market Committee for the systematic quantitative adjustment of the Policy Instrument Target to respond to a change in the Intermediate Policy Inputs."" Should the Fed deviate from the rule, the Fed Chair would have to ""testify before the appropriate congressional committees as to why the [rule]…is not in compliance."" Enacting this provision would improve monetary policy outcomes in the U.S.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,1,"Given the increasingly important and discretionary role the Fed plays, supervision is essential. Congress may not be the right body to do it"
Alesina,Alberto,Disagree,9,
Altonji,Joseph,Disagree,4,
Auerbach,Alan,Disagree,7,
Autor,David,Strongly Disagree,8,Preserving the Fed's autonomy is valuable. Imagine if Congress had been running the Fed during the Financial Crisis --- certain disaster!
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Disagree,7,
Bertrand,Marianne,Disagree,2,
Brunnermeier,Markus,Disagree,4,"Rules are very useful, but one has to be careful not undermine central bank's independence, which untie central banks from political cycle. "
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Strongly Disagree,9,"The Fed's track record in economic policy-making, while imperfect, is vastly superior to that of Congress. "
Currie,Janet,Disagree,7,Such a policy would undermine the independence of the Federal Reserve.
Cutler,David,Uncertain,5,
Deaton,Angus,Disagree,7,
Duffie,Darrell,Disagree,9,"A quantitative formula is not flexible in the face of structural changes, and reduces Fed independence too much. Clear goals are enough."
Edlin,Aaron,Disagree,7,
Eichengreen,Barry,Disagree,5,
Einav,Liran,Disagree,5,
Fair,Ray,Disagree,7,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Disagree,10,
Greenstone,Michael,Disagree,4,
Hall,Robert,Disagree,8,Monetary policy should be based on a target for inflation and unemployment (such as difference between the two) not on an instrument rule
Hart,Oliver,Disagree,8,No rules would have allowed the Fed to act appropriately in the recent crisis. Better to choose governors well and give them discretion.
Holmström,Bengt,Strongly Disagree,8,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Uncertain,6,
Judd,Kenneth,Strongly Disagree,8,Would not have stopped Nixon-Burns inflation. Greenspan had infinite ability to obfuscate. Do we want Congress defining deviations?
Kaplan,Steven,Disagree,7,
Kashyap,Anil,Strongly Disagree,7,"Data revisions alone cast doubt on this.  Instead let's raise the qualifications and pay of who we appoint.  Read this bill, very quirky.   "
Klenow,Pete,Uncertain,6,Too narrow and likely to compromise Fed independence.  Something like Norway's Central Bank reports (see p.18-19) could be more useful.
Levin,Jonathan,Disagree,3,
Maskin,Eric,Disagree,7,Such legislation seems likely to compromise the Fed's political independence.
Nordhaus,William,Strongly Disagree,9,Has tendency to politicize monetary policy and to promote inflexibility.
Saez,Emmanuel,Disagree,3,
Samuelson,Larry,Disagree,8,The essence of the Fed is to be independent.  Congressional meddling is not a set forward.  
Scheinkman,José,Disagree,6,
Schmalensee,Richard,Strongly Disagree,9,Not a hard call.
Shapiro,Carl,Strongly Disagree,9,The Fed has served Americans very well over many decades; meddling by politicians would worsen the performance of the Fed and the economy.
Shimer,Robert,Uncertain,7,"Under current Fed leadership, the statement is likely to be false. Under future leadership, accountability might be justifiable. "
Stokey,Nancy,Strongly Disagree,8,A central bank should be independent.  Look at Argentina as an example of where political oversight leads.
Thaler,Richard,Strongly Disagree,7,I can't think of any agency in government that would work better with greater supervision from Congress  
Udry,Christopher,Did Not Answer,,
