Last Name,First Name,"Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now than it would have been otherwise.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now than it would have been otherwise.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Uncertain,5,It's very difficult to know how the negotiations for trade and immigration will play out.  The benefits of being outside the EU are unclear.,Uncertain,5,Again very difficult to know how things will play out at this stage.
Antras,Pol,Agree,5,"It will probably be lower than it would have been, but by how much depends on negotiations with EU and attitudes towards immigrants",Uncertain,6,"Brexit would largely be bad for Europe in the long run, but some relocation effects could be beneficial in the short/medium run"
Bénassy-Quéré,Agnès,Strongly Agree,9,,Strongly Agree,9,"The impact on the EU is likely to be less than that on the UK, except if Brexit is the beginning of a progressive breakup of the EU."
Baldwin,Richard,Strongly Agree,10,"it will disrupt Factory Europe and UK's role in it; to restore UK competitivenes, UK wages must fall relative to those of its EU competittor",Disagree,10,UK is a only a small part of Factory Europe and political reactions are likely to shield most critical parts.
Besley,Timothy J.,Agree,7,Higher trade costs and poorer access to European markets.,Agree,7,The UK is an important trading partner and the UK has also been an effective champion for open markets within the EU.
Blanchard,Olivier,Agree,8,I do not see the benefits which compensate the loss of full access to the EU market. ,Agree,6,"Again, loss of full access to UK market  is a minus, although small.  Political implications re EU construction can go one way or the other"
Bloom,Nicholas,Strongly Agree,10,Brexit will reduce trade and immigration because of higher barriers to both. Uncertainty will reduce investment and R&D in the short run,Strongly Agree,9,"The EU has been driving free markets, trade and openess across Europe. Brexit weakens the EU, and this weakens these pro-growth forces."
Blundell,Richard William,Strongly Agree,9,The tariff-free single market across Europe together with the integration of skilled labour market adds significantly to UK real income.,Agree,7,The UK is a major influence in improving economic policy and a large trading partner. A decline in this will have a negative impact on EU. 
Carletti,Elena,Agree,7,Britain will be poorer as a consequence of the exit from the EU but a lot will depend on how the negotiations will go. ,Uncertain,7,"again there is lot of uncertainty at the moment, so any prediction is difficult, especially in terms of the consequences for the EU"
