Last Name,First Name,"Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Past experience of public spending and political economy suggests that if the government spent more on roads, railways, bridges and airports, many of the projects would have low or negative returns.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Agree,4,,Strongly Agree,7,"Average return is likely to be because of underspending in many activities, but many will be adopted because of politics and have <0 returns",,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Strongly Agree,8,,Agree,5,"There will be some bad projects, but current infrastructure needs are very large.",,,,,,,,,,,,,,,,,
Auerbach,Alan,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,
Autor,David,Agree,6,,Disagree,6,"Some will have low returns, of course. But the mean and median rate of return will likely be favorable. ",,,,,,,,,,,,,,,,,
Baicker,Katherine,Agree,3,,Agree,4,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Agree,3,,Uncertain,3,,,,,,,,,,,,,,,,,,
Chetty,Raj,Agree,6,,Uncertain,5,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,6,,Uncertain,5,"""Many"" will have low returns, because the political process doesn't always do a great job picking projects.  But some will be very positive.",,,,,,,,,,,,,,,,,
Currie,Janet,Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,
Cutler,David,Strongly Agree,8,,Strongly Disagree,8,,,,,,,,,,,,,,,,,,
Deaton,Angus,Strongly Agree,9,,Disagree,7,"""Some"" for sure,  but many sounds like a majority.",,,,,,,,,,,,,,,,,
Duffie,Darrell,Agree,3,,Agree,3,"Some of the returns may be lower than those in the private sector, but it may hard be get needed infrastructure but for the government.",,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,5,,Agree,6,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Fair,Ray,No Opinion,,One needs to know how the projects will be financed. ,No Opinion,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Uncertain,3,,Uncertain,3,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Strongly Agree,7,18 different kinds of coffee but every way to get to them has a pothole,Strongly Agree,9,Have you been to John Murtha airport?,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,7,yes but possible there are relatively few places w infrastructure deficit  (innovative proposal below)  lots of opp's eff gains w pricing   ,Agree,7,currently infra spending does not aim to maximize returns. c. winston research suggests returns are declining but more research is critical,,,,,,,,,,,,,,,,,
Hall,Robert,Uncertain,8,Serious overspending currently on  rail. Roads and bridges need user charges. Not many true public goods that call for higher spending.,Agree,8,"True for rail. For other infrastructure, the main problem is not the spending, but rather the failure to impose appropriate user charges.",,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Disagree,9,The best evidence with anything like a CAUSAL character suggests that this is untrue.  There is lots of junk correlational evidence: ignore.,Agree,9,"Best credibly CAUSAL evidence suggests this statement is, broadly speaking, correct.  Of course, there are exceptions. ",,,,,,,,,,,,,,,,,
Judd,Kenneth,Agree,4,,Uncertain,5,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,5,Repairing bridges & roads would have been good to do over the last 5 years; the problem is nothing is really shovel ready so it takes time,Agree,5,"Depends on what ""many"" means, but dollar weighted we do overpay too often.  See Calif high speed train ",,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,2,,Agree,6,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,8,,Disagree,6,interests rates are very low---suggesting that returns from public investment might well be good,,,,,,,,,,,,,,,,,
Nordhaus,William,Uncertain,1,,Uncertain,1,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,6,,Disagree,6,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,5,,Uncertain,4,,,,,,,,,,,,,,,,,,
Scheinkman,José,Strongly Agree,8,,Disagree,6,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,4,,Agree,3,Depends importantly on whether earmarks play a significant role. ,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Agree,5,Many roads and bridges need repair.,Uncertain,5,In the past both good and bad projects have been funded. The proportion of each? Hard to say without more careful study.,,,,,,,,,,,,,,,,,
Thaler,Richard,Strongly Agree,8,Borrowing at negative interest rates and high unemployement rates to stop bridges from collapsing is as close as we get to a no brainer.,Uncertain,1,"All depends on what you mean by many.  Any portfolio of projects will included duds, in both private and public sector. Change many to some.",,,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,6,"Both of these statements, of course, can be true. The opportunity can be squandered.   ",Agree,5,"""Many"" would surely have low returns.  There are difficult empirical problems, but it seems historical experience on average has been good.",,,,,,,,,,,,,,,,,
Zingales,Luigi,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,
