Last Name,First Name,"The current US federal minimum wage is $7.25 per hour. States can choose whether to have a higher minimum - and many do.
A federal minimum wage of $15 per hour would lower employment for low-wage workers in many states.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,A federal minimum wage that is pegged to state and/or local conditions such as the cost of living would be preferable to the current arrangements that give states a role in setting the policy.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,4,International evidence on this seems to be mixed.,Agree,5,I think flexibility is good.  It may be good to allow states to set their own rate but have the minimum pegged CoL.
Antras,Pol,Uncertain,6,"The evidence is mixed, pointing to minimal employment effects. But this is a significant increase, so it is hard to tell.",Strongly Agree,6,
Bandiera,Oriana,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,5,"In some states, this would be a very large change. potentially sufficient large to trigger employment cuts.  ",Agree,7,Adjustment for the cost of living is simply more fair. .  
Bloom,Nicholas,Agree,8,,Strongly Agree,9,
Blundell,Richard William,Disagree,5,,Uncertain,4,
Carletti,Elena,Uncertain,3,,Agree,3,
Danthine,Jean-Pierre,Uncertain,3,An increase in minimum wage may or may not have the stipulated effect depending on the specific labor market situation in each State. ,Uncertain,3,"state politics aside, a minimum wage set at the more decentralized level can better account for all dimensions of the local situation "
De Grauwe,Paul,Uncertain,5,There is a lot of uncertainty. I do not see much employment effect positive or negative,Agree,7,
Eeckhout,Jan,Uncertain,6,,Agree,8,
Fehr,Ernst,Disagree,8,,Uncertain,6,
Freixas,Xavier,Agree,3,,Strongly Agree,3,
Fuchs-Schündeln,Nicola,Uncertain,7,,Agree,8,
Galí,Jordi,Uncertain,7,Potential loss in competitiveness may be offset by higher aggregate demand coming from higher disposable income and lower real rates,Uncertain,6,Depends on the wisdom of the respective rules for setting the minimum wage (federal and state)
Giavazzi,Francesco,Agree,7,,Strongly Agree,8,
Griffith,Rachel,Uncertain,1,,Uncertain,1,
Guerrieri,Veronica,Uncertain,8,,Agree,8,
Guiso,Luigi,Disagree,5,,Agree,5,
Guriev,Sergei,Uncertain,5,,Disagree,5,
Honohan,Patrick,Did Not Answer,,,Did Not Answer,,
Javorcik,Beata,Uncertain,4,,Strongly Agree,9,
Kőszegi,Botond,Uncertain,8,,Agree,7,
Krahnen,Jan Pieter,Uncertain,2,The counter effect to higher wage for low income people is higher training or job-related equipment to make those people more productive.,Disagree,4,Uniform minimum wage tends to balance living conditions across regions - which may have desired re-distributional effects across states.  
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,4,"Likely lowers emplymt for some locations&groups but not clear by how much. Mixed evid. Can also lower poverty on net, so might be worthwhile",Agree,6,Fed regime that accounts for local conditions would dominate uniform wage regime and address many concerns about a hike to $15.
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,8,,Agree,8,
Neary,Peter,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Disagree,4,,No Opinion,,
Pastor,Lubos,Agree,4,Just like a federal min price of $15 per cup of coffee would reduce demand for coffee (and raise it for tea). Workers would lose to robots.,Disagree,4,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,5,,Agree,4,
Prendergast,Canice,Agree,8,,Uncertain,9,
Propper,Carol,No Opinion,,I don't know enough about wage levels and employment patterns to answer this,Agree,4,
Rasul,Imran,Disagree,7,,Agree,1,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Agree,4,,No Opinion,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,,Disagree,5,
Storesletten,Kjetil,Agree,5,,Strongly Agree,9,A rule for setting the minimum wage can take the politics out of the minimum wage while heeding local conditions
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Van Reenen,John,Disagree,6,,Disagree,5,
Vickers,John,Uncertain,3,,Uncertain,3,
Voth,Hans-Joachim,Agree,4,"At some point, labor demand will decline; where that point is we do not know; but $15 seems high for many states",Disagree,6,
Whelan,Karl,Uncertain,3,"It may raise the ""natural"" rate of unemployment by pricing some workers out of employment But the evidence thus far suggests limited effects",Agree,3,"I agree. But this is just my personal opinion. Ultimately, it's a political issue - how much do you want to devolve to states?"
Wyplosz,Charles,Agree,5,The literature seems confusing...,Agree,5,
Zilibotti,Fabrizio,Uncertain,5,,Agree,8,
