Last Name,First Name,Laws that limit the resale of tickets for entertainment and sports events make potential audience members for those events worse off on average.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,Third degree price discrimination can make consumers on average better off or worse off.
Alesina,Alberto,Agree,3,
Altonji,Joseph,Disagree,3,
Auerbach,Alan,Strongly Agree,9,
Autor,David,Agree,5,
Baicker,Katherine,Agree,5,"True in an aggregate way, but distributional implications so not necessarily true for even majority of people. "
Bertrand,Marianne,Uncertain,3,
Chetty,Raj,Agree,7,
Chevalier,Judith,Agree,7,You can find equilibria where allowing resale makes some worse off.  Of course it is interesting why the venue doesn't charge the mkt price.
Currie,Janet,Disagree,7,"Without controls, scalpers may buy up all tickets and sell them at high prices.  High income people gain, but low income people lose.  "
Cutler,David,Agree,4,
Deaton,Angus,Strongly Disagree,7,
Duffie,Darrell,Agree,2,"Sounds like there are possible gains from trade. Although I'm no expert, I don't see the negative externality caused by opening this market."
Edlin,Aaron,Did Not Answer,,
Eichengreen,Barry,Agree,5,
Fair,Ray,Strongly Agree,10,
Goldberg,Pinelopi,Uncertain,8,"Free trade leads to more efficient outcomes in general, but gains from allowing resale would be distributed unequally"
Goldin,Claudia,Agree,7,It all depends on how the tickets were initially sold.  The question is why there was excess demand in the first place.
Goolsbee,Austan,Uncertain,2,
Greenstone,Michael,Strongly Agree,9,
Hall,Robert,Agree,7,"Of course, the big mystery is the strong tendency to underprice tickets at the box office. Correcting that tendency would be socially good."
Holmström,Bengt,Agree,8,
Hoxby,Caroline,Strongly Agree,10,Classic example in which good (tickets) are not allocated to those who value them most. Only exception:ticket-holder's identity matters.
Judd,Kenneth,Agree,7,
Kashyap,Anil,Agree,7,
Klenow,Pete,Strongly Agree,5,"Yes, though the gains in allocative efficiency could be mitigated by transaction and queuing costs."
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Agree,7,
Nordhaus,William,No Opinion,,
Obstfeld,Maurice,Agree,8,
Saez,Emmanuel,Agree,4,
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Agree,2,"Since no-resale rules may affect price structures, this may not be as simple as it seems.
"
Shin,Hyun Song,Uncertain,7,
Stock,James,Agree,6,
Stokey,Nancy,Agree,6,
Thaler,Richard,Strongly Agree,7,
Udry,Christopher,Strongly Agree,6,
Zingales,Luigi,Agree,4,
