Last Name,First Name,"Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people’s behavior, and thus their actual or reported incomes.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"To the extent that a given tax change might affect revenues partly by affecting national-income growth, existing research provides enough guidance to generate informative bounds on the size of any growth-driven revenue effect.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"For large proposed changes in tax rates or the tax base, official revenue forecasts provided to Congress would probably be more accurate if the CBO and JCT tried to estimate fully how the proposed tax changes would affect growth-driven revenue.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Hoxby,Caroline,Strongly Agree,10,,Agree,10,,Agree,6,"It's wrong of them not to TRY because then they are knowingly getting things wrong. However, they could easily make a mess of it."
Hoynes,Hilary,Strongly Agree,10,,Uncertain,8,,Agree,7,
Judd,Kenneth,Strongly Agree,10,,Strongly Disagree,10,"That work does not try to model the true economy. E.g., no model of corp inc tax uses a valid price of risk. Economists prefer ignorance.",Strongly Agree,10,"It certainly would not be worse. Unfortunately, this is the kind of research that NSF kills."
Kaplan,Steven,Strongly Agree,10,Lots of evidence for this in a number of papers.,Agree,8,,Agree,8,
Kashyap,Anil,Strongly Agree,8,"some tax changes more salient than others, but people do respond when the stakes are important",Disagree,3,don't think we know for many types of changes,Uncertain,3,We know the direction and for certain types of changes might have some decent estimates. But politics could corrupt the process too
Klenow,Pete,Strongly Agree,10,,Agree,6,,Agree,5,
Levin,Jonathan,Agree,8,,Uncertain,4,Maybe in some cases. Seems like a hard problem in general.,Uncertain,5,Possibly. They might also be less transparent and/or easy to criticize.
Maskin,Eric,Agree,7,,Agree,6,,Agree,7,
Nordhaus,William,Strongly Agree,9,,Disagree,7,,Disagree,8,The difficulties are that (a) knowledge of these has wide bounds and (b) communicating uncertainty bounds is virtually impossible.
Saez,Emmanuel,Agree,9,,Uncertain,8,,Uncertain,8,
Samuelson,Larry,Strongly Agree,10,,Agree,8,"It's always difficult to turn qualitative predictions into precise estimates, but existing research can surely be helpful.",Agree,8,"Behavioral responses will be most important for large changes, but the effects of large changes are particularly difficult to estimate."
Scheinkman,José,Strongly Agree,7,,Disagree,5,,Disagree,5,
Schmalensee,Richard,Strongly Agree,8,"Not always predictably, of course.",Disagree,6,,Disagree,5,
Shapiro,Carl,Strongly Agree,10,,Disagree,7,,Strongly Disagree,7,
Shimer,Robert,Strongly Agree,10,This is a very weak statement!,Agree,5,The bounds likely rule out some outcomes but may be very wide,Uncertain,5,It depends on which estimates they used.
Thaler,Richard,Agree,5,Of course this is right.  But magnitudes matter a lot.,Strongly Disagree,5,"In most cases we know very little. Chetty et al Danish study finds tax effects explain 1% of saving, design 99%.",Disagree,3,"If done honestly, maybe, but the temptation to tilt would be strong.  It is the rare tax cut that increases tax revenues. "
Udry,Christopher,Strongly Agree,10,,Uncertain,5,,Uncertain,5,
