Last Name,First Name,The ECB should aim to achieve an inflation rate that averages 2% over time.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,The ECB should take account of the environmental implications of its policy decisions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,The objectives set for the ECB by Treaty should make maximum sustainable employment of equal importance as price stability.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Rasul,Imran,Agree,6,,Disagree,5,,Agree,5,
Reichlin,Lucrezia,Disagree,9,I think that the ECB should aim at flexible inflation targeting understood as a medium term quantifiable objective. ,Agree,9,,Disagree,9,Flex IT and commitment to nominal GDP targeting path best way to minimise output vol in short run and achieve price stability in medium run
Repullo,Rafael,Agree,8,I would replace the close but below 2% for a 2% objective over the medium run. ,Disagree,8,As Jean Tirole recommended in his speech at the colloquium in honor of Benoit Coeure: “Use the proper instrument.” ,No Opinion,,An irrelevant hypothetical question: The Treaty is not going to be changed anytime soon. 
Rey,Hélène,Disagree,9,"If it adopted this rule, it could have to tighten abruptly after overshooting the target which could be destabilising for the euro area.",Agree,9,For example the ECB should lead on TCFD disclosure,Disagree,9,ECB has a legal obligation to support the [EU’s] general economic policies; objectives laid down in Article 3 of the Treaty.so more general
Schoar,Antoinette,Agree,7,,Uncertain,9,"ECB does not have effective tools to achieve environmental goals. Policy makers, consumers and voters need to take responsibility for this.",Disagree,10,central banks do not have tools to achieve long run employment goals. 
Sturm,Daniel,Agree,3,,Agree,6,Quantitative easing could avoid buying fossil fuel related bonds.,Uncertain,3,
Van Reenen,John,Agree,8,Need for symmetry as low inflation as bad as high. There is good argument for targeting higher rate like 3% or 4% to avoid zero lower bound,Disagree,7,Bad idea to load too many targets on one instrument,Disagree,6,
Vickers,John,Agree,9,"Symmetry around 2% would be much better than ""below but close to""",Disagree,7,Environmental objectives call for policy tools other than monetary policy,Disagree,9,"Monetary policy can best contribute to maximum sustainable employment by maintaining price stability, so that should be primary"
Voth,Hans-Joachim,Uncertain,5,,Disagree,9,,Disagree,7,
Whelan,Karl,Agree,9,I certainly agree with the averaging approach. You could argue for a higher value than 2% given history of zero bound issues since 2000.,Strongly Agree,10,"While price stability is ECB's primary objective, it is required by Treaty to support the EU's broader goals, including evironmental policy.",Uncertain,5,Tricky one. I'm not sure ECB and the Fed really behave much differently despite different mandates. Treaty Change is impossible anyway.
Wyplosz,Charles,Agree,9,"That would be useful step. I would not mind a higher average target, eg 3%. ",Strongly Disagree,8,"As Tinbergen said, one instrument = one target. Bringing inflation up to the target would already be a big achievement.",Uncertain,9,"Yeah, sure, it sounds nice. But we don't know how to measure maximum sustainable unemployment. And unemployment is not just a macro variable"
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
