Last Name,First Name,"Despite the empirical failures of the Capital Asset Pricing Model (CAPM) in explaining expected stock returns, a shareholder-value maximizing publicly-traded firm should still use the CAPM to calculate the cost of equity in capital budgeting.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The equity risk premium that U.S. publicly traded firms should use in cost of equity calculations in April 2023 is above 6%.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,8,"While the CAPM may be a reasonable first approximation, the cost of capital is better described empirically by a multi-factor Fama-French-style model or by an intertemporal CAPM that distinguishes between cash-flow risk, discount risk, and variance risk.",Disagree,6,"A dynamic steady-state model (Gordon growth model) suggests the long-term expected real stock return is currently around 7%, but the 20-year TIPS yield is above 1% implying an equity premium slightly below 6%."
Cochrane,John,Disagree,8,"For most projects, comparable are better than CAPM. To price a burger, look at the restaurant next door or calculate cost of raising a cow. Beyond CAPM failures, we don't know betas or expected returns.",Disagree,7,"Most guesses of the equity premium (stocks over bonds) are lower than 6% these days, hovering more in the 3% area. The postwar period was pretty lucky, and growth has slowed. Still, stocks are so volatile that the standard error will always be high. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Did Not Answer,,,Did Not Answer,,
Duffie,Darrell,Uncertain,7,"There is empirical support for more complicated models with more factors. Introducing more complex models into practice, despite the absence of a strong theoretical basis or empirical consensus, and then adjusting over time could be beneficial, but adoption is difficult.",Disagree,2,"Estimating this risk premium is considered difficult. Agreeing with ""higher than 6%"" would seem over-confident to me. "
Eberly,Janice,Did Not Answer,,,Did Not Answer,,
Gabaix,Xavier,Disagree,8,,Disagree,6,
Goldstein,Itay,Uncertain,8,,Disagree,7,
Graham,John,Disagree,7,,Agree,1,
Harvey,Campbell,Disagree,8,"Given we don't know the true cost of capital, it is better to look at a variety of methods (and the CAPM should be one of them). It is well known that the CAPM omits certain key features like downside risk. In practice, companies use discount rates far above the CAPM (see link).",Uncertain,8,"Most companies use a risk premium above 6% - at least from the survey evidence. This could reflect capital constraints, a preference for projects with very large upsides, etc. Just because this is how companies operate, does not mean it is how they should operate (see link)."
Hirshleifer,David,Uncertain,5,,Uncertain,5,
Hong,Harrison,Disagree,8,Cost of capital fluctuates over time potentially due to mispricings and firms should rationally optimize investments based on this.,Agree,6,Historically equity risk premium is about 6% over lots of macroeconomic environments.
Jiang,Wei,Agree,7,,Disagree,8,
