Last Name,First Name,"A bitcoin's value derives from the belief that others will want to use it, which implies that its purchasing power is likely to fluctuate over time to a degree that will limit its usefulness.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"A substantial source of the value of unbacked decentralized private cryptocurrencies, such as Bitcoin, arises from their convenience for use in illegal activities.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A properly diversified portfolio should include crypto assets.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Agree,8,,Agree,7,,Uncertain,4,
Cochrane,John,Uncertain,8,"Its value is liquidity, like unbacked money. Positive price, no dividend. That means eventually it must earn zero expected return, and likely decline in value once ""liquidity"" (anonymity!) substitutes emerge. Volatility? Fiat money can have low volatility and low return. ",Strongly Agree,8,"Bitcoin is not very efficient for legal transactions. Not all ""illegal"" is bad. Do we want to enforce China, Venezuela currency controls? Enforce every single US law? (Starve the undocumented?) Lose all anonymity in transactions? Crypto needs an enlightened and difficult balance.",Strongly Disagree,8,"Unbacked crypto only has value for ""liquidity"" or convenience yield reasons. Long run legal investors have no need for that. Otherwise, pure zero-sum speculation. Invest if you're smarter than average. And half are deluded. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Agree,5,These fluctuations and the costs of transacting will prevent bitcoin from being much of a means of payment.,Uncertain,5,,Strongly Disagree,7,
Du,Wenxin,Agree,7,,Uncertain,6,,Disagree,6,
Duffie,Darrell,Agree,9,,Agree,9,"Yes, this a ""substantial"" part of the value, but probably not the major part of the value. ",Uncertain,8,
Eberly,Janice,Agree,7,,Strongly Agree,8,"Being outside the regulated payments network is most valuable for entities that want to avoid scrutiny.  This creates demand, there are multiple such payment cryptos, so it need not dampen volatility.",Disagree,6,"An underlying claim to payment service provision could be a portfolio asset, but a bet just adds noise. Actual crypto service provision is likely negligible in a global market portfolio."
Fama,Eugene,Strongly Agree,8,"High volatility is already a fact of life for bitcoin.
 ",Strongly Agree,1,,Strongly Disagree,8,
Gabaix,Xavier,Agree,7,,Agree,8,,Disagree,8,"The weight on crypto, if not 0, should probably be negative, which leads to a huge downside risk."
Goldstein,Itay,Agree,8,,Uncertain,8,,Uncertain,8,
Graham,John,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Harvey,Campbell,Agree,7,"Bitcoin is about five times more volatile than gold. Currently, it is a risky store of value which is different from the founder's vision of a payments mechanism. High volatility was originally blamed on illiquidity. However, even with more liquidity - it is still very volatile. ",Disagree,7,"The centralized stablecoin tether is widely used. Tether is essentially an unregulated bank. Tether has more daily trading volume than BTC+ETH - most for trading, however, a portion for illegal transactions. BTC and monero are used for ransomware. ",Agree,7,The token complex is approximately $2 trillion and hard to ignore any more. ETFs make it easy to invest. There are hundreds of companies in this space that would qualify - but almost all are private and only available to accredited investors. 
Hong,Harrison,Agree,7,,Agree,7,,Disagree,7,
Jiang,Wei,Agree,3,,Agree,3,,Agree,5,
Kaplan,Steven,Uncertain,8,"Bitcoin does depend on the beliefs of others.  However, those beliefs can persist for a long time.  Wampum -- made from shells of little value -- was the currency in New York for almost 100 years.",Uncertain,3,,Agree,8,
