Last Name,First Name,Future innovations worldwide will not be transformational enough to promote sustained per-capita economic growth rates in the U.S. and western Europe over the next century as high as those over the past 150 years.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,10,"The right answer is ""uncertain"". But ""disagree"" emphasizes that the view that we are running out of ideas, which has little basis."
Alesina,Alberto,Agree,7,
Altonji,Joseph,Uncertain,3,"Technical innovation will continue to be rapid, but resource and environmental constraints in a crowded world will hinder per capita growth."
Auerbach,Alan,No Opinion,,
Autor,David,Agree,5,"That's a ridiculously high bar to cross, since no other period in human history has ever seen anything like the last 150 years!"
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Disagree,6,The average per capita growth rate over the last 150 years only 1.7-1.8% which would not need to transformative innovations to happen.
Bertrand,Marianne,Uncertain,4,
Brunnermeier,Markus,Disagree,6,"genomics, robotic, communication.... Emerging economies will increasingly contribute to global R&D spending with positive spillover effects."
Chetty,Raj,Uncertain,6,
Chevalier,Judith,Uncertain,10,The answer is certainly uncertain
Currie,Janet,Uncertain,1,
Cutler,David,Disagree,5,
Deaton,Angus,Disagree,4,The long term declining is very worrying. But it also might be that we are not measuring quality or new goods well.
Duffie,Darrell,Uncertain,1,
Edlin,Aaron,Agree,5,
Eichengreen,Barry,Disagree,5,
Einav,Liran,Disagree,7,
Fair,Ray,No Opinion,,Hard to predict 100 years ahead.  
Finkelstein,Amy,Uncertain,8,
Goldberg,Pinelopi,Uncertain,6,
Goolsbee,Austan,Strongly Disagree,10,
Greenstone,Michael,No Opinion,,i'm unaware of any serious evidence that would help one formulate a reliable opinion.  
Hall,Robert,Uncertain,10,"The cone of dispersion for productivity forecasts is so wide that no such statement has any support. Che sera, sera."
Hart,Oliver,Uncertain,10,Economists are bad at predicting the far future. Technological advances have been amazing in the last few years and anything is possible.
Holmström,Bengt,Strongly Disagree,4,
Hoxby,Caroline,Uncertain,10,"I am certain that anyone sensible should be uncertain. If one can predict innovation well, one should not be an economist but an inventor."
Hoynes,Hilary,Uncertain,6,
Judd,Kenneth,Strongly Disagree,8,"Innovation need not slow. The vast changes in what we consume and how we work make ""income"" a poor measure of wellbeing over a century."
Kaplan,Steven,Uncertain,9,Last 150 years have seen huge increases in living standards.  Similar future increases an even bet given IT revolution and human ingenuity.
Kashyap,Anil,Uncertain,8,"We would have never forecast most the past breakthroughs, no reason to think we are any better at doing so now.  No way this is knowable."
Klenow,Pete,Uncertain,10,
Levin,Jonathan,Uncertain,1,"Wow - tough question. Maybe if the answer is a clear no, we can reconvene the panel in 150 years to discuss."
Maskin,Eric,Uncertain,1,Who knows?
Nordhaus,William,Uncertain,9,Uncertaint = unpredicatable. The unpredictability of fundamental invention is amply demonstrated from theory and history.
Obstfeld,Maurice,Uncertain,6,
Saez,Emmanuel,Disagree,3,
Samuelson,Larry,Disagree,8,"Unimagined innovations have revolutionized life in the past, and I suspect they will continue to do so.  "
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Uncertain,8,The surprises of the last 150 years should make clear the folly of trying to forecast the next 150.
Shapiro,Carl,Uncertain,1,"History suggests optimism, but 150 years is a mighty long time. "
Shimer,Robert,Disagree,1,Very hard to predict this far in the future.
Stokey,Nancy,Uncertain,10,Views on this are pure speculation.  There is no economic theory or empirical evidence to inform the issue.
Thaler,Richard,No Opinion,,I don't know how anyone could have any confidence in this sort of prediction.  Good that no one can be proven wrong.
Udry,Christopher,Strongly Disagree,1,Billions of people escaping poverty unleashes billions of minds for innovation. Hence my optimism. But tempered with much uncertainty. 
