Last Name,First Name,"If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,3,,Agree,6,
Alesina,Alberto,Disagree,4,,Agree,7,
Altonji,Joseph,Disagree,7,,Uncertain,3,
Auerbach,Alan,Disagree,5,,Strongly Agree,7,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Agree,6,,Agree,7,
Bertrand,Marianne,Disagree,2,,Agree,2,
Brunnermeier,Markus,Disagree,9,"since inflation distorts the portfolio choice, Brunnermeier & Sannikov ""On the Optimal Inflation Rate"" (AER PP).
Also 4% can't be ignored",Agree,7,provided inflation target is hit (on average)
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Cutler,David,Agree,3,,Agree,3,
Deaton,Angus,Agree,6,,Agree,6,
Duffie,Darrell,Disagree,9,,Strongly Agree,10,
Edlin,Aaron,Disagree,3,,Disagree,4,
Eichengreen,Barry,Agree,5,Assuming that the change did not also compromise the credibility of the Fed's (new) inflation target.,Agree,7,
Einav,Liran,No Opinion,,,No Opinion,,
Fair,Ray,Uncertain,5,,Agree,5,
Finkelstein,Amy,Disagree,3,,Strongly Agree,3,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,4,"If they did this now, costs would be unchanged because they have not even been able to get to 2 so not credible to promise 4",Disagree,6,4 is not credible now. It would not give any bonus to policy making until Fed can show they could actually get to 4
Greenstone,Michael,Uncertain,1,I tend to agree but I think the evidence is more based on intuition and theory than on empirical evidence.,Agree,3,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Agree,5,"I think that people can cope with low rates of inflation well, and 4% falls into that category. I wouldn't want to go much higher though.",Agree,5,Nominal rates would be higher and so could be reduced without hitting the zero lower bound. Also real rates would be lower.
Holmström,Bengt,Disagree,5,,Agree,7,
Hoxby,Caroline,Uncertain,7,,Agree,7,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Disagree,5,Nominal features of the tax code will drag down growth. Higher inflation may have higher uncertainty.,Agree,5,"That is technically true, but I doubt that it would justify a higher interest rate target."
Kaplan,Steven,Uncertain,7,,Agree,3,
Kashyap,Anil,Disagree,3,big retirement planning mistakes from nominal illusion would become more common&empirical regularity of more volatile inflation possible too,Agree,1,assumes they are on or close to target when the recession comes.  
Klenow,Pete,Disagree,5,,Strongly Agree,1,
Levin,Jonathan,Uncertain,4,,Uncertain,4,
Maskin,Eric,Uncertain,5,"Even if the inflation targets are met, the answer depends on how much price indexing, etc, is done",Agree,5,"Higher inflation rates often imply higher nominal interest rates, giving the Fed greater leeway."
Nordhaus,William,Agree,7,,Strongly Agree,10,
Saez,Emmanuel,Agree,4,,Agree,6,
Samuelson,Larry,Disagree,6,"If the target change leads to higher inflation (otherwise, why raise the target?), then households will bear the attendant costs.",Disagree,6,"We've already seen rates go as low as they can, so a higher inflation target opens up little room for lower rates."
Scheinkman,José,Disagree,3,I am uncertain about the magnitude of costs at these levels of inflation.,No Opinion,,
Schmalensee,Richard,Agree,2,"Hard to be very confident, particularly about the durability of the target.",Agree,4,
Shapiro,Carl,Agree,3,,Agree,5,
Shimer,Robert,Disagree,6,The welfare cost of inflation is the area under the money demand curve. This implies a cost of about $60bn/yr from the proposed policy,Agree,6,
Thaler,Richard,Uncertain,1,,Agree,4,
Udry,Christopher,No Opinion,,,No Opinion,,
