Last Name,First Name,Restrictions on large institutional investors buying single-family homes would measurably improve the affordability of home ownership.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Having the government-sponsored housing agencies Fannie Mae and Freddie Mac buy $200 billion in mortgage-backed securities would measurably improve the affordability of home ownership.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,2,,Agree,2,
Aguiar,Mark,Disagree,5,,Disagree,3,
Altonji,Joseph,Uncertain,2,,Uncertain,2,
Auerbach,Alan,Disagree,5,,Disagree,5,
Autor,David,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bergemann,Dirk,Disagree,8,,Agree,8,
Bertrand,Marianne,Uncertain,3,,Disagree,3,
Brunnermeier,Markus,Agree,5,,Uncertain,6,in the medium run it would translate in higher housing prices. Relaxing zoning restrictions would be more effective.
Chevalier,Judith,Disagree,7,Worth noting that renters benefit from a substantial SF rental market. ,Disagree,6,
Cutler,David,Uncertain,4,,Disagree,4,
Duffie,Darrell,Disagree,5,,Disagree,8,"$200 billion would not be big enough. See, for example. the BPEA paper of Arvind Krishnamurthy of price elasticity of demand in this enormous market. "
Edlin,Aaron,Agree,5,,Agree,5,
Eichengreen,Barry,Disagree,1,,Disagree,1,
Einav,Liran,Uncertain,1,,Uncertain,1,
Fair,Ray,Disagree,5,,Disagree,5,
Glaeser,Edward,Strongly Disagree,10,,Strongly Disagree,10,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Disagree,7,,Disagree,5,
Hart,Oliver,Disagree,7,,Disagree,6,
Hoxby,Caroline,Disagree,10,,Disagree,10,
Hoynes,Hilary,Uncertain,5,,Uncertain,5,
Hurst,Erik,Disagree,5,,Uncertain,1,
Judd,Kenneth,Disagree,8,,Strongly Disagree,10,This is a tiny proportion of the assets of the same risk class as mortgages.
Kaplan,Steven,Disagree,7,,Disagree,7,
Kashyap,Anil,Disagree,3,,Disagree,3,Probably would lower mortgage rates for a bit by a few basis points.
Klenow,Pete,Disagree,3,,Disagree,4,
Levin,Jonathan,Disagree,4,,Disagree,4,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Uncertain,3,,Disagree,3,
Pathak,Parag,Disagree,4,,Uncertain,1,
Samuelson,Larry,Disagree,6,The effect on housing prices of changes in the proportion of institutionally owned single-family homes ares likely to be second order compared to more basic supply considerations.,Disagree,6,"200 billion is a small fraction of the market, and the effect is likely to be swamped by other market forces."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Disagree,5,,Uncertain,7,
Scott Morton,Fiona,Agree,6,Larger owners may be more likely to use tools enabling algorithmic collusion. They may also deploy sophisticated strategies to create concentration in markets (e.g. university campus neighborhoods) that escape antitrust scrutiny because they are small but have inelastic demand,Disagree,3,
Shapiro,Carl,Uncertain,8,,Disagree,5,
Shimer,Robert,Disagree,7,"""Affordability"" is the user cost of ownership, not house prices. Banning large institutional investors reduces liquidity which reduces the cost of buying a house but also the value from selling one. It would also raise the cost of renting a home.",Disagree,7,"""Affordability"" is the user cost of ownership, not house prices. Fannie/Freddie buying MBS raises house prices with little impact on affordability. "
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,
Stock,James,Uncertain,3,,Disagree,5,
Stokey,Nancy,Disagree,3,,Agree,3,
Syverson,Chad,Strongly Disagree,7,Institutions own about 1 of every 300 single-family houses in the US. Removing a single potential buyer in 0.33% of sales will not have any aggregate effect.,Disagree,6,"This seems pretty small in terms of any mortgage interest rate effect, which could be partially counteracted by lower rates being capitalized in prices anyway."
Thaler,Richard,Disagree,3,,Disagree,3,
Udry,Christopher,Disagree,5,"Maybe a small, probably temporary effect. Doesn't address constraints to increasing supply.",Disagree,6,If only it were that easy. Too small and transitory.
Werning,Ivan,Did Not Answer,,,Did Not Answer,,
